,iteration_1
batch_1,-24792178.0
batch_2,-24792874.0
batch_3,-24793580.0
batch_4,-24794280.0
batch_5,-24794984.0
batch_6,-24795684.0
batch_7,-24796388.0
batch_8,-24797088.0
batch_9,-24797792.0
batch_10,-24798492.0
batch_11,-24799196.0
batch_12,-24799894.0
batch_13,-24800596.0
batch_14,-24801300.0
batch_15,-24802002.0
batch_16,-24802704.0
batch_17,-24803406.0
batch_18,-24804108.0
batch_19,-24804808.0
batch_20,-24805510.0
batch_21,-24806214.0
batch_22,-24806912.0
batch_23,-24807618.0
batch_24,-24808318.0
batch_25,-24809020.0
batch_26,-24809720.0
batch_27,-24810424.0
batch_28,-24811126.0
batch_29,-24811826.0
batch_30,-24812532.0
batch_31,-24813232.0
batch_32,-24813932.0
batch_33,-24814636.0
batch_34,-24815338.0
batch_35,-24816040.0
batch_36,-24816740.0
batch_37,-24817442.0
batch_38,-24818146.0
batch_39,-24818844.0
batch_40,-24819550.0
batch_41,-24820250.0
batch_42,-24820952.0
batch_43,-24821656.0
batch_44,-24822358.0
batch_45,-24823060.0
batch_46,-24823762.0
batch_47,-24824464.0
batch_48,-24825164.0
batch_49,-24825868.0
batch_50,-24826572.0
batch_51,-24827272.0
batch_52,-24827976.0
batch_53,-24828676.0
batch_54,-24829376.0
batch_55,-24830080.0
batch_56,-24830784.0
batch_57,-24831482.0
batch_58,-24832186.0
batch_59,-24832892.0
batch_60,-24833594.0
batch_61,-24834294.0
batch_62,-24834998.0
batch_63,-24835702.0
batch_64,-24836402.0
batch_65,-24837104.0
batch_66,-24837808.0
batch_67,-24838508.0
batch_68,-24839212.0
batch_69,-24839914.0
batch_70,-24840614.0
batch_71,-24841316.0
batch_72,-24842022.0
batch_73,-24842722.0
batch_74,-24843426.0
batch_75,-24844130.0
batch_76,-24844828.0
batch_77,-24845534.0
batch_78,-24846234.0
batch_79,-24846938.0
batch_80,-24847640.0
batch_81,-24848344.0
batch_82,-24849046.0
batch_83,-24849748.0
batch_84,-24850452.0
batch_85,-24851156.0
batch_86,-24851856.0
batch_87,-24852560.0
batch_88,-24853264.0
batch_89,-24853964.0
batch_90,-24854666.0
batch_91,-24855370.0
batch_92,-24856074.0
batch_93,-24856774.0
batch_94,-24857478.0
batch_95,-24858182.0
batch_96,-24858882.0
batch_97,-24859584.0
batch_98,-24860290.0
batch_99,-24860992.0
batch_100,-24861694.0
batch_101,-24862400.0
batch_102,-24863098.0
batch_103,-24863804.0
batch_104,-24864508.0
batch_105,-24865206.0
batch_106,-24865912.0
batch_107,-24866616.0
batch_108,-24867318.0
batch_109,-24868020.0
batch_110,-24868722.0
batch_111,-24869426.0
batch_112,-24870128.0
batch_113,-24870830.0
batch_114,-24871536.0
batch_115,-24872238.0
batch_116,-24872942.0
batch_117,-24873646.0
batch_118,-24874348.0
batch_119,-24875048.0
batch_120,-24875756.0
batch_121,-24876456.0
batch_122,-24877160.0
batch_123,-24877862.0
batch_124,-24878566.0
batch_125,-24879268.0
batch_126,-24879972.0
batch_127,-24880676.0
batch_128,-24881378.0
batch_129,-24882082.0
batch_130,-24882788.0
batch_131,-24883490.0
batch_132,-24884188.0
batch_133,-24884896.0
batch_134,-24885598.0
batch_135,-24886300.0
batch_136,-24887004.0
batch_137,-24887708.0
batch_138,-24888412.0
batch_139,-24889116.0
batch_140,-24889818.0
batch_141,-24890522.0
batch_142,-24891224.0
batch_143,-24891928.0
batch_144,-24892632.0
batch_145,-24893336.0
batch_146,-24894038.0
batch_147,-24894742.0
batch_148,-24895444.0
batch_149,-24896150.0
batch_150,-24896852.0
batch_151,-24897556.0
batch_152,-24898258.0
batch_153,-24898960.0
batch_154,-24899664.0
batch_155,-24900368.0
batch_156,-24901070.0
batch_157,-24901772.0
batch_158,-24902476.0
batch_159,-24903180.0
batch_160,-24903882.0
batch_161,-24904588.0
batch_162,-24905290.0
batch_163,-24905990.0
batch_164,-24906692.0
batch_165,-24907398.0
batch_166,-24908100.0
batch_167,-24908804.0
batch_168,-24909508.0
batch_169,-24910210.0
batch_170,-24910914.0
batch_171,-24911618.0
batch_172,-24912320.0
batch_173,-24913022.0
batch_174,-24913728.0
batch_175,-24914432.0
batch_176,-24915134.0
batch_177,-24915836.0
batch_178,-24916540.0
batch_179,-24917242.0
batch_180,-24917944.0
batch_181,-24918650.0
batch_182,-24919354.0
batch_183,-24920058.0
batch_184,-24920758.0
batch_185,-24921462.0
batch_186,-24922168.0
batch_187,-24922870.0
batch_188,-24923574.0
batch_189,-24924276.0
batch_190,-24924980.0
batch_191,-24925684.0
batch_192,-24926388.0
batch_193,-24927090.0
batch_194,-24927794.0
batch_195,-24928498.0
batch_196,-24929202.0
batch_197,-24929904.0
batch_198,-24930604.0
batch_199,-24931312.0
batch_200,-24932014.0
batch_201,-24932720.0
batch_202,-24933422.0
batch_203,-24934126.0
batch_204,-24934830.0
batch_205,-24935530.0
batch_206,-24936232.0
batch_207,-24936940.0
batch_208,-24937642.0
batch_209,-24938344.0
batch_210,-24939048.0
batch_211,-24939748.0
batch_212,-24940452.0
batch_213,-24941154.0
batch_214,-24941860.0
batch_215,-24942562.0
batch_216,-24943266.0
batch_217,-24943968.0
batch_218,-24944674.0
batch_219,-24945374.0
batch_220,-24946078.0
batch_221,-24946780.0
batch_222,-24947486.0
batch_223,-24948188.0
batch_224,-24948892.0
batch_225,-24949594.0
batch_226,-24950298.0
batch_227,-24951002.0
batch_228,-24951704.0
batch_229,-24952410.0
batch_230,-24953110.0
batch_231,-24953816.0
batch_232,-24954518.0
batch_233,-24955222.0
batch_234,-24955926.0
batch_235,-24956628.0
batch_236,-24957336.0
batch_237,-24958036.0
batch_238,-24958740.0
batch_239,-24959444.0
batch_240,-24960150.0
batch_241,-24960848.0
batch_242,-24961552.0
batch_243,-24962256.0
batch_244,-24962962.0
batch_245,-24963664.0
batch_246,-24964370.0
batch_247,-24965074.0
batch_248,-24965774.0
batch_249,-24966478.0
batch_250,-24967182.0
batch_251,-24967886.0
batch_252,-24968590.0
batch_253,-24969292.0
batch_254,-24969996.0
batch_255,-24970702.0
batch_256,-24971402.0
batch_257,-24972106.0
batch_258,-24972808.0
batch_259,-24973514.0
batch_260,-24974218.0
batch_261,-24974920.0
batch_262,-24975628.0
batch_263,-24976326.0
batch_264,-24977030.0
batch_265,-24977736.0
batch_266,-24978440.0
batch_267,-24979142.0
batch_268,-24979846.0
batch_269,-24980552.0
batch_270,-24981252.0
batch_271,-24981958.0
batch_272,-24982662.0
batch_273,-24983366.0
batch_274,-24984070.0
batch_275,-24984772.0
batch_276,-24985476.0
batch_277,-24986178.0
batch_278,-24986882.0
batch_279,-24987588.0
batch_280,-24988288.0
batch_281,-24988994.0
batch_282,-24989698.0
batch_283,-24990400.0
batch_284,-24991102.0
batch_285,-24991808.0
batch_286,-24992512.0
batch_287,-24993214.0
batch_288,-24993920.0
batch_289,-24994622.0
batch_290,-24995326.0
batch_291,-24996028.0
batch_292,-24996734.0
batch_293,-24997438.0
batch_294,-24998142.0
batch_295,-24998846.0
batch_296,-24999548.0
batch_297,-25000250.0
batch_298,-25000956.0
batch_299,-25001660.0
batch_300,-25002362.0
batch_301,-25003068.0
batch_302,-25003770.0
batch_303,-25004474.0
batch_304,-25005180.0
batch_305,-25005884.0
batch_306,-25006584.0
batch_307,-25007292.0
batch_308,-25007992.0
batch_309,-25008696.0
batch_310,-25009404.0
batch_311,-25010104.0
batch_312,-25010808.0
batch_313,-25011512.0
batch_314,-25012218.0
batch_315,-25012918.0
batch_316,-25013626.0
batch_317,-25014330.0
batch_318,-25015030.0
batch_319,-25015738.0
batch_320,-25016442.0
batch_321,-25017144.0
batch_322,-25017852.0
batch_323,-25018554.0
batch_324,-25019256.0
batch_325,-25019962.0
batch_326,-25020666.0
batch_327,-25021372.0
batch_328,-25022076.0
batch_329,-25022778.0
batch_330,-25023482.0
batch_331,-25024186.0
batch_332,-25024892.0
batch_333,-25025596.0
batch_334,-25026298.0
batch_335,-25027002.0
batch_336,-25027710.0
batch_337,-25028410.0
batch_338,-25029116.0
batch_339,-25029820.0
batch_340,-25030524.0
batch_341,-25031230.0
batch_342,-25031934.0
batch_343,-25032640.0
batch_344,-25033340.0
batch_345,-25034048.0
batch_346,-25034754.0
batch_347,-25035456.0
batch_348,-25036162.0
batch_349,-25036864.0
batch_350,-25037570.0
batch_351,-25038276.0
batch_352,-25038980.0
batch_353,-25039684.0
batch_354,-25040388.0
batch_355,-25041092.0
batch_356,-25041796.0
batch_357,-25042502.0
batch_358,-25043206.0
batch_359,-25043910.0
batch_360,-25044614.0
batch_361,-25045320.0
batch_362,-25046024.0
batch_363,-25046728.0
batch_364,-25047436.0
batch_365,-25048140.0
batch_366,-25048842.0
batch_367,-25049548.0
batch_368,-25050252.0
batch_369,-25050956.0
batch_370,-25051664.0
batch_371,-25052368.0
batch_372,-25053068.0
batch_373,-25053774.0
batch_374,-25054478.0
batch_375,-25055182.0
batch_376,-25055892.0
batch_377,-25056594.0
batch_378,-25057302.0
batch_379,-25058004.0
batch_380,-25058710.0
batch_381,-25059414.0
batch_382,-25060118.0
batch_383,-25060824.0
batch_384,-25061528.0
batch_385,-25062232.0
batch_386,-25062938.0
batch_387,-25063640.0
batch_388,-25064344.0
batch_389,-25065048.0
batch_390,-25065750.0
batch_391,-25066456.0
batch_392,-25067158.0
batch_393,-25067864.0
batch_394,-25068568.0
batch_395,-25069272.0
batch_396,-25069976.0
batch_397,-25070678.0
batch_398,-25071384.0
batch_399,-25072088.0
batch_400,-25072792.0
batch_401,-25073494.0
batch_402,-25074196.0
batch_403,-25074904.0
batch_404,-25075608.0
batch_405,-25076308.0
batch_406,-25077016.0
batch_407,-25077718.0
batch_408,-25078422.0
batch_409,-25079126.0
batch_410,-25079830.0
batch_411,-25080532.0
batch_412,-25081242.0
batch_413,-25081944.0
batch_414,-25082646.0
batch_415,-25083352.0
batch_416,-25084056.0
batch_417,-25084760.0
batch_418,-25085466.0
batch_419,-25086168.0
batch_420,-25086874.0
batch_421,-25087578.0
batch_422,-25088282.0
batch_423,-25088984.0
batch_424,-25089688.0
batch_425,-25090394.0
batch_426,-25091096.0
batch_427,-25091800.0
batch_428,-25092506.0
batch_429,-25093210.0
batch_430,-25093910.0
batch_431,-25094618.0
batch_432,-25095320.0
batch_433,-25096024.0
batch_434,-25096730.0
batch_435,-25097434.0
batch_436,-25098138.0
batch_437,-25098842.0
batch_438,-25099546.0
batch_439,-25100250.0
batch_440,-25100954.0
batch_441,-25101660.0
batch_442,-25102362.0
batch_443,-25103066.0
batch_444,-25103772.0
batch_445,-25104476.0
batch_446,-25105180.0
batch_447,-25105884.0
batch_448,-25106590.0
batch_449,-25107292.0
batch_450,-25107998.0
batch_451,-25108702.0
batch_452,-25109406.0
batch_453,-25110108.0
batch_454,-25110814.0
batch_455,-25111518.0
batch_456,-25112222.0
batch_457,-25112926.0
batch_458,-25113630.0
batch_459,-25114332.0
batch_460,-25115038.0
batch_461,-25115744.0
batch_462,-25116446.0
batch_463,-25117150.0
batch_464,-25117854.0
batch_465,-25118558.0
batch_466,-25119260.0
batch_467,-25119966.0
batch_468,-25120670.0
batch_469,-25121374.0
batch_470,-25122078.0
batch_471,-25122782.0
batch_472,-25123484.0
batch_473,-25124194.0
batch_474,-25124896.0
batch_475,-25125602.0
batch_476,-25126304.0
batch_477,-25127008.0
batch_478,-25127712.0
batch_479,-25128420.0
batch_480,-25129124.0
batch_481,-25129826.0
batch_482,-25130532.0
batch_483,-25131234.0
batch_484,-25131940.0
batch_485,-25132644.0
batch_486,-25133348.0
batch_487,-25134054.0
batch_488,-25134758.0
batch_489,-25135462.0
batch_490,-25136166.0
batch_491,-25136868.0
batch_492,-25137578.0
batch_493,-25138282.0
batch_494,-25138984.0
batch_495,-25139688.0
batch_496,-25140392.0
batch_497,-25141098.0
batch_498,-25141802.0
batch_499,-25142508.0
batch_500,-25143210.0
batch_501,-25143916.0
batch_502,-25144622.0
batch_503,-25145326.0
batch_504,-25146028.0
batch_505,-25146736.0
batch_506,-25147440.0
batch_507,-25148146.0
batch_508,-25148848.0
batch_509,-25149554.0
batch_510,-25150256.0
batch_511,-25150960.0
batch_512,-25151668.0
batch_513,-25152374.0
batch_514,-25153076.0
batch_515,-25153780.0
batch_516,-25154484.0
batch_517,-25155188.0
batch_518,-25155894.0
batch_519,-25156600.0
batch_520,-25157304.0
batch_521,-25158004.0
batch_522,-25158708.0
batch_523,-25159412.0
batch_524,-25160118.0
batch_525,-25160824.0
batch_526,-25161528.0
batch_527,-25162234.0
batch_528,-25162936.0
batch_529,-25163638.0
batch_530,-25164344.0
batch_531,-25165052.0
batch_532,-25165756.0
batch_533,-25166458.0
batch_534,-25167162.0
batch_535,-25167866.0
batch_536,-25168568.0
batch_537,-25169276.0
batch_538,-25169980.0
batch_539,-25170684.0
batch_540,-25171386.0
batch_541,-25172092.0
batch_542,-25172798.0
batch_543,-25173500.0
batch_544,-25174208.0
batch_545,-25174910.0
batch_546,-25175614.0
batch_547,-25176320.0
batch_548,-25177022.0
batch_549,-25177724.0
batch_550,-25178434.0
batch_551,-25179138.0
batch_552,-25179842.0
batch_553,-25180544.0
batch_554,-25181248.0
batch_555,-25181952.0
batch_556,-25182656.0
batch_557,-25183362.0
batch_558,-25184062.0
batch_559,-25184768.0
batch_560,-25185470.0
batch_561,-25186174.0
batch_562,-25186876.0
batch_563,-25187588.0
batch_564,-25188288.0
batch_565,-25188990.0
batch_566,-25189694.0
batch_567,-25190398.0
batch_568,-25191102.0
batch_569,-25191808.0
batch_570,-25192512.0
batch_571,-25193216.0
batch_572,-25193918.0
batch_573,-25194624.0
batch_574,-25195328.0
batch_575,-25196030.0
batch_576,-25196736.0
batch_577,-25197442.0
batch_578,-25198144.0
batch_579,-25198846.0
batch_580,-25199552.0
batch_581,-25200256.0
batch_582,-25200956.0
batch_583,-25201664.0
batch_584,-25202368.0
batch_585,-25203072.0
batch_586,-25203776.0
batch_587,-25204480.0
batch_588,-25205182.0
batch_589,-25205888.0
batch_590,-25206590.0
batch_591,-25207294.0
batch_592,-25207998.0
batch_593,-25208700.0
batch_594,-25209406.0
batch_595,-25210112.0
batch_596,-25210814.0
batch_597,-25211518.0
batch_598,-25212224.0
batch_599,-25212926.0
batch_600,-25213628.0
batch_601,-25214332.0
batch_602,-25215040.0
batch_603,-25215744.0
batch_604,-25216446.0
batch_605,-25217150.0
batch_606,-25217854.0
batch_607,-25218556.0
batch_608,-25219264.0
batch_609,-25219968.0
batch_610,-25220672.0
batch_611,-25221374.0
batch_612,-25222078.0
batch_613,-25222780.0
batch_614,-25223486.0
