,iteration_1
batch_1,-42671208.0
batch_2,-42672196.0
batch_3,-42673192.0
batch_4,-42674188.0
batch_5,-42675180.0
batch_6,-42676172.0
batch_7,-42677168.0
batch_8,-42678156.0
batch_9,-42679148.0
batch_10,-42680144.0
batch_11,-42681136.0
batch_12,-42682132.0
batch_13,-42683124.0
batch_14,-42684116.0
batch_15,-42685108.0
batch_16,-42686100.0
batch_17,-42687100.0
batch_18,-42688092.0
batch_19,-42689084.0
batch_20,-42690076.0
batch_21,-42691068.0
batch_22,-42692060.0
batch_23,-42693056.0
batch_24,-42694052.0
batch_25,-42695040.0
batch_26,-42696036.0
batch_27,-42697028.0
batch_28,-42698020.0
batch_29,-42699016.0
batch_30,-42700012.0
batch_31,-42701000.0
batch_32,-42701992.0
batch_33,-42702992.0
batch_34,-42703980.0
batch_35,-42704972.0
batch_36,-42705968.0
batch_37,-42706960.0
batch_38,-42707956.0
batch_39,-42708948.0
batch_40,-42709944.0
batch_41,-42710936.0
batch_42,-42711928.0
batch_43,-42712928.0
batch_44,-42713920.0
batch_45,-42714908.0
batch_46,-42715908.0
batch_47,-42716900.0
batch_48,-42717892.0
batch_49,-42718884.0
batch_50,-42719884.0
batch_51,-42720872.0
batch_52,-42721864.0
batch_53,-42722864.0
batch_54,-42723852.0
batch_55,-42724848.0
batch_56,-42725844.0
batch_57,-42726836.0
batch_58,-42727832.0
batch_59,-42728824.0
batch_60,-42729812.0
batch_61,-42730812.0
batch_62,-42731808.0
batch_63,-42732800.0
batch_64,-42733792.0
batch_65,-42734788.0
batch_66,-42735780.0
batch_67,-42736772.0
batch_68,-42737768.0
batch_69,-42738764.0
batch_70,-42739756.0
batch_71,-42740752.0
batch_72,-42741744.0
batch_73,-42742740.0
batch_74,-42743732.0
batch_75,-42744724.0
batch_76,-42745724.0
batch_77,-42746716.0
batch_78,-42747708.0
batch_79,-42748700.0
batch_80,-42749696.0
batch_81,-42750692.0
batch_82,-42751684.0
batch_83,-42752684.0
batch_84,-42753672.0
batch_85,-42754668.0
batch_86,-42755660.0
batch_87,-42756656.0
batch_88,-42757648.0
batch_89,-42758648.0
batch_90,-42759636.0
batch_91,-42760632.0
batch_92,-42761628.0
batch_93,-42762620.0
batch_94,-42763616.0
batch_95,-42764608.0
batch_96,-42765608.0
batch_97,-42766600.0
batch_98,-42767592.0
batch_99,-42768588.0
batch_100,-42769584.0
batch_101,-42770576.0
batch_102,-42771572.0
batch_103,-42772568.0
batch_104,-42773560.0
batch_105,-42774556.0
batch_106,-42775544.0
batch_107,-42776544.0
batch_108,-42777540.0
batch_109,-42778532.0
batch_110,-42779528.0
batch_111,-42780524.0
batch_112,-42781516.0
batch_113,-42782508.0
batch_114,-42783508.0
batch_115,-42784500.0
batch_116,-42785500.0
batch_117,-42786492.0
batch_118,-42787484.0
batch_119,-42788480.0
batch_120,-42789476.0
batch_121,-42790468.0
batch_122,-42791464.0
batch_123,-42792460.0
batch_124,-42793456.0
batch_125,-42794448.0
batch_126,-42795440.0
batch_127,-42796440.0
batch_128,-42797436.0
batch_129,-42798428.0
batch_130,-42799428.0
batch_131,-42800420.0
batch_132,-42801416.0
batch_133,-42802404.0
batch_134,-42803400.0
batch_135,-42804400.0
batch_136,-42805392.0
batch_137,-42806388.0
batch_138,-42807384.0
batch_139,-42808376.0
batch_140,-42809372.0
batch_141,-42810364.0
batch_142,-42811364.0
batch_143,-42812360.0
batch_144,-42813356.0
batch_145,-42814348.0
batch_146,-42815344.0
batch_147,-42816336.0
batch_148,-42817336.0
batch_149,-42818328.0
batch_150,-42819324.0
batch_151,-42820320.0
batch_152,-42821312.0
batch_153,-42822308.0
batch_154,-42823300.0
batch_155,-42824300.0
batch_156,-42825296.0
batch_157,-42826292.0
batch_158,-42827288.0
batch_159,-42828280.0
batch_160,-42829272.0
batch_161,-42830272.0
batch_162,-42831264.0
batch_163,-42832264.0
batch_164,-42833256.0
batch_165,-42834252.0
batch_166,-42835252.0
batch_167,-42836240.0
batch_168,-42837240.0
batch_169,-42838232.0
batch_170,-42839232.0
batch_171,-42840228.0
batch_172,-42841220.0
batch_173,-42842216.0
batch_174,-42843216.0
batch_175,-42844212.0
batch_176,-42845208.0
batch_177,-42846204.0
batch_178,-42847196.0
batch_179,-42848188.0
batch_180,-42849188.0
batch_181,-42850184.0
batch_182,-42851180.0
batch_183,-42852176.0
batch_184,-42853172.0
batch_185,-42854168.0
batch_186,-42855160.0
batch_187,-42856156.0
batch_188,-42857156.0
batch_189,-42858152.0
batch_190,-42859144.0
batch_191,-42860144.0
batch_192,-42861136.0
batch_193,-42862132.0
batch_194,-42863124.0
batch_195,-42864128.0
batch_196,-42865116.0
batch_197,-42866116.0
batch_198,-42867108.0
batch_199,-42868108.0
batch_200,-42869104.0
batch_201,-42870104.0
batch_202,-42871096.0
batch_203,-42872092.0
batch_204,-42873084.0
batch_205,-42874088.0
batch_206,-42875076.0
batch_207,-42876080.0
batch_208,-42877072.0
batch_209,-42878072.0
batch_210,-42879064.0
batch_211,-42880060.0
batch_212,-42881056.0
batch_213,-42882052.0
batch_214,-42883052.0
batch_215,-42884048.0
batch_216,-42885048.0
batch_217,-42886036.0
batch_218,-42887032.0
batch_219,-42888028.0
batch_220,-42889032.0
batch_221,-42890028.0
batch_222,-42891024.0
batch_223,-42892016.0
batch_224,-42893012.0
batch_225,-42894008.0
batch_226,-42895004.0
batch_227,-42896004.0
batch_228,-42896996.0
batch_229,-42897992.0
batch_230,-42898992.0
batch_231,-42899988.0
batch_232,-42900984.0
batch_233,-42901980.0
batch_234,-42902980.0
batch_235,-42903976.0
batch_236,-42904972.0
batch_237,-42905964.0
batch_238,-42906964.0
batch_239,-42907964.0
batch_240,-42908960.0
batch_241,-42909952.0
batch_242,-42910952.0
batch_243,-42911944.0
batch_244,-42912944.0
batch_245,-42913944.0
batch_246,-42914936.0
batch_247,-42915932.0
batch_248,-42916932.0
batch_249,-42917928.0
batch_250,-42918924.0
batch_251,-42919920.0
batch_252,-42920920.0
batch_253,-42921916.0
batch_254,-42922916.0
batch_255,-42923908.0
batch_256,-42924908.0
batch_257,-42925900.0
batch_258,-42926900.0
batch_259,-42927892.0
batch_260,-42928892.0
batch_261,-42929892.0
batch_262,-42930884.0
batch_263,-42931884.0
batch_264,-42932880.0
batch_265,-42933876.0
batch_266,-42934872.0
batch_267,-42935872.0
batch_268,-42936868.0
batch_269,-42937864.0
batch_270,-42938864.0
batch_271,-42939860.0
batch_272,-42940856.0
batch_273,-42941852.0
batch_274,-42942852.0
batch_275,-42943848.0
batch_276,-42944844.0
batch_277,-42945840.0
batch_278,-42946836.0
batch_279,-42947840.0
batch_280,-42948836.0
batch_281,-42949832.0
batch_282,-42950828.0
batch_283,-42951828.0
batch_284,-42952820.0
batch_285,-42953820.0
batch_286,-42954820.0
batch_287,-42955812.0
batch_288,-42956808.0
batch_289,-42957808.0
batch_290,-42958808.0
batch_291,-42959804.0
batch_292,-42960800.0
batch_293,-42961796.0
batch_294,-42962800.0
batch_295,-42963792.0
batch_296,-42964792.0
batch_297,-42965788.0
batch_298,-42966788.0
batch_299,-42967788.0
batch_300,-42968780.0
batch_301,-42969780.0
batch_302,-42970776.0
batch_303,-42971772.0
batch_304,-42972772.0
batch_305,-42973768.0
