,iteration_1
batch_1,-13291812.0
batch_2,-13292277.0
batch_3,-13292744.0
batch_4,-13293209.0
batch_5,-13293673.0
batch_6,-13294139.0
batch_7,-13294604.0
batch_8,-13295068.0
batch_9,-13295533.0
batch_10,-13295998.0
batch_11,-13296464.0
batch_12,-13296927.0
batch_13,-13297395.0
batch_14,-13297859.0
batch_15,-13298324.0
batch_16,-13298791.0
batch_17,-13299255.0
batch_18,-13299719.0
batch_19,-13300185.0
batch_20,-13300652.0
batch_21,-13301116.0
batch_22,-13301581.0
batch_23,-13302046.0
batch_24,-13302512.0
batch_25,-13302976.0
batch_26,-13303443.0
batch_27,-13303908.0
batch_28,-13304372.0
batch_29,-13304840.0
batch_30,-13305304.0
batch_31,-13305769.0
batch_32,-13306235.0
batch_33,-13306700.0
batch_34,-13307165.0
batch_35,-13307631.0
batch_36,-13308097.0
batch_37,-13308561.0
batch_38,-13309027.0
batch_39,-13309493.0
batch_40,-13309958.0
batch_41,-13310422.0
batch_42,-13310890.0
batch_43,-13311354.0
batch_44,-13311819.0
batch_45,-13312285.0
batch_46,-13312751.0
batch_47,-13313217.0
batch_48,-13313681.0
batch_49,-13314147.0
batch_50,-13314613.0
batch_51,-13315079.0
batch_52,-13315545.0
batch_53,-13316011.0
batch_54,-13316476.0
batch_55,-13316941.0
batch_56,-13317408.0
batch_57,-13317872.0
batch_58,-13318338.0
batch_59,-13318805.0
batch_60,-13319269.0
batch_61,-13319735.0
batch_62,-13320201.0
batch_63,-13320668.0
batch_64,-13321134.0
batch_65,-13321599.0
batch_66,-13322064.0
batch_67,-13322531.0
batch_68,-13322997.0
batch_69,-13323461.0
batch_70,-13323926.0
batch_71,-13324393.0
batch_72,-13324859.0
batch_73,-13325324.0
batch_74,-13325791.0
batch_75,-13326256.0
batch_76,-13326723.0
batch_77,-13327189.0
batch_78,-13327655.0
batch_79,-13328120.0
batch_80,-13328586.0
batch_81,-13329051.0
batch_82,-13329516.0
batch_83,-13329983.0
batch_84,-13330449.0
batch_85,-13330916.0
batch_86,-13331382.0
batch_87,-13331847.0
batch_88,-13332313.0
batch_89,-13332780.0
batch_90,-13333246.0
batch_91,-13333712.0
batch_92,-13334177.0
batch_93,-13334644.0
batch_94,-13335110.0
batch_95,-13335575.0
batch_96,-13336042.0
batch_97,-13336508.0
batch_98,-13336974.0
batch_99,-13337438.0
batch_100,-13337907.0
batch_101,-13338372.0
batch_102,-13338838.0
batch_103,-13339305.0
batch_104,-13339772.0
batch_105,-13340237.0
batch_106,-13340703.0
batch_107,-13341170.0
batch_108,-13341635.0
batch_109,-13342103.0
batch_110,-13342568.0
batch_111,-13343035.0
batch_112,-13343500.0
batch_113,-13343967.0
batch_114,-13344433.0
batch_115,-13344899.0
batch_116,-13345366.0
batch_117,-13345832.0
batch_118,-13346298.0
batch_119,-13346765.0
batch_120,-13347232.0
batch_121,-13347698.0
batch_122,-13348164.0
batch_123,-13348630.0
batch_124,-13349097.0
batch_125,-13349563.0
batch_126,-13350030.0
batch_127,-13350496.0
batch_128,-13350962.0
batch_129,-13351429.0
batch_130,-13351896.0
batch_131,-13352362.0
batch_132,-13352828.0
batch_133,-13353294.0
batch_134,-13353761.0
batch_135,-13354229.0
batch_136,-13354695.0
batch_137,-13355161.0
batch_138,-13355627.0
batch_139,-13356094.0
batch_140,-13356560.0
batch_141,-13357027.0
batch_142,-13357493.0
batch_143,-13357961.0
batch_144,-13358426.0
batch_145,-13358894.0
batch_146,-13359360.0
batch_147,-13359826.0
batch_148,-13360294.0
batch_149,-13360759.0
batch_150,-13361225.0
batch_151,-13361694.0
batch_152,-13362159.0
batch_153,-13362625.0
batch_154,-13363091.0
batch_155,-13363560.0
batch_156,-13364024.0
batch_157,-13364494.0
batch_158,-13364959.0
batch_159,-13365426.0
batch_160,-13365892.0
batch_161,-13366361.0
batch_162,-13366827.0
batch_163,-13367292.0
batch_164,-13367761.0
batch_165,-13368227.0
batch_166,-13368694.0
batch_167,-13369161.0
batch_168,-13369628.0
batch_169,-13370093.0
batch_170,-13370559.0
batch_171,-13371029.0
batch_172,-13371493.0
batch_173,-13371961.0
batch_174,-13372430.0
batch_175,-13372896.0
batch_176,-13373363.0
batch_177,-13373830.0
batch_178,-13374298.0
batch_179,-13374763.0
batch_180,-13375231.0
batch_181,-13375698.0
batch_182,-13376165.0
batch_183,-13376633.0
batch_184,-13377099.0
batch_185,-13377565.0
batch_186,-13378033.0
batch_187,-13378501.0
batch_188,-13378967.0
batch_189,-13379434.0
batch_190,-13379901.0
batch_191,-13380369.0
batch_192,-13380835.0
batch_193,-13381304.0
batch_194,-13381770.0
batch_195,-13382237.0
batch_196,-13382704.0
batch_197,-13383171.0
batch_198,-13383639.0
batch_199,-13384106.0
batch_200,-13384572.0
batch_201,-13385039.0
batch_202,-13385507.0
batch_203,-13385975.0
batch_204,-13386441.0
batch_205,-13386909.0
batch_206,-13387377.0
batch_207,-13387844.0
batch_208,-13388311.0
batch_209,-13388779.0
batch_210,-13389245.0
batch_211,-13389712.0
batch_212,-13390181.0
batch_213,-13390648.0
batch_214,-13391115.0
batch_215,-13391581.0
batch_216,-13392049.0
batch_217,-13392517.0
batch_218,-13392985.0
batch_219,-13393453.0
batch_220,-13393920.0
batch_221,-13394387.0
batch_222,-13394855.0
batch_223,-13395322.0
batch_224,-13395790.0
batch_225,-13396257.0
batch_226,-13396724.0
batch_227,-13397192.0
batch_228,-13397660.0
batch_229,-13398125.0
batch_230,-13398594.0
batch_231,-13399061.0
batch_232,-13399528.0
batch_233,-13399996.0
batch_234,-13400464.0
batch_235,-13400933.0
batch_236,-13401401.0
batch_237,-13401867.0
batch_238,-13402335.0
batch_239,-13402803.0
batch_240,-13403270.0
batch_241,-13403739.0
batch_242,-13404206.0
batch_243,-13404673.0
batch_244,-13405141.0
batch_245,-13405608.0
batch_246,-13406077.0
batch_247,-13406543.0
batch_248,-13407012.0
batch_249,-13407478.0
batch_250,-13407947.0
batch_251,-13408413.0
batch_252,-13408883.0
batch_253,-13409349.0
batch_254,-13409817.0
batch_255,-13410287.0
batch_256,-13410754.0
batch_257,-13411222.0
batch_258,-13411688.0
batch_259,-13412158.0
batch_260,-13412625.0
batch_261,-13413093.0
batch_262,-13413561.0
batch_263,-13414027.0
batch_264,-13414498.0
batch_265,-13414965.0
batch_266,-13415433.0
batch_267,-13415901.0
batch_268,-13416370.0
batch_269,-13416836.0
batch_270,-13417304.0
batch_271,-13417773.0
batch_272,-13418241.0
batch_273,-13418709.0
batch_274,-13419177.0
batch_275,-13419645.0
batch_276,-13420113.0
batch_277,-13420579.0
batch_278,-13421047.0
batch_279,-13421517.0
batch_280,-13421986.0
batch_281,-13422454.0
batch_282,-13422921.0
batch_283,-13423390.0
batch_284,-13423858.0
batch_285,-13424325.0
batch_286,-13424794.0
batch_287,-13425262.0
batch_288,-13425730.0
batch_289,-13426198.0
batch_290,-13426667.0
batch_291,-13427134.0
batch_292,-13427603.0
batch_293,-13428072.0
batch_294,-13428539.0
batch_295,-13429007.0
batch_296,-13429477.0
batch_297,-13429945.0
batch_298,-13430413.0
batch_299,-13430882.0
batch_300,-13431349.0
batch_301,-13431818.0
batch_302,-13432285.0
batch_303,-13432754.0
batch_304,-13433223.0
batch_305,-13433690.0
batch_306,-13434159.0
batch_307,-13434628.0
batch_308,-13435095.0
batch_309,-13435564.0
batch_310,-13436033.0
batch_311,-13436500.0
batch_312,-13436970.0
batch_313,-13437437.0
batch_314,-13437907.0
batch_315,-13438374.0
batch_316,-13438842.0
batch_317,-13439311.0
batch_318,-13439779.0
batch_319,-13440249.0
batch_320,-13440718.0
batch_321,-13441186.0
batch_322,-13441655.0
batch_323,-13442122.0
batch_324,-13442591.0
batch_325,-13443061.0
batch_326,-13443530.0
batch_327,-13443997.0
batch_328,-13444467.0
batch_329,-13444935.0
batch_330,-13445403.0
batch_331,-13445871.0
batch_332,-13446341.0
batch_333,-13446809.0
batch_334,-13447278.0
batch_335,-13447747.0
batch_336,-13448215.0
batch_337,-13448683.0
batch_338,-13449152.0
batch_339,-13449622.0
batch_340,-13450091.0
batch_341,-13450559.0
batch_342,-13451029.0
batch_343,-13451497.0
batch_344,-13451966.0
batch_345,-13452435.0
batch_346,-13452903.0
batch_347,-13453372.0
batch_348,-13453841.0
batch_349,-13454310.0
batch_350,-13454778.0
batch_351,-13455247.0
batch_352,-13455717.0
batch_353,-13456185.0
batch_354,-13456654.0
batch_355,-13457123.0
batch_356,-13457592.0
batch_357,-13458062.0
batch_358,-13458529.0
batch_359,-13459000.0
batch_360,-13459467.0
batch_361,-13459937.0
batch_362,-13460405.0
batch_363,-13460875.0
batch_364,-13461343.0
batch_365,-13461812.0
batch_366,-13462280.0
batch_367,-13462751.0
batch_368,-13463219.0
batch_369,-13463687.0
batch_370,-13464158.0
batch_371,-13464625.0
batch_372,-13465095.0
batch_373,-13465565.0
batch_374,-13466034.0
batch_375,-13466503.0
batch_376,-13466972.0
batch_377,-13467441.0
batch_378,-13467911.0
batch_379,-13468380.0
batch_380,-13468849.0
batch_381,-13469317.0
batch_382,-13469786.0
batch_383,-13470257.0
batch_384,-13470724.0
batch_385,-13471194.0
batch_386,-13471665.0
batch_387,-13472133.0
batch_388,-13472602.0
batch_389,-13473072.0
batch_390,-13473540.0
batch_391,-13474009.0
batch_392,-13474479.0
batch_393,-13474949.0
batch_394,-13475419.0
batch_395,-13475887.0
batch_396,-13476357.0
batch_397,-13476826.0
batch_398,-13477295.0
batch_399,-13477765.0
batch_400,-13478232.0
batch_401,-13478704.0
batch_402,-13479173.0
batch_403,-13479643.0
batch_404,-13480111.0
batch_405,-13480580.0
batch_406,-13481051.0
batch_407,-13481519.0
batch_408,-13481989.0
batch_409,-13482459.0
batch_410,-13482929.0
batch_411,-13483398.0
batch_412,-13483868.0
batch_413,-13484337.0
batch_414,-13484806.0
batch_415,-13485277.0
batch_416,-13485746.0
batch_417,-13486215.0
