,iteration_1
batch_1,-20745218.0
batch_2,-20745846.0
batch_3,-20746470.0
batch_4,-20747098.0
batch_5,-20747722.0
batch_6,-20748352.0
batch_7,-20748976.0
batch_8,-20749604.0
batch_9,-20750228.0
batch_10,-20750852.0
batch_11,-20751480.0
batch_12,-20752108.0
batch_13,-20752732.0
batch_14,-20753360.0
batch_15,-20753984.0
batch_16,-20754610.0
batch_17,-20755236.0
batch_18,-20755860.0
batch_19,-20756486.0
batch_20,-20757112.0
batch_21,-20757740.0
batch_22,-20758362.0
batch_23,-20758992.0
batch_24,-20759620.0
batch_25,-20760244.0
batch_26,-20760872.0
batch_27,-20761494.0
batch_28,-20762124.0
batch_29,-20762748.0
batch_30,-20763372.0
batch_31,-20764000.0
batch_32,-20764626.0
batch_33,-20765252.0
batch_34,-20765880.0
batch_35,-20766504.0
batch_36,-20767130.0
batch_37,-20767758.0
batch_38,-20768384.0
batch_39,-20769006.0
batch_40,-20769636.0
batch_41,-20770258.0
batch_42,-20770888.0
batch_43,-20771512.0
batch_44,-20772140.0
batch_45,-20772768.0
batch_46,-20773392.0
batch_47,-20774020.0
batch_48,-20774644.0
batch_49,-20775272.0
batch_50,-20775898.0
batch_51,-20776522.0
batch_52,-20777152.0
batch_53,-20777778.0
batch_54,-20778404.0
batch_55,-20779028.0
batch_56,-20779656.0
batch_57,-20780284.0
batch_58,-20780908.0
batch_59,-20781536.0
batch_60,-20782164.0
batch_61,-20782788.0
batch_62,-20783416.0
batch_63,-20784040.0
batch_64,-20784668.0
batch_65,-20785292.0
batch_66,-20785922.0
batch_67,-20786548.0
batch_68,-20787174.0
batch_69,-20787802.0
batch_70,-20788428.0
batch_71,-20789054.0
batch_72,-20789682.0
batch_73,-20790308.0
batch_74,-20790934.0
batch_75,-20791560.0
batch_76,-20792188.0
batch_77,-20792812.0
batch_78,-20793440.0
batch_79,-20794068.0
batch_80,-20794696.0
batch_81,-20795320.0
batch_82,-20795948.0
batch_83,-20796572.0
batch_84,-20797200.0
batch_85,-20797828.0
batch_86,-20798456.0
batch_87,-20799080.0
batch_88,-20799708.0
batch_89,-20800336.0
batch_90,-20800962.0
batch_91,-20801588.0
batch_92,-20802216.0
batch_93,-20802842.0
batch_94,-20803470.0
batch_95,-20804094.0
batch_96,-20804724.0
batch_97,-20805348.0
batch_98,-20805980.0
batch_99,-20806604.0
batch_100,-20807232.0
batch_101,-20807860.0
batch_102,-20808484.0
batch_103,-20809112.0
batch_104,-20809738.0
batch_105,-20810366.0
batch_106,-20810992.0
batch_107,-20811620.0
batch_108,-20812248.0
batch_109,-20812874.0
batch_110,-20813498.0
batch_111,-20814130.0
batch_112,-20814754.0
batch_113,-20815382.0
batch_114,-20816010.0
batch_115,-20816636.0
batch_116,-20817264.0
batch_117,-20817892.0
batch_118,-20818520.0
batch_119,-20819144.0
batch_120,-20819772.0
batch_121,-20820400.0
batch_122,-20821026.0
batch_123,-20821654.0
batch_124,-20822284.0
batch_125,-20822910.0
batch_126,-20823536.0
batch_127,-20824164.0
batch_128,-20824792.0
batch_129,-20825420.0
batch_130,-20826048.0
batch_131,-20826676.0
batch_132,-20827300.0
batch_133,-20827928.0
batch_134,-20828556.0
batch_135,-20829184.0
batch_136,-20829808.0
batch_137,-20830436.0
batch_138,-20831064.0
batch_139,-20831692.0
batch_140,-20832320.0
batch_141,-20832948.0
batch_142,-20833576.0
batch_143,-20834204.0
batch_144,-20834832.0
batch_145,-20835456.0
batch_146,-20836088.0
batch_147,-20836714.0
batch_148,-20837340.0
batch_149,-20837968.0
batch_150,-20838596.0
batch_151,-20839224.0
batch_152,-20839850.0
batch_153,-20840480.0
batch_154,-20841106.0
batch_155,-20841732.0
batch_156,-20842362.0
batch_157,-20842992.0
batch_158,-20843614.0
batch_159,-20844244.0
batch_160,-20844868.0
batch_161,-20845500.0
batch_162,-20846128.0
batch_163,-20846754.0
batch_164,-20847382.0
batch_165,-20848008.0
batch_166,-20848638.0
