,iteration_1
batch_1,-5835844.0
batch_2,-5836112.5
batch_3,-5836381.5
batch_4,-5836650.5
batch_5,-5836917.5
batch_6,-5837187.5
batch_7,-5837456.0
batch_8,-5837725.5
batch_9,-5837993.5
batch_10,-5838261.5
batch_11,-5838530.5
batch_12,-5838799.5
batch_13,-5839068.5
batch_14,-5839337.5
batch_15,-5839606.0
batch_16,-5839875.0
batch_17,-5840144.5
batch_18,-5840412.0
batch_19,-5840681.5
batch_20,-5840950.0
batch_21,-5841218.5
batch_22,-5841487.0
batch_23,-5841756.5
batch_24,-5842025.0
batch_25,-5842294.0
batch_26,-5842563.5
batch_27,-5842832.0
batch_28,-5843099.5
batch_29,-5843370.0
batch_30,-5843638.5
batch_31,-5843907.0
batch_32,-5844176.0
batch_33,-5844445.5
batch_34,-5844714.0
batch_35,-5844983.0
batch_36,-5845251.5
batch_37,-5845521.5
batch_38,-5845790.5
batch_39,-5846057.5
batch_40,-5846328.5
batch_41,-5846595.5
batch_42,-5846866.5
batch_43,-5847135.0
batch_44,-5847402.5
batch_45,-5847673.5
batch_46,-5847941.5
batch_47,-5848211.0
batch_48,-5848480.5
batch_49,-5848749.0
batch_50,-5849017.5
batch_51,-5849287.5
batch_52,-5849556.5
batch_53,-5849825.5
batch_54,-5850094.5
batch_55,-5850362.5
batch_56,-5850633.0
batch_57,-5850901.5
batch_58,-5851171.0
batch_59,-5851440.0
batch_60,-5851709.0
batch_61,-5851978.5
batch_62,-5852248.0
batch_63,-5852517.0
batch_64,-5852786.5
batch_65,-5853055.0
batch_66,-5853324.5
batch_67,-5853593.0
batch_68,-5853862.5
batch_69,-5854132.0
batch_70,-5854401.0
batch_71,-5854670.0
batch_72,-5854940.0
batch_73,-5855209.0
batch_74,-5855478.5
batch_75,-5855748.5
batch_76,-5856016.0
batch_77,-5856286.0
batch_78,-5856555.0
batch_79,-5856824.5
batch_80,-5857094.0
batch_81,-5857362.5
batch_82,-5857632.5
batch_83,-5857901.5
batch_84,-5858171.5
batch_85,-5858441.0
batch_86,-5858710.0
batch_87,-5858979.5
batch_88,-5859249.0
batch_89,-5859517.5
batch_90,-5859788.0
batch_91,-5860057.0
batch_92,-5860326.0
batch_93,-5860596.0
batch_94,-5860865.0
batch_95,-5861134.5
batch_96,-5861403.5
batch_97,-5861673.5
batch_98,-5861943.5
batch_99,-5862212.5
batch_100,-5862482.0
batch_101,-5862752.0
batch_102,-5863020.0
batch_103,-5863290.5
batch_104,-5863560.5
batch_105,-5863829.5
batch_106,-5864098.0
batch_107,-5864368.0
batch_108,-5864638.0
batch_109,-5864908.0
batch_110,-5865177.0
batch_111,-5865447.0
batch_112,-5865716.0
batch_113,-5865984.5
batch_114,-5866255.0
batch_115,-5866524.0
batch_116,-5866794.5
batch_117,-5867063.5
batch_118,-5867333.0
batch_119,-5867603.0
batch_120,-5867873.5
batch_121,-5868143.0
batch_122,-5868413.0
batch_123,-5868681.5
batch_124,-5868952.0
batch_125,-5869222.0
batch_126,-5869491.5
batch_127,-5869761.5
batch_128,-5870030.0
batch_129,-5870300.5
batch_130,-5870570.5
batch_131,-5870839.5
batch_132,-5871109.5
batch_133,-5871379.5
batch_134,-5871649.0
batch_135,-5871919.0
batch_136,-5872188.0
batch_137,-5872458.0
batch_138,-5872728.0
batch_139,-5872997.5
batch_140,-5873268.0
batch_141,-5873537.5
batch_142,-5873806.5
batch_143,-5874077.5
batch_144,-5874346.5
batch_145,-5874617.0
