,iteration_1
batch_1,-7879010.0
batch_2,-7879339.0
batch_3,-7879667.0
batch_4,-7879995.0
batch_5,-7880323.5
batch_6,-7880652.0
batch_7,-7880979.5
batch_8,-7881307.5
batch_9,-7881636.5
batch_10,-7881964.0
batch_11,-7882292.5
batch_12,-7882621.5
batch_13,-7882949.5
batch_14,-7883277.0
batch_15,-7883606.5
batch_16,-7883934.5
batch_17,-7884263.0
batch_18,-7884592.0
batch_19,-7884919.0
batch_20,-7885248.5
batch_21,-7885576.5
batch_22,-7885904.0
batch_23,-7886232.5
batch_24,-7886561.5
batch_25,-7886889.5
batch_26,-7887217.5
batch_27,-7887545.5
batch_28,-7887874.5
batch_29,-7888203.0
batch_30,-7888531.5
batch_31,-7888860.5
batch_32,-7889188.5
batch_33,-7889517.5
batch_34,-7889845.5
batch_35,-7890174.0
batch_36,-7890502.0
batch_37,-7890830.0
batch_38,-7891159.5
batch_39,-7891488.0
batch_40,-7891816.5
batch_41,-7892145.5
batch_42,-7892474.0
batch_43,-7892802.0
batch_44,-7893130.5
batch_45,-7893459.0
batch_46,-7893788.0
batch_47,-7894116.0
batch_48,-7894445.5
batch_49,-7894774.5
batch_50,-7895103.0
batch_51,-7895431.5
batch_52,-7895759.5
batch_53,-7896087.5
batch_54,-7896416.5
batch_55,-7896745.5
batch_56,-7897074.0
batch_57,-7897403.0
batch_58,-7897731.5
batch_59,-7898059.5
batch_60,-7898388.0
batch_61,-7898716.5
batch_62,-7899045.0
batch_63,-7899374.5
batch_64,-7899703.5
batch_65,-7900032.0
batch_66,-7900360.5
batch_67,-7900688.5
batch_68,-7901019.5
batch_69,-7901347.0
batch_70,-7901675.5
batch_71,-7902005.5
batch_72,-7902334.0
batch_73,-7902662.5
batch_74,-7902991.5
batch_75,-7903320.5
batch_76,-7903649.0
batch_77,-7903978.5
batch_78,-7904307.5
batch_79,-7904636.5
batch_80,-7904964.0
batch_81,-7905294.5
batch_82,-7905622.5
batch_83,-7905951.0
batch_84,-7906280.5
batch_85,-7906609.5
batch_86,-7906938.5
batch_87,-7907267.0
batch_88,-7907597.0
batch_89,-7907925.5
batch_90,-7908255.0
batch_91,-7908583.5
batch_92,-7908913.0
batch_93,-7909241.5
batch_94,-7909571.0
batch_95,-7909899.5
batch_96,-7910228.5
batch_97,-7910557.5
batch_98,-7910887.0
batch_99,-7911215.0
batch_100,-7911545.5
batch_101,-7911874.0
batch_102,-7912203.5
batch_103,-7912532.5
batch_104,-7912861.5
batch_105,-7913190.5
batch_106,-7913518.0
batch_107,-7913849.0
batch_108,-7914178.5
batch_109,-7914507.5
batch_110,-7914835.5
batch_111,-7915165.5
batch_112,-7915495.0
batch_113,-7915823.0
batch_114,-7916152.5
batch_115,-7916482.5
batch_116,-7916812.0
batch_117,-7917140.5
batch_118,-7917469.5
batch_119,-7917798.5
batch_120,-7918128.5
batch_121,-7918458.5
batch_122,-7918787.0
batch_123,-7919116.5
batch_124,-7919445.5
batch_125,-7919775.5
batch_126,-7920104.0
batch_127,-7920433.5
batch_128,-7920763.5
batch_129,-7921092.5
batch_130,-7921421.5
batch_131,-7921751.5
batch_132,-7922080.0
batch_133,-7922410.0
batch_134,-7922739.5
batch_135,-7923068.5
batch_136,-7923397.5
batch_137,-7923727.0
batch_138,-7924056.5
batch_139,-7924386.5
batch_140,-7924715.5
batch_141,-7925045.0
batch_142,-7925374.5
batch_143,-7925704.0
batch_144,-7926033.5
batch_145,-7926363.5
batch_146,-7926692.5
batch_147,-7927022.5
batch_148,-7927351.5
batch_149,-7927681.0
batch_150,-7928010.0
batch_151,-7928340.0
batch_152,-7928669.5
batch_153,-7928999.0
batch_154,-7929327.5
batch_155,-7929656.0
batch_156,-7929985.5
batch_157,-7930317.0
batch_158,-7930644.5
batch_159,-7930976.5
batch_160,-7931306.0
batch_161,-7931635.5
batch_162,-7931963.5
batch_163,-7932295.5
batch_164,-7932624.0
batch_165,-7932954.0
batch_166,-7933283.5
batch_167,-7933612.0
batch_168,-7933943.5
batch_169,-7934271.5
batch_170,-7934601.5
batch_171,-7934933.0
batch_172,-7935260.5
batch_173,-7935591.0
batch_174,-7935922.0
batch_175,-7936251.5
batch_176,-7936581.5
batch_177,-7936911.0
batch_178,-7937240.5
batch_179,-7937570.0
batch_180,-7937899.5
batch_181,-7938230.0
batch_182,-7938560.5
batch_183,-7938890.0
batch_184,-7939219.0
batch_185,-7939548.5
batch_186,-7939879.0
batch_187,-7940209.0
batch_188,-7940539.5
batch_189,-7940869.0
batch_190,-7941198.5
batch_191,-7941528.0
batch_192,-7941858.0
batch_193,-7942188.0
batch_194,-7942518.5
batch_195,-7942849.0
batch_196,-7943179.0
batch_197,-7943508.5
batch_198,-7943838.5
batch_199,-7944169.0
batch_200,-7944499.0
batch_201,-7944829.5
batch_202,-7945159.0
batch_203,-7945489.0
batch_204,-7945818.5
batch_205,-7946149.0
batch_206,-7946479.5
batch_207,-7946809.5
batch_208,-7947139.0
batch_209,-7947469.5
batch_210,-7947799.5
batch_211,-7948129.0
batch_212,-7948459.0
batch_213,-7948790.5
batch_214,-7949118.0
batch_215,-7949450.0
batch_216,-7949779.0
batch_217,-7950110.0
batch_218,-7950439.5
batch_219,-7950768.5
batch_220,-7951100.5
batch_221,-7951430.0
batch_222,-7951761.5
batch_223,-7952089.5
batch_224,-7952420.5
batch_225,-7952749.5
batch_226,-7953080.0
batch_227,-7953410.0
batch_228,-7953742.5
batch_229,-7954072.0
batch_230,-7954402.0
batch_231,-7954732.5
batch_232,-7955061.5
batch_233,-7955393.0
batch_234,-7955724.5
batch_235,-7956053.5
batch_236,-7956385.5
batch_237,-7956715.0
batch_238,-7957044.0
batch_239,-7957376.0
batch_240,-7957705.5
batch_241,-7958035.5
batch_242,-7958367.0
batch_243,-7958697.0
batch_244,-7959028.0
batch_245,-7959357.0
batch_246,-7959687.5
batch_247,-7960018.5
batch_248,-7960349.5
batch_249,-7960678.5
batch_250,-7961010.0
batch_251,-7961339.5
batch_252,-7961670.5
batch_253,-7962001.5
batch_254,-7962331.0
batch_255,-7962661.5
batch_256,-7962991.5
batch_257,-7963323.0
batch_258,-7963653.0
batch_259,-7963983.5
batch_260,-7964314.0
batch_261,-7964645.5
batch_262,-7964976.0
batch_263,-7965305.5
batch_264,-7965636.0
batch_265,-7965968.0
batch_266,-7966298.0
batch_267,-7966629.0
batch_268,-7966960.5
batch_269,-7967289.0
batch_270,-7967619.5
batch_271,-7967951.0
batch_272,-7968282.0
batch_273,-7968612.0
batch_274,-7968943.5
batch_275,-7969274.0
batch_276,-7969605.0
batch_277,-7969934.5
batch_278,-7970266.0
batch_279,-7970597.0
batch_280,-7970927.0
batch_281,-7971258.5
batch_282,-7971588.5
batch_283,-7971920.0
batch_284,-7972250.5
batch_285,-7972581.0
batch_286,-7972912.0
batch_287,-7973243.0
batch_288,-7973573.5
batch_289,-7973905.5
batch_290,-7974235.0
batch_291,-7974566.0
batch_292,-7974897.5
batch_293,-7975227.0
batch_294,-7975559.5
batch_295,-7975890.5
batch_296,-7976220.5
batch_297,-7976550.5
batch_298,-7976882.5
batch_299,-7977213.5
batch_300,-7977543.5
batch_301,-7977875.0
batch_302,-7978205.5
