,iteration_1
batch_1,-65520732.0
batch_2,-65522064.0
batch_3,-65523384.0
batch_4,-65524704.0
batch_5,-65526028.0
batch_6,-65527344.0
batch_7,-65528668.0
batch_8,-65529988.0
batch_9,-65531312.0
batch_10,-65532632.0
batch_11,-65533960.0
batch_12,-65535276.0
batch_13,-65536600.0
batch_14,-65537920.0
batch_15,-65539244.0
batch_16,-65540568.0
batch_17,-65541888.0
batch_18,-65543208.0
batch_19,-65544524.0
batch_20,-65545848.0
batch_21,-65547172.0
batch_22,-65548496.0
batch_23,-65549816.0
batch_24,-65551140.0
batch_25,-65552456.0
batch_26,-65553780.0
batch_27,-65555100.0
batch_28,-65556428.0
batch_29,-65557748.0
batch_30,-65559072.0
batch_31,-65560392.0
batch_32,-65561716.0
batch_33,-65563036.0
batch_34,-65564356.0
batch_35,-65565684.0
batch_36,-65567004.0
batch_37,-65568324.0
batch_38,-65569648.0
batch_39,-65570968.0
batch_40,-65572288.0
batch_41,-65573612.0
batch_42,-65574936.0
batch_43,-65576256.0
batch_44,-65577580.0
batch_45,-65578900.0
batch_46,-65580224.0
batch_47,-65581544.0
batch_48,-65582876.0
batch_49,-65584192.0
batch_50,-65585516.0
batch_51,-65586836.0
batch_52,-65588160.0
batch_53,-65589480.0
batch_54,-65590804.0
batch_55,-65592124.0
batch_56,-65593452.0
batch_57,-65594772.0
batch_58,-65596096.0
batch_59,-65597412.0
batch_60,-65598736.0
batch_61,-65600064.0
batch_62,-65601384.0
batch_63,-65602712.0
batch_64,-65604032.0
batch_65,-65605352.0
batch_66,-65606672.0
batch_67,-65607996.0
batch_68,-65609324.0
batch_69,-65610644.0
batch_70,-65611968.0
batch_71,-65613288.0
batch_72,-65614612.0
batch_73,-65615932.0
batch_74,-65617260.0
batch_75,-65618580.0
batch_76,-65619904.0
batch_77,-65621224.0
batch_78,-65622548.0
batch_79,-65623872.0
batch_80,-65625196.0
batch_81,-65626520.0
batch_82,-65627840.0
batch_83,-65629164.0
batch_84,-65630484.0
batch_85,-65631812.0
batch_86,-65633132.0
batch_87,-65634456.0
batch_88,-65635780.0
batch_89,-65637104.0
batch_90,-65638428.0
batch_91,-65639748.0
batch_92,-65641072.0
batch_93,-65642388.0
batch_94,-65643720.0
batch_95,-65645040.0
batch_96,-65646368.0
batch_97,-65647684.0
batch_98,-65649012.0
batch_99,-65650328.0
batch_100,-65651652.0
batch_101,-65652984.0
batch_102,-65654304.0
batch_103,-65655628.0
batch_104,-65656952.0
batch_105,-65658272.0
batch_106,-65659596.0
batch_107,-65660920.0
batch_108,-65662248.0
batch_109,-65663564.0
batch_110,-65664892.0
batch_111,-65666212.0
batch_112,-65667536.0
batch_113,-65668856.0
batch_114,-65670184.0
batch_115,-65671508.0
batch_116,-65672832.0
batch_117,-65674156.0
batch_118,-65675476.0
batch_119,-65676800.0
batch_120,-65678128.0
batch_121,-65679448.0
batch_122,-65680776.0
batch_123,-65682096.0
batch_124,-65683420.0
batch_125,-65684744.0
batch_126,-65686064.0
batch_127,-65687396.0
batch_128,-65688716.0
batch_129,-65690040.0
batch_130,-65691364.0
batch_131,-65692684.0
batch_132,-65694012.0
batch_133,-65695332.0
batch_134,-65696660.0
batch_135,-65697980.0
batch_136,-65699308.0
batch_137,-65700628.0
batch_138,-65701952.0
batch_139,-65703276.0
batch_140,-65704604.0
batch_141,-65705928.0
batch_142,-65707252.0
batch_143,-65708576.0
batch_144,-65709896.0
batch_145,-65711220.0
batch_146,-65712544.0
batch_147,-65713872.0
batch_148,-65715200.0
batch_149,-65716520.0
batch_150,-65717840.0
batch_151,-65719168.0
batch_152,-65720488.0
batch_153,-65721820.0
batch_154,-65723136.0
batch_155,-65724460.0
batch_156,-65725792.0
batch_157,-65727112.0
batch_158,-65728440.0
batch_159,-65729760.0
batch_160,-65731084.0
batch_161,-65732412.0
batch_162,-65733736.0
batch_163,-65735056.0
batch_164,-65736384.0
batch_165,-65737708.0
batch_166,-65739028.0
batch_167,-65740356.0
batch_168,-65741680.0
batch_169,-65743008.0
batch_170,-65744332.0
batch_171,-65745652.0
batch_172,-65746972.0
batch_173,-65748304.0
batch_174,-65749628.0
batch_175,-65750952.0
batch_176,-65752272.0
batch_177,-65753604.0
batch_178,-65754924.0
batch_179,-65756256.0
batch_180,-65757576.0
batch_181,-65758900.0
batch_182,-65760232.0
batch_183,-65761548.0
batch_184,-65762880.0
batch_185,-65764196.0
batch_186,-65765532.0
batch_187,-65766852.0
batch_188,-65768180.0
batch_189,-65769496.0
batch_190,-65770824.0
batch_191,-65772148.0
batch_192,-65773468.0
batch_193,-65774800.0
batch_194,-65776124.0
batch_195,-65777448.0
batch_196,-65778768.0
batch_197,-65780100.0
batch_198,-65781420.0
batch_199,-65782752.0
batch_200,-65784076.0
batch_201,-65785400.0
batch_202,-65786724.0
batch_203,-65788048.0
batch_204,-65789376.0
batch_205,-65790696.0
batch_206,-65792028.0
batch_207,-65793352.0
batch_208,-65794676.0
batch_209,-65796000.0
batch_210,-65797328.0
batch_211,-65798652.0
batch_212,-65799980.0
batch_213,-65801300.0
batch_214,-65802628.0
batch_215,-65803956.0
batch_216,-65805276.0
batch_217,-65806600.0
batch_218,-65807928.0
batch_219,-65809252.0
batch_220,-65810584.0
batch_221,-65811904.0
batch_222,-65813228.0
batch_223,-65814556.0
batch_224,-65815880.0
batch_225,-65817208.0
batch_226,-65818536.0
batch_227,-65819860.0
batch_228,-65821184.0
batch_229,-65822504.0
batch_230,-65823832.0
batch_231,-65825160.0
batch_232,-65826488.0
batch_233,-65827808.0
batch_234,-65829136.0
batch_235,-65830464.0
batch_236,-65831788.0
batch_237,-65833112.0
batch_238,-65834436.0
batch_239,-65835768.0
batch_240,-65837092.0
batch_241,-65838416.0
batch_242,-65839740.0
batch_243,-65841068.0
batch_244,-65842388.0
batch_245,-65843720.0
batch_246,-65845048.0
batch_247,-65846372.0
batch_248,-65847700.0
batch_249,-65849020.0
batch_250,-65850348.0
batch_251,-65851668.0
batch_252,-65853000.0
batch_253,-65854328.0
batch_254,-65855652.0
batch_255,-65856980.0
batch_256,-65858304.0
batch_257,-65859628.0
batch_258,-65860960.0
batch_259,-65862284.0
batch_260,-65863604.0
batch_261,-65864936.0
batch_262,-65866260.0
batch_263,-65867588.0
batch_264,-65868912.0
batch_265,-65870244.0
batch_266,-65871568.0
batch_267,-65872892.0
batch_268,-65874216.0
batch_269,-65875544.0
batch_270,-65876872.0
batch_271,-65878204.0
batch_272,-65879524.0
batch_273,-65880852.0
batch_274,-65882180.0
batch_275,-65883500.0
batch_276,-65884832.0
batch_277,-65886148.0
batch_278,-65887484.0
batch_279,-65888812.0
batch_280,-65890136.0
batch_281,-65891464.0
batch_282,-65892792.0
batch_283,-65894112.0
batch_284,-65895448.0
batch_285,-65896768.0
batch_286,-65898096.0
batch_287,-65899424.0
batch_288,-65900744.0
batch_289,-65902076.0
batch_290,-65903404.0
batch_291,-65904728.0
batch_292,-65906056.0
batch_293,-65907384.0
batch_294,-65908708.0
batch_295,-65910036.0
batch_296,-65911364.0
batch_297,-65912684.0
batch_298,-65914020.0
batch_299,-65915344.0
batch_300,-65916668.0
batch_301,-65917996.0
batch_302,-65919324.0
batch_303,-65920648.0
batch_304,-65921980.0
batch_305,-65923308.0
batch_306,-65924632.0
batch_307,-65925956.0
batch_308,-65927288.0
batch_309,-65928608.0
batch_310,-65929936.0
batch_311,-65931272.0
batch_312,-65932596.0
batch_313,-65933920.0
batch_314,-65935248.0
batch_315,-65936572.0
batch_316,-65937904.0
batch_317,-65939228.0
batch_318,-65940556.0
batch_319,-65941884.0
batch_320,-65943208.0
batch_321,-65944540.0
batch_322,-65945864.0
batch_323,-65947188.0
batch_324,-65948520.0
batch_325,-65949848.0
batch_326,-65951172.0
batch_327,-65952504.0
batch_328,-65953828.0
batch_329,-65955152.0
batch_330,-65956484.0
batch_331,-65957812.0
batch_332,-65959144.0
batch_333,-65960464.0
batch_334,-65961788.0
batch_335,-65963116.0
batch_336,-65964448.0
batch_337,-65965776.0
batch_338,-65967104.0
batch_339,-65968432.0
batch_340,-65969760.0
batch_341,-65971084.0
batch_342,-65972412.0
batch_343,-65973740.0
batch_344,-65975068.0
batch_345,-65976392.0
batch_346,-65977724.0
batch_347,-65979052.0
