,iteration_1
batch_1,-29.629728317260742
batch_2,-28.407394409179688
batch_3,-30.50701332092285
batch_4,-29.40445899963379
batch_5,-30.35887908935547
batch_6,-29.145784378051758
batch_7,-28.975616455078125
batch_8,-27.640310287475586
batch_9,-29.921695709228516
batch_10,-30.360275268554688
batch_11,-28.090726852416992
batch_12,-29.319461822509766
batch_13,-27.35579490661621
batch_14,-27.917957305908203
batch_15,-29.747108459472656
batch_16,-30.08164405822754
batch_17,-29.662227630615234
batch_18,-28.34255027770996
batch_19,-29.05296516418457
batch_20,-30.178565979003906
batch_21,-29.468141555786133
batch_22,-28.85613250732422
batch_23,-29.868629455566406
batch_24,-29.55570411682129
batch_25,-30.859722137451172
batch_26,-30.764196395874023
batch_27,-30.382701873779297
batch_28,-30.07002067565918
batch_29,-29.770179748535156
batch_30,-30.649171829223633
batch_31,-30.323028564453125
batch_32,-29.48076820373535
batch_33,-30.039690017700195
batch_34,-30.853803634643555
batch_35,-31.210338592529297
batch_36,-30.422557830810547
batch_37,-30.395671844482422
batch_38,-29.975406646728516
batch_39,-30.388845443725586
batch_40,-28.394655227661133
batch_41,-30.215660095214844
batch_42,-29.00926971435547
batch_43,-30.408702850341797
batch_44,-29.657737731933594
batch_45,-30.290386199951172
batch_46,-29.707056045532227
batch_47,-30.61031150817871
batch_48,-31.098129272460938
batch_49,-28.794384002685547
batch_50,-28.850360870361328
batch_51,-30.39069366455078
batch_52,-30.971237182617188
batch_53,-29.664287567138672
batch_54,-31.358154296875
batch_55,-31.027099609375
batch_56,-29.56613540649414
batch_57,-29.91905975341797
batch_58,-30.592300415039062
batch_59,-30.21476173400879
batch_60,-29.888216018676758
batch_61,-30.291950225830078
batch_62,-29.507970809936523
batch_63,-28.892864227294922
batch_64,-30.07806968688965
batch_65,-29.540563583374023
batch_66,-30.759761810302734
batch_67,-29.894929885864258
batch_68,-29.707056045532227
batch_69,-29.655385971069336
batch_70,-29.612743377685547
batch_71,-29.518321990966797
batch_72,-30.95763397216797
batch_73,-30.047996520996094
batch_74,-30.7534236907959
batch_75,-30.817243576049805
batch_76,-30.673431396484375
batch_77,-29.50971221923828
batch_78,-29.490236282348633
batch_79,-30.73526954650879
batch_80,-30.05664825439453
batch_81,-31.402793884277344
batch_82,-31.11942481994629
batch_83,-30.449596405029297
batch_84,-31.220088958740234
batch_85,-30.431642532348633
batch_86,-30.81396484375
batch_87,-30.792814254760742
batch_88,-31.243453979492188
batch_89,-31.075273513793945
batch_90,-30.891408920288086
batch_91,-31.008628845214844
batch_92,-31.16827964782715
batch_93,-30.422531127929688
batch_94,-27.787189483642578
batch_95,-29.993389129638672
batch_96,-30.50227165222168
batch_97,-29.063377380371094
batch_98,-30.35715675354004
batch_99,-30.33009910583496
batch_100,-30.508312225341797
batch_101,-30.72566032409668
batch_102,-29.742259979248047
batch_103,-30.56795883178711
batch_104,-28.8142032623291
batch_105,-31.212955474853516
batch_106,-30.962472915649414
batch_107,-29.55693817138672
batch_108,-30.764968872070312
batch_109,-30.83616065979004
batch_110,-30.66266441345215
batch_111,-30.550601959228516
batch_112,-30.003414154052734
batch_113,-30.687450408935547
batch_114,-30.855323791503906
batch_115,-29.34771728515625
batch_116,-31.051374435424805
batch_117,-30.709259033203125
batch_118,-30.08416175842285
batch_119,-30.285234451293945
batch_120,-30.476852416992188
batch_121,-31.098012924194336
batch_122,-30.803333282470703
batch_123,-31.137556076049805
batch_124,-30.809682846069336
batch_125,-30.858413696289062
batch_126,-30.56813621520996
batch_127,-30.86518096923828
batch_128,-31.03925323486328
batch_129,-31.254009246826172
batch_130,-30.967609405517578
batch_131,-30.39444923400879
batch_132,-30.925832748413086
batch_133,-30.950695037841797
batch_134,-31.29125213623047
batch_135,-30.78656005859375
batch_136,-30.510700225830078
batch_137,-31.273433685302734
batch_138,-29.227285385131836
batch_139,-29.948043823242188
batch_140,-30.417898178100586
batch_141,-28.052358627319336
batch_142,-29.096330642700195
batch_143,-28.55202865600586
batch_144,-30.998483657836914
batch_145,-29.643163681030273
batch_146,-27.341453552246094
batch_147,-27.795564651489258
batch_148,-28.306270599365234
batch_149,-28.550952911376953
batch_150,-30.8082275390625
batch_151,-31.089092254638672
batch_152,-30.540668487548828
batch_153,-28.843488693237305
batch_154,-28.037525177001953
batch_155,-30.65043067932129
batch_156,-29.87407875061035
batch_157,-31.176448822021484
batch_158,-30.0108699798584
batch_159,-29.54157257080078
batch_160,-28.632417678833008
batch_161,-29.506370544433594
batch_162,-30.286041259765625
batch_163,-29.940061569213867
batch_164,-30.83428955078125
batch_165,-30.611316680908203
batch_166,-30.413633346557617
batch_167,-30.124042510986328
batch_168,-30.170072555541992
batch_169,-30.111827850341797
batch_170,-29.907989501953125
batch_171,-30.726627349853516
batch_172,-30.541484832763672
batch_173,-30.028078079223633
batch_174,-31.022905349731445
batch_175,-31.268667221069336
batch_176,-30.599376678466797
batch_177,-30.19373321533203
batch_178,-30.351409912109375
batch_179,-31.13015365600586
batch_180,-30.89705467224121
batch_181,-30.307926177978516
batch_182,-31.113399505615234
batch_183,-29.779359817504883
batch_184,-29.641521453857422
batch_185,-30.38039779663086
batch_186,-29.532108306884766
batch_187,-30.422271728515625
batch_188,-30.48622703552246
batch_189,-30.823057174682617
batch_190,-31.236221313476562
batch_191,-29.83814811706543
batch_192,-30.582958221435547
batch_193,-30.883756637573242
batch_194,-30.681333541870117
batch_195,-30.797977447509766
batch_196,-29.636096954345703
batch_197,-29.906707763671875
batch_198,-29.75070571899414
batch_199,-30.52119255065918
batch_200,-30.628334045410156
batch_201,-30.764772415161133
batch_202,-30.202367782592773
batch_203,-30.756521224975586
batch_204,-30.816801071166992
batch_205,-29.187950134277344
batch_206,-30.672077178955078
batch_207,-30.55687141418457
batch_208,-31.491947174072266
batch_209,-29.867904663085938
batch_210,-30.855772018432617
batch_211,-30.643898010253906
batch_212,-31.476322174072266
batch_213,-30.95564842224121
batch_214,-31.001291275024414
batch_215,-31.17046356201172
batch_216,-30.70600128173828
batch_217,-30.818286895751953
batch_218,-30.726165771484375
batch_219,-30.701868057250977
batch_220,-30.60381317138672
batch_221,-30.966758728027344
batch_222,-30.031301498413086
batch_223,-29.617919921875
batch_224,-31.232999801635742
batch_225,-30.7293643951416
batch_226,-31.006797790527344
batch_227,-30.916963577270508
batch_228,-31.141944885253906
batch_229,-29.98896026611328
batch_230,-30.496009826660156
batch_231,-31.441837310791016
batch_232,-31.130203247070312
batch_233,-30.231788635253906
batch_234,-30.163925170898438
batch_235,-30.546504974365234
batch_236,-29.900150299072266
batch_237,-31.338611602783203
batch_238,-30.813657760620117
batch_239,-31.358476638793945
batch_240,-31.233646392822266
batch_241,-29.181926727294922
batch_242,-29.804210662841797
batch_243,-30.414426803588867
batch_244,-30.25762939453125
batch_245,-31.13319969177246
batch_246,-30.678150177001953
batch_247,-28.56090545654297
batch_248,-30.24262237548828
batch_249,-30.49384307861328
batch_250,-30.38945960998535
batch_251,-30.767528533935547
batch_252,-29.849910736083984
batch_253,-30.582380294799805
batch_254,-30.218597412109375
batch_255,-30.702312469482422
batch_256,-31.031513214111328
batch_257,-31.36199378967285
batch_258,-30.89854621887207
batch_259,-30.600719451904297
batch_260,-31.102924346923828
batch_261,-30.868446350097656
batch_262,-31.21695327758789
batch_263,-30.51388931274414
batch_264,-30.733774185180664
batch_265,-30.82412338256836
batch_266,-30.88505744934082
batch_267,-30.183135986328125
batch_268,-31.14438819885254
batch_269,-31.28138542175293
batch_270,-30.539621353149414
batch_271,-31.06940460205078
batch_272,-31.456186294555664
batch_273,-30.84813690185547
batch_274,-30.621498107910156
batch_275,-30.911357879638672
batch_276,-29.864521026611328
batch_277,-30.770811080932617
batch_278,-27.438243865966797
batch_279,-30.353485107421875
batch_280,-29.536890029907227
batch_281,-31.081451416015625
batch_282,-30.50057029724121
batch_283,-30.913589477539062
batch_284,-30.51692008972168
batch_285,-31.095157623291016
batch_286,-30.961341857910156
batch_287,-30.835363388061523
batch_288,-30.578882217407227
batch_289,-30.016206741333008
batch_290,-30.184661865234375
batch_291,-30.21391487121582
batch_292,-31.196887969970703
batch_293,-28.953353881835938
batch_294,-31.375703811645508
batch_295,-30.55320930480957
batch_296,-29.29494857788086
batch_297,-30.481002807617188
batch_298,-30.918212890625
batch_299,-29.62460708618164
batch_300,-30.712387084960938
batch_301,-31.311843872070312
batch_302,-30.870376586914062
batch_303,-31.058732986450195
batch_304,-30.253137588500977
batch_305,-29.306842803955078
batch_306,-31.19022560119629
batch_307,-30.83495330810547
batch_308,-31.085704803466797
batch_309,-30.897624969482422
batch_310,-30.88388442993164
batch_311,-30.477033615112305
batch_312,-31.02924919128418
batch_313,-31.269817352294922
batch_314,-31.335050582885742
batch_315,-30.57516860961914
batch_316,-30.71819496154785
batch_317,-31.214763641357422
batch_318,-30.906299591064453
batch_319,-30.774940490722656
batch_320,-30.54513168334961
