,iteration_1
batch_1,-43.35433578491211
batch_2,-44.658668518066406
batch_3,-44.945743560791016
batch_4,-43.218055725097656
batch_5,-42.975521087646484
batch_6,-43.130924224853516
batch_7,-43.27570724487305
batch_8,-44.01549530029297
batch_9,-44.3473014831543
batch_10,-42.8769645690918
batch_11,-44.61979293823242
batch_12,-43.810020446777344
batch_13,-42.67766189575195
batch_14,-43.44809341430664
batch_15,-41.35479736328125
batch_16,-44.802494049072266
batch_17,-43.717777252197266
batch_18,-42.88179016113281
batch_19,-43.153717041015625
batch_20,-43.990116119384766
batch_21,-42.85506057739258
batch_22,-42.9146842956543
batch_23,-45.64695739746094
batch_24,-44.44912338256836
batch_25,-45.02775192260742
batch_26,-45.04412841796875
batch_27,-44.16187286376953
batch_28,-45.7657356262207
batch_29,-44.131656646728516
batch_30,-44.7603759765625
batch_31,-43.766563415527344
batch_32,-44.790863037109375
batch_33,-44.549190521240234
batch_34,-44.868141174316406
batch_35,-43.69528579711914
batch_36,-45.05409240722656
batch_37,-43.73599624633789
batch_38,-43.66874694824219
batch_39,-44.36916732788086
batch_40,-44.38566970825195
batch_41,-45.50425338745117
batch_42,-45.25115203857422
batch_43,-45.282833099365234
batch_44,-42.38220977783203
batch_45,-45.2183723449707
batch_46,-44.4571647644043
batch_47,-45.42100143432617
batch_48,-45.9072380065918
batch_49,-45.561805725097656
batch_50,-45.08063888549805
batch_51,-44.70045852661133
batch_52,-44.507774353027344
batch_53,-44.6655158996582
batch_54,-44.02463150024414
batch_55,-45.24503707885742
batch_56,-44.72060012817383
batch_57,-43.75621032714844
batch_58,-44.89106369018555
batch_59,-44.85125732421875
batch_60,-42.73423385620117
batch_61,-43.68586730957031
batch_62,-45.85053253173828
batch_63,-44.12582015991211
batch_64,-45.20173263549805
batch_65,-45.15007400512695
batch_66,-44.57042694091797
batch_67,-45.055091857910156
batch_68,-45.86329650878906
batch_69,-43.46250915527344
batch_70,-45.18281173706055
batch_71,-44.323116302490234
