,iteration_1
batch_1,-56869160.0
batch_2,-56870360.0
batch_3,-56871560.0
batch_4,-56872768.0
batch_5,-56873968.0
batch_6,-56875168.0
batch_7,-56876376.0
batch_8,-56877576.0
batch_9,-56878776.0
batch_10,-56879976.0
batch_11,-56881184.0
batch_12,-56882384.0
batch_13,-56883584.0
batch_14,-56884792.0
batch_15,-56885992.0
batch_16,-56887196.0
batch_17,-56888400.0
batch_18,-56889600.0
batch_19,-56890800.0
batch_20,-56892008.0
batch_21,-56893208.0
batch_22,-56894416.0
batch_23,-56895616.0
batch_24,-56896820.0
batch_25,-56898024.0
batch_26,-56899224.0
batch_27,-56900432.0
batch_28,-56901632.0
batch_29,-56902832.0
batch_30,-56904032.0
batch_31,-56905240.0
batch_32,-56906440.0
batch_33,-56907640.0
batch_34,-56908848.0
batch_35,-56910048.0
batch_36,-56911256.0
batch_37,-56912456.0
batch_38,-56913656.0
batch_39,-56914860.0
batch_40,-56916072.0
batch_41,-56917272.0
batch_42,-56918472.0
batch_43,-56919680.0
batch_44,-56920880.0
batch_45,-56922084.0
batch_46,-56923288.0
batch_47,-56924492.0
batch_48,-56925692.0
batch_49,-56926896.0
batch_50,-56928096.0
batch_51,-56929300.0
batch_52,-56930504.0
batch_53,-56931712.0
batch_54,-56932912.0
batch_55,-56934116.0
batch_56,-56935320.0
batch_57,-56936520.0
batch_58,-56937724.0
batch_59,-56938928.0
batch_60,-56940136.0
batch_61,-56941336.0
batch_62,-56942536.0
batch_63,-56943744.0
batch_64,-56944944.0
batch_65,-56946144.0
batch_66,-56947352.0
batch_67,-56948560.0
batch_68,-56949760.0
batch_69,-56950960.0
batch_70,-56952168.0
batch_71,-56953368.0
batch_72,-56954568.0
batch_73,-56955784.0
batch_74,-56956984.0
batch_75,-56958188.0
batch_76,-56959392.0
batch_77,-56960592.0
batch_78,-56961800.0
batch_79,-56963004.0
batch_80,-56964208.0
batch_81,-56965408.0
batch_82,-56966612.0
batch_83,-56967816.0
batch_84,-56969020.0
batch_85,-56970224.0
batch_86,-56971432.0
batch_87,-56972636.0
batch_88,-56973840.0
batch_89,-56975040.0
batch_90,-56976248.0
batch_91,-56977448.0
batch_92,-56978648.0
batch_93,-56979856.0
batch_94,-56981064.0
batch_95,-56982264.0
batch_96,-56983472.0
batch_97,-56984672.0
batch_98,-56985872.0
batch_99,-56987080.0
batch_100,-56988288.0
batch_101,-56989488.0
batch_102,-56990696.0
batch_103,-56991896.0
batch_104,-56993100.0
batch_105,-56994304.0
batch_106,-56995512.0
batch_107,-56996716.0
batch_108,-56997920.0
batch_109,-56999120.0
batch_110,-57000328.0
batch_111,-57001528.0
batch_112,-57002740.0
batch_113,-57003944.0
batch_114,-57005148.0
batch_115,-57006352.0
batch_116,-57007552.0
batch_117,-57008760.0
batch_118,-57009960.0
batch_119,-57011168.0
batch_120,-57012372.0
batch_121,-57013576.0
batch_122,-57014776.0
batch_123,-57015984.0
batch_124,-57017184.0
batch_125,-57018400.0
batch_126,-57019600.0
batch_127,-57020808.0
batch_128,-57022008.0
batch_129,-57023208.0
batch_130,-57024416.0
batch_131,-57025616.0
batch_132,-57026832.0
batch_133,-57028032.0
batch_134,-57029240.0
batch_135,-57030440.0
batch_136,-57031648.0
batch_137,-57032848.0
batch_138,-57034056.0
batch_139,-57035260.0
batch_140,-57036464.0
batch_141,-57037672.0
batch_142,-57038872.0
batch_143,-57040080.0
batch_144,-57041280.0
batch_145,-57042488.0
batch_146,-57043696.0
batch_147,-57044896.0
batch_148,-57046104.0
batch_149,-57047308.0
batch_150,-57048512.0
batch_151,-57049720.0
batch_152,-57050928.0
batch_153,-57052128.0
batch_154,-57053336.0
batch_155,-57054536.0
batch_156,-57055744.0
batch_157,-57056944.0
batch_158,-57058156.0
batch_159,-57059360.0
batch_160,-57060568.0
batch_161,-57061768.0
batch_162,-57062976.0
batch_163,-57064180.0
batch_164,-57065380.0
batch_165,-57066588.0
batch_166,-57067792.0
batch_167,-57068996.0
batch_168,-57070208.0
batch_169,-57071404.0
batch_170,-57072616.0
batch_171,-57073824.0
batch_172,-57075028.0
batch_173,-57076232.0
batch_174,-57077440.0
batch_175,-57078640.0
batch_176,-57079848.0
batch_177,-57081056.0
batch_178,-57082264.0
batch_179,-57083464.0
batch_180,-57084672.0
batch_181,-57085880.0
batch_182,-57087080.0
batch_183,-57088288.0
batch_184,-57089488.0
batch_185,-57090696.0
batch_186,-57091912.0
batch_187,-57093112.0
batch_188,-57094320.0
batch_189,-57095520.0
batch_190,-57096724.0
batch_191,-57097936.0
batch_192,-57099136.0
batch_193,-57100344.0
batch_194,-57101544.0
batch_195,-57102756.0
batch_196,-57103960.0
batch_197,-57105164.0
batch_198,-57106372.0
batch_199,-57107580.0
batch_200,-57108784.0
batch_201,-57109992.0
batch_202,-57111192.0
batch_203,-57112400.0
batch_204,-57113608.0
batch_205,-57114816.0
batch_206,-57116020.0
batch_207,-57117224.0
batch_208,-57118432.0
batch_209,-57119636.0
batch_210,-57120840.0
batch_211,-57122048.0
batch_212,-57123256.0
batch_213,-57124464.0
batch_214,-57125664.0
batch_215,-57126872.0
batch_216,-57128080.0
batch_217,-57129288.0
batch_218,-57130496.0
batch_219,-57131696.0
batch_220,-57132904.0
batch_221,-57134108.0
batch_222,-57135316.0
batch_223,-57136520.0
batch_224,-57137728.0
batch_225,-57138940.0
batch_226,-57140144.0
batch_227,-57141348.0
batch_228,-57142552.0
batch_229,-57143756.0
batch_230,-57144968.0
batch_231,-57146176.0
batch_232,-57147384.0
batch_233,-57148592.0
batch_234,-57149792.0
batch_235,-57151000.0
batch_236,-57152208.0
batch_237,-57153416.0
batch_238,-57154624.0
batch_239,-57155824.0
batch_240,-57157032.0
batch_241,-57158240.0
batch_242,-57159448.0
batch_243,-57160648.0
batch_244,-57161860.0
batch_245,-57163060.0
batch_246,-57164268.0
batch_247,-57165480.0
