,iteration_1
batch_1,-257910.71875
batch_2,-257945.09375
batch_3,-257978.75
batch_4,-258013.296875
batch_5,-258047.296875
batch_6,-258081.25
batch_7,-258116.390625
batch_8,-258150.640625
batch_9,-258184.71875
batch_10,-258217.625
batch_11,-258253.515625
batch_12,-258287.734375
batch_13,-258321.765625
batch_14,-258355.65625
batch_15,-258390.15625
batch_16,-258424.71875
batch_17,-258458.9375
batch_18,-258492.546875
batch_19,-258527.78125
batch_20,-258562.21875
batch_21,-258596.546875
batch_22,-258629.5
batch_23,-258664.359375
batch_24,-258699.390625
batch_25,-258732.859375
batch_26,-258767.515625
batch_27,-258801.609375
batch_28,-258836.453125
batch_29,-258871.0
batch_30,-258904.984375
batch_31,-258939.203125
batch_32,-258973.65625
batch_33,-259008.328125
batch_34,-259041.859375
batch_35,-259076.859375
batch_36,-259111.265625
batch_37,-259145.1875
batch_38,-259179.359375
batch_39,-259213.421875
batch_40,-259248.5
batch_41,-259281.6875
batch_42,-259317.4375
batch_43,-259351.578125
batch_44,-259385.734375
batch_45,-259420.4375
batch_46,-259454.484375
batch_47,-259489.109375
batch_48,-259522.703125
batch_49,-259557.484375
batch_50,-259592.25
batch_51,-259626.546875
batch_52,-259661.25
batch_53,-259695.4375
batch_54,-259730.078125
batch_55,-259764.140625
batch_56,-259799.015625
batch_57,-259833.125
batch_58,-259867.4375
batch_59,-259902.03125
batch_60,-259935.96875
batch_61,-259970.96875
batch_62,-260005.265625
batch_63,-260040.015625
batch_64,-260074.46875
batch_65,-260108.9375
batch_66,-260142.859375
batch_67,-260177.34375
batch_68,-260211.765625
batch_69,-260245.609375
batch_70,-260280.90625
batch_71,-260314.453125
batch_72,-260349.8125
batch_73,-260383.421875
batch_74,-260418.734375
batch_75,-260453.203125
batch_76,-260487.21875
batch_77,-260522.109375
batch_78,-260556.5
batch_79,-260591.015625
batch_80,-260624.640625
batch_81,-260660.046875
batch_82,-260694.1875
batch_83,-260728.015625
batch_84,-260763.171875
batch_85,-260797.96875
batch_86,-260832.203125
batch_87,-260866.65625
