,iteration_1
batch_1,-44981512.0
batch_2,-44982544.0
batch_3,-44983572.0
batch_4,-44984604.0
batch_5,-44985628.0
batch_6,-44986656.0
batch_7,-44987684.0
batch_8,-44988712.0
batch_9,-44989748.0
batch_10,-44990772.0
batch_11,-44991800.0
batch_12,-44992828.0
batch_13,-44993856.0
batch_14,-44994884.0
batch_15,-44995916.0
batch_16,-44996944.0
batch_17,-44997976.0
batch_18,-44999004.0
batch_19,-45000032.0
batch_20,-45001056.0
batch_21,-45002088.0
batch_22,-45003120.0
batch_23,-45004148.0
batch_24,-45005172.0
batch_25,-45006200.0
batch_26,-45007232.0
batch_27,-45008256.0
batch_28,-45009292.0
batch_29,-45010316.0
batch_30,-45011348.0
batch_31,-45012376.0
batch_32,-45013404.0
batch_33,-45014432.0
batch_34,-45015460.0
batch_35,-45016492.0
batch_36,-45017524.0
batch_37,-45018548.0
batch_38,-45019580.0
batch_39,-45020608.0
batch_40,-45021632.0
batch_41,-45022668.0
batch_42,-45023696.0
batch_43,-45024724.0
batch_44,-45025752.0
batch_45,-45026784.0
batch_46,-45027808.0
batch_47,-45028840.0
batch_48,-45029868.0
batch_49,-45030900.0
batch_50,-45031928.0
batch_51,-45032960.0
batch_52,-45033984.0
batch_53,-45035016.0
batch_54,-45036044.0
batch_55,-45037072.0
batch_56,-45038108.0
batch_57,-45039132.0
batch_58,-45040164.0
batch_59,-45041192.0
batch_60,-45042220.0
batch_61,-45043252.0
batch_62,-45044280.0
batch_63,-45045312.0
batch_64,-45046336.0
batch_65,-45047368.0
batch_66,-45048396.0
batch_67,-45049424.0
batch_68,-45050460.0
batch_69,-45051484.0
batch_70,-45052512.0
batch_71,-45053548.0
batch_72,-45054572.0
batch_73,-45055604.0
batch_74,-45056636.0
batch_75,-45057664.0
batch_76,-45058696.0
batch_77,-45059720.0
batch_78,-45060752.0
batch_79,-45061780.0
batch_80,-45062808.0
batch_81,-45063840.0
batch_82,-45064872.0
batch_83,-45065900.0
batch_84,-45066932.0
batch_85,-45067960.0
batch_86,-45068992.0
batch_87,-45070020.0
batch_88,-45071056.0
batch_89,-45072080.0
batch_90,-45073112.0
batch_91,-45074136.0
batch_92,-45075168.0
batch_93,-45076196.0
batch_94,-45077228.0
batch_95,-45078260.0
batch_96,-45079288.0
batch_97,-45080320.0
batch_98,-45081348.0
batch_99,-45082376.0
batch_100,-45083404.0
batch_101,-45084440.0
batch_102,-45085468.0
batch_103,-45086500.0
batch_104,-45087524.0
batch_105,-45088560.0
batch_106,-45089584.0
batch_107,-45090620.0
batch_108,-45091648.0
batch_109,-45092680.0
batch_110,-45093712.0
batch_111,-45094736.0
batch_112,-45095772.0
batch_113,-45096796.0
batch_114,-45097836.0
batch_115,-45098860.0
batch_116,-45099892.0
batch_117,-45100920.0
batch_118,-45101952.0
batch_119,-45102980.0
batch_120,-45104016.0
batch_121,-45105044.0
batch_122,-45106076.0
batch_123,-45107100.0
batch_124,-45108132.0
batch_125,-45109164.0
batch_126,-45110192.0
batch_127,-45111228.0
batch_128,-45112256.0
batch_129,-45113284.0
batch_130,-45114316.0
batch_131,-45115348.0
batch_132,-45116372.0
batch_133,-45117408.0
batch_134,-45118436.0
batch_135,-45119468.0
batch_136,-45120496.0
batch_137,-45121528.0
batch_138,-45122560.0
batch_139,-45123584.0
batch_140,-45124624.0
batch_141,-45125652.0
batch_142,-45126684.0
batch_143,-45127712.0
batch_144,-45128744.0
batch_145,-45129772.0
batch_146,-45130804.0
batch_147,-45131836.0
batch_148,-45132868.0
batch_149,-45133896.0
batch_150,-45134928.0
batch_151,-45135956.0
batch_152,-45136988.0
batch_153,-45138020.0
batch_154,-45139052.0
batch_155,-45140084.0
batch_156,-45141112.0
batch_157,-45142144.0
batch_158,-45143168.0
batch_159,-45144204.0
batch_160,-45145232.0
batch_161,-45146268.0
batch_162,-45147296.0
batch_163,-45148328.0
batch_164,-45149360.0
batch_165,-45150392.0
batch_166,-45151424.0
batch_167,-45152456.0
batch_168,-45153488.0
batch_169,-45154512.0
batch_170,-45155544.0
batch_171,-45156580.0
batch_172,-45157608.0
batch_173,-45158640.0
batch_174,-45159672.0
batch_175,-45160704.0
batch_176,-45161732.0
batch_177,-45162764.0
batch_178,-45163796.0
batch_179,-45164828.0
batch_180,-45165860.0
batch_181,-45166892.0
batch_182,-45167924.0
batch_183,-45168956.0
batch_184,-45169984.0
batch_185,-45171012.0
batch_186,-45172048.0
batch_187,-45173080.0
batch_188,-45174108.0
batch_189,-45175140.0
batch_190,-45176172.0
batch_191,-45177204.0
batch_192,-45178236.0
batch_193,-45179268.0
batch_194,-45180296.0
batch_195,-45181328.0
batch_196,-45182360.0
batch_197,-45183392.0
batch_198,-45184424.0
batch_199,-45185456.0
batch_200,-45186488.0
batch_201,-45187524.0
batch_202,-45188552.0
batch_203,-45189584.0
batch_204,-45190616.0
batch_205,-45191644.0
batch_206,-45192680.0
batch_207,-45193712.0
batch_208,-45194740.0
batch_209,-45195772.0
batch_210,-45196804.0
batch_211,-45197836.0
batch_212,-45198868.0
batch_213,-45199900.0
batch_214,-45200932.0
batch_215,-45201964.0
batch_216,-45202996.0
batch_217,-45204024.0
batch_218,-45205056.0
batch_219,-45206092.0
batch_220,-45207124.0
batch_221,-45208152.0
batch_222,-45209188.0
batch_223,-45210212.0
batch_224,-45211248.0
batch_225,-45212276.0
batch_226,-45213312.0
batch_227,-45214344.0
batch_228,-45215376.0
batch_229,-45216408.0
batch_230,-45217440.0
batch_231,-45218472.0
batch_232,-45219508.0
batch_233,-45220540.0
batch_234,-45221572.0
batch_235,-45222600.0
batch_236,-45223636.0
batch_237,-45224660.0
batch_238,-45225696.0
batch_239,-45226736.0
batch_240,-45227764.0
batch_241,-45228800.0
batch_242,-45229828.0
batch_243,-45230860.0
batch_244,-45231892.0
batch_245,-45232928.0
batch_246,-45233956.0
batch_247,-45234992.0
batch_248,-45236020.0
batch_249,-45237052.0
batch_250,-45238084.0
batch_251,-45239116.0
batch_252,-45240152.0
batch_253,-45241184.0
batch_254,-45242216.0
batch_255,-45243248.0
batch_256,-45244280.0
batch_257,-45245312.0
batch_258,-45246340.0
batch_259,-45247380.0
batch_260,-45248408.0
batch_261,-45249440.0
batch_262,-45250472.0
batch_263,-45251508.0
batch_264,-45252536.0
batch_265,-45253572.0
batch_266,-45254608.0
batch_267,-45255636.0
batch_268,-45256668.0
batch_269,-45257700.0
batch_270,-45258736.0
batch_271,-45259768.0
batch_272,-45260804.0
batch_273,-45261836.0
batch_274,-45262868.0
batch_275,-45263900.0
batch_276,-45264932.0
batch_277,-45265964.0
batch_278,-45267000.0
batch_279,-45268032.0
batch_280,-45269064.0
batch_281,-45270096.0
batch_282,-45271128.0
batch_283,-45272164.0
batch_284,-45273200.0
batch_285,-45274232.0
batch_286,-45275256.0
batch_287,-45276296.0
batch_288,-45277328.0
batch_289,-45278360.0
batch_290,-45279392.0
batch_291,-45280428.0
batch_292,-45281460.0
batch_293,-45282488.0
batch_294,-45283524.0
batch_295,-45284560.0
batch_296,-45285588.0
batch_297,-45286624.0
batch_298,-45287656.0
batch_299,-45288688.0
batch_300,-45289724.0
batch_301,-45290756.0
batch_302,-45291788.0
batch_303,-45292820.0
batch_304,-45293860.0
batch_305,-45294892.0
batch_306,-45295924.0
batch_307,-45296956.0
batch_308,-45297988.0
batch_309,-45299020.0
batch_310,-45300052.0
batch_311,-45301092.0
batch_312,-45302124.0
batch_313,-45303156.0
batch_314,-45304188.0
batch_315,-45305224.0
batch_316,-45306256.0
batch_317,-45307288.0
batch_318,-45308324.0
batch_319,-45309352.0
batch_320,-45310392.0
batch_321,-45311420.0
batch_322,-45312456.0
batch_323,-45313488.0
batch_324,-45314524.0
batch_325,-45315560.0
batch_326,-45316592.0
batch_327,-45317624.0
batch_328,-45318656.0
batch_329,-45319692.0
batch_330,-45320724.0
batch_331,-45321760.0
batch_332,-45322792.0
batch_333,-45323824.0
batch_334,-45324860.0
batch_335,-45325892.0
batch_336,-45326924.0
batch_337,-45327960.0
batch_338,-45328996.0
batch_339,-45330028.0
batch_340,-45331060.0
batch_341,-45332096.0
batch_342,-45333128.0
batch_343,-45334164.0
batch_344,-45335196.0
batch_345,-45336232.0
batch_346,-45337264.0
batch_347,-45338296.0
batch_348,-45339332.0
batch_349,-45340364.0
batch_350,-45341400.0
batch_351,-45342432.0
batch_352,-45343468.0
batch_353,-45344504.0
batch_354,-45345536.0
batch_355,-45346568.0
batch_356,-45347600.0
batch_357,-45348640.0
batch_358,-45349672.0
batch_359,-45350708.0
batch_360,-45351740.0
batch_361,-45352772.0
batch_362,-45353804.0
batch_363,-45354844.0
batch_364,-45355876.0
batch_365,-45356912.0
batch_366,-45357944.0
batch_367,-45358980.0
batch_368,-45360012.0
batch_369,-45361044.0
batch_370,-45362084.0
batch_371,-45363116.0
batch_372,-45364148.0
batch_373,-45365184.0
batch_374,-45366216.0
batch_375,-45367248.0
batch_376,-45368288.0
batch_377,-45369324.0
batch_378,-45370356.0
batch_379,-45371392.0
batch_380,-45372424.0
batch_381,-45373460.0
batch_382,-45374496.0
batch_383,-45375528.0
batch_384,-45376564.0
