,iteration_1
batch_1,-1349194.75
batch_2,-1349296.625
batch_3,-1349399.5
batch_4,-1349501.125
batch_5,-1349603.375
batch_6,-1349705.75
batch_7,-1349808.125
batch_8,-1349910.75
batch_9,-1350012.875
batch_10,-1350114.5
batch_11,-1350217.375
batch_12,-1350318.875
batch_13,-1350421.5
batch_14,-1350523.375
batch_15,-1350626.125
batch_16,-1350728.5
batch_17,-1350830.875
batch_18,-1350932.0
batch_19,-1351035.375
batch_20,-1351137.5
batch_21,-1351239.875
batch_22,-1351341.625
batch_23,-1351443.625
batch_24,-1351546.75
batch_25,-1351648.375
batch_26,-1351750.75
batch_27,-1351853.25
batch_28,-1351954.375
batch_29,-1352057.5
batch_30,-1352159.25
batch_31,-1352261.875
batch_32,-1352365.125
batch_33,-1352467.5
batch_34,-1352569.0
batch_35,-1352672.0
batch_36,-1352774.375
batch_37,-1352876.625
batch_38,-1352979.25
batch_39,-1353080.875
batch_40,-1353184.125
batch_41,-1353286.0
batch_42,-1353388.875
batch_43,-1353491.0
batch_44,-1353593.5
batch_45,-1353696.125
batch_46,-1353797.125
batch_47,-1353900.5
batch_48,-1354002.625
batch_49,-1354105.125
batch_50,-1354208.0
batch_51,-1354309.875
batch_52,-1354412.75
batch_53,-1354515.25
batch_54,-1354617.75
batch_55,-1354719.5
batch_56,-1354822.75
batch_57,-1354924.625
batch_58,-1355027.375
batch_59,-1355129.875
batch_60,-1355232.125
batch_61,-1355334.875
batch_62,-1355437.375
batch_63,-1355540.125
batch_64,-1355642.625
batch_65,-1355745.25
batch_66,-1355847.25
batch_67,-1355949.75
batch_68,-1356052.25
batch_69,-1356155.0
batch_70,-1356257.5
batch_71,-1356360.0
batch_72,-1356462.5
batch_73,-1356565.125
batch_74,-1356667.375
batch_75,-1356770.25
batch_76,-1356872.0
batch_77,-1356975.375
batch_78,-1357078.0
batch_79,-1357180.375
batch_80,-1357282.875
batch_81,-1357385.75
batch_82,-1357488.0
batch_83,-1357590.25
batch_84,-1357693.125
batch_85,-1357796.25
batch_86,-1357898.625
batch_87,-1358000.125
batch_88,-1358104.0
batch_89,-1358206.75
batch_90,-1358309.125
batch_91,-1358412.0
batch_92,-1358514.0
batch_93,-1358617.375
batch_94,-1358718.875
batch_95,-1358821.75
batch_96,-1358924.75
batch_97,-1359027.625
batch_98,-1359130.75
batch_99,-1359232.875
batch_100,-1359336.0
batch_101,-1359438.375
batch_102,-1359540.125
batch_103,-1359643.25
batch_104,-1359746.75
batch_105,-1359849.125
batch_106,-1359951.25
batch_107,-1360054.75
batch_108,-1360157.125
batch_109,-1360260.0
batch_110,-1360361.5
batch_111,-1360465.375
batch_112,-1360568.0
batch_113,-1360670.5
batch_114,-1360773.625
batch_115,-1360876.0
batch_116,-1360979.375
batch_117,-1361082.25
batch_118,-1361184.75
batch_119,-1361287.75
batch_120,-1361390.25
batch_121,-1361493.25
batch_122,-1361596.25
batch_123,-1361698.25
batch_124,-1361801.875
batch_125,-1361904.5
batch_126,-1362007.125
batch_127,-1362110.25
batch_128,-1362212.5
batch_129,-1362315.875
batch_130,-1362418.875
batch_131,-1362521.625
batch_132,-1362624.25
batch_133,-1362727.375
batch_134,-1362829.875
batch_135,-1362933.0
batch_136,-1363036.0
batch_137,-1363138.125
batch_138,-1363241.375
batch_139,-1363344.75
batch_140,-1363447.625
batch_141,-1363550.25
batch_142,-1363652.875
batch_143,-1363756.0
batch_144,-1363858.75
batch_145,-1363961.75
batch_146,-1364064.625
batch_147,-1364167.625
batch_148,-1364270.75
batch_149,-1364373.375
batch_150,-1364476.375
batch_151,-1364579.5
batch_152,-1364682.5
batch_153,-1364784.875
batch_154,-1364887.0
batch_155,-1364988.75
batch_156,-1365093.75
batch_157,-1365196.5
batch_158,-1365299.625
batch_159,-1365403.0
batch_160,-1365503.25
batch_161,-1365608.875
batch_162,-1365711.625
batch_163,-1365815.0
batch_164,-1365917.75
batch_165,-1366019.25
batch_166,-1366123.5
batch_167,-1366225.625
batch_168,-1366330.0
batch_169,-1366432.75
batch_170,-1366535.375
batch_171,-1366638.375
batch_172,-1366741.625
batch_173,-1366844.5
batch_174,-1366948.0
batch_175,-1367051.5
batch_176,-1367154.25
batch_177,-1367257.625
batch_178,-1367360.625
batch_179,-1367463.5
batch_180,-1367566.25
batch_181,-1367669.75
batch_182,-1367772.875
batch_183,-1367874.5
batch_184,-1367978.625
batch_185,-1368082.375
batch_186,-1368185.25
batch_187,-1368287.75
batch_188,-1368391.375
batch_189,-1368494.625
batch_190,-1368597.5
batch_191,-1368700.75
batch_192,-1368804.0
batch_193,-1368907.0
batch_194,-1369011.0
batch_195,-1369113.75
batch_196,-1369216.875
batch_197,-1369319.375
batch_198,-1369422.875
batch_199,-1369526.625
batch_200,-1369629.625
batch_201,-1369733.125
batch_202,-1369834.0
batch_203,-1369939.0
batch_204,-1370042.25
batch_205,-1370145.75
batch_206,-1370248.5
batch_207,-1370352.5
batch_208,-1370454.75
batch_209,-1370558.875
batch_210,-1370662.25
batch_211,-1370764.375
batch_212,-1370868.25
batch_213,-1370971.5
batch_214,-1371075.0
batch_215,-1371178.375
batch_216,-1371281.125
batch_217,-1371384.875
batch_218,-1371488.375
batch_219,-1371591.5
batch_220,-1371694.625
batch_221,-1371798.375
batch_222,-1371901.25
batch_223,-1372004.75
batch_224,-1372107.25
batch_225,-1372210.125
batch_226,-1372314.75
batch_227,-1372417.75
batch_228,-1372521.875
batch_229,-1372624.75
batch_230,-1372728.375
batch_231,-1372831.75
batch_232,-1372934.625
batch_233,-1373036.75
batch_234,-1373141.5
batch_235,-1373243.625
batch_236,-1373348.25
batch_237,-1373451.75
batch_238,-1373554.5
batch_239,-1373657.25
batch_240,-1373762.25
batch_241,-1373865.5
batch_242,-1373968.875
batch_243,-1374072.125
batch_244,-1374174.5
batch_245,-1374279.5
batch_246,-1374382.0
batch_247,-1374485.5
batch_248,-1374589.125
batch_249,-1374693.0
batch_250,-1374794.875
batch_251,-1374899.5
batch_252,-1375002.875
batch_253,-1375106.375
batch_254,-1375210.375
batch_255,-1375314.125
batch_256,-1375417.5
batch_257,-1375521.0
batch_258,-1375623.625
batch_259,-1375728.0
batch_260,-1375831.0
batch_261,-1375933.375
batch_262,-1376037.875
batch_263,-1376141.375
batch_264,-1376245.125
batch_265,-1376347.75
batch_266,-1376451.875
batch_267,-1376556.0
batch_268,-1376658.125
batch_269,-1376763.125
batch_270,-1376866.125
batch_271,-1376970.75
batch_272,-1377073.375
batch_273,-1377177.125
batch_274,-1377281.25
batch_275,-1377384.75
batch_276,-1377488.75
batch_277,-1377591.625
batch_278,-1377695.5
batch_279,-1377799.5
batch_280,-1377902.25
batch_281,-1378005.875
batch_282,-1378109.75
batch_283,-1378213.875
batch_284,-1378317.375
batch_285,-1378421.25
batch_286,-1378524.5
batch_287,-1378628.625
batch_288,-1378731.0
batch_289,-1378835.125
batch_290,-1378939.125
batch_291,-1379042.25
batch_292,-1379146.875
batch_293,-1379250.25
batch_294,-1379354.125
batch_295,-1379457.375
batch_296,-1379560.875
batch_297,-1379665.0
batch_298,-1379768.25
batch_299,-1379872.875
batch_300,-1379976.0
batch_301,-1380079.875
batch_302,-1380183.375
batch_303,-1380287.625
batch_304,-1380391.375
batch_305,-1380494.625
batch_306,-1380597.75
batch_307,-1380702.0
batch_308,-1380806.0
batch_309,-1380909.25
batch_310,-1381012.75
batch_311,-1381116.625
batch_312,-1381221.375
batch_313,-1381324.75
batch_314,-1381428.875
batch_315,-1381532.625
batch_316,-1381636.5
batch_317,-1381740.125
batch_318,-1381843.875
batch_319,-1381946.875
batch_320,-1382051.625
batch_321,-1382155.125
batch_322,-1382258.75
batch_323,-1382362.875
batch_324,-1382466.375
batch_325,-1382571.0
batch_326,-1382675.125
batch_327,-1382778.625
batch_328,-1382882.125
batch_329,-1382985.375
batch_330,-1383089.5
batch_331,-1383193.625
batch_332,-1383297.75
batch_333,-1383400.875
batch_334,-1383505.625
batch_335,-1383608.75
batch_336,-1383713.5
batch_337,-1383816.625
batch_338,-1383921.5
batch_339,-1384024.375
batch_340,-1384129.125
batch_341,-1384233.5
batch_342,-1384337.625
