,iteration_1
batch_1,-35543484.0
batch_2,-35544360.0
batch_3,-35545244.0
batch_4,-35546120.0
batch_5,-35546996.0
batch_6,-35547872.0
batch_7,-35548756.0
batch_8,-35549636.0
batch_9,-35550516.0
batch_10,-35551396.0
batch_11,-35552276.0
batch_12,-35553156.0
batch_13,-35554036.0
batch_14,-35554912.0
batch_15,-35555788.0
batch_16,-35556672.0
batch_17,-35557552.0
batch_18,-35558428.0
batch_19,-35559308.0
batch_20,-35560184.0
batch_21,-35561064.0
batch_22,-35561944.0
batch_23,-35562828.0
batch_24,-35563704.0
batch_25,-35564584.0
batch_26,-35565464.0
batch_27,-35566344.0
batch_28,-35567224.0
batch_29,-35568104.0
batch_30,-35568984.0
batch_31,-35569864.0
batch_32,-35570740.0
batch_33,-35571620.0
batch_34,-35572500.0
batch_35,-35573380.0
batch_36,-35574260.0
batch_37,-35575140.0
batch_38,-35576020.0
batch_39,-35576896.0
batch_40,-35577776.0
batch_41,-35578652.0
batch_42,-35579540.0
batch_43,-35580420.0
batch_44,-35581300.0
batch_45,-35582176.0
batch_46,-35583052.0
batch_47,-35583932.0
batch_48,-35584812.0
batch_49,-35585696.0
batch_50,-35586572.0
batch_51,-35587452.0
batch_52,-35588336.0
batch_53,-35589216.0
batch_54,-35590092.0
batch_55,-35590976.0
batch_56,-35591852.0
batch_57,-35592728.0
batch_58,-35593616.0
batch_59,-35594488.0
batch_60,-35595368.0
batch_61,-35596252.0
batch_62,-35597132.0
batch_63,-35598012.0
batch_64,-35598892.0
batch_65,-35599772.0
batch_66,-35600652.0
batch_67,-35601532.0
batch_68,-35602408.0
batch_69,-35603292.0
batch_70,-35604172.0
batch_71,-35605048.0
batch_72,-35605928.0
batch_73,-35606808.0
batch_74,-35607688.0
batch_75,-35608572.0
batch_76,-35609452.0
batch_77,-35610332.0
batch_78,-35611212.0
batch_79,-35612092.0
batch_80,-35612972.0
batch_81,-35613848.0
batch_82,-35614732.0
batch_83,-35615612.0
batch_84,-35616492.0
batch_85,-35617372.0
batch_86,-35618252.0
batch_87,-35619132.0
batch_88,-35620016.0
batch_89,-35620896.0
batch_90,-35621776.0
batch_91,-35622656.0
batch_92,-35623536.0
batch_93,-35624412.0
batch_94,-35625296.0
batch_95,-35626176.0
batch_96,-35627056.0
batch_97,-35627936.0
batch_98,-35628816.0
batch_99,-35629696.0
