,iteration_1
batch_1,-16743043.0
batch_2,-16743585.0
batch_3,-16744127.0
batch_4,-16744670.0
batch_5,-16745213.0
batch_6,-16745755.0
batch_7,-16746298.0
batch_8,-16746841.0
batch_9,-16747383.0
batch_10,-16747924.0
batch_11,-16748467.0
batch_12,-16749009.0
batch_13,-16749551.0
batch_14,-16750095.0
batch_15,-16750637.0
batch_16,-16751180.0
batch_17,-16751723.0
batch_18,-16752265.0
batch_19,-16752808.0
batch_20,-16753351.0
batch_21,-16753893.0
batch_22,-16754434.0
batch_23,-16754979.0
batch_24,-16755522.0
batch_25,-16756064.0
batch_26,-16756609.0
batch_27,-16757150.0
batch_28,-16757691.0
batch_29,-16758235.0
batch_30,-16758778.0
batch_31,-16759320.0
batch_32,-16759862.0
batch_33,-16760407.0
batch_34,-16760949.0
batch_35,-16761491.0
batch_36,-16762035.0
batch_37,-16762578.0
batch_38,-16763120.0
batch_39,-16763663.0
batch_40,-16764208.0
batch_41,-16764748.0
batch_42,-16765292.0
batch_43,-16765835.0
batch_44,-16766378.0
batch_45,-16766921.0
batch_46,-16767463.0
batch_47,-16768007.0
batch_48,-16768549.0
batch_49,-16769092.0
batch_50,-16769636.0
batch_51,-16770178.0
batch_52,-16770723.0
batch_53,-16771263.0
batch_54,-16771807.0
batch_55,-16772350.0
batch_56,-16772894.0
batch_57,-16773436.0
batch_58,-16773979.0
batch_59,-16774523.0
batch_60,-16775065.0
batch_61,-16775609.0
batch_62,-16776153.0
batch_63,-16776696.0
batch_64,-16777238.0
batch_65,-16777782.0
batch_66,-16778324.0
batch_67,-16778868.0
batch_68,-16779412.0
batch_69,-16779954.0
batch_70,-16780496.0
batch_71,-16781038.0
batch_72,-16781584.0
batch_73,-16782126.0
batch_74,-16782670.0
batch_75,-16783214.0
batch_76,-16783756.0
batch_77,-16784300.0
batch_78,-16784844.0
batch_79,-16785386.0
batch_80,-16785930.0
batch_81,-16786474.0
batch_82,-16787018.0
batch_83,-16787558.0
batch_84,-16788106.0
batch_85,-16788646.0
batch_86,-16789192.0
batch_87,-16789732.0
batch_88,-16790276.0
batch_89,-16790820.0
batch_90,-16791364.0
batch_91,-16791908.0
batch_92,-16792452.0
batch_93,-16792994.0
batch_94,-16793536.0
batch_95,-16794082.0
batch_96,-16794624.0
batch_97,-16795170.0
batch_98,-16795712.0
batch_99,-16796254.0
batch_100,-16796798.0
batch_101,-16797342.0
batch_102,-16797886.0
batch_103,-16798430.0
batch_104,-16798974.0
batch_105,-16799514.0
batch_106,-16800060.0
batch_107,-16800606.0
batch_108,-16801148.0
batch_109,-16801690.0
batch_110,-16802236.0
batch_111,-16802780.0
batch_112,-16803324.0
batch_113,-16803866.0
batch_114,-16804410.0
batch_115,-16804954.0
batch_116,-16805498.0
batch_117,-16806040.0
batch_118,-16806586.0
batch_119,-16807130.0
batch_120,-16807674.0
batch_121,-16808218.0
batch_122,-16808760.0
batch_123,-16809304.0
batch_124,-16809848.0
batch_125,-16810392.0
batch_126,-16810936.0
batch_127,-16811480.0
batch_128,-16812024.0
batch_129,-16812568.0
batch_130,-16813112.0
batch_131,-16813656.0
batch_132,-16814198.0
batch_133,-16814744.0
batch_134,-16815286.0
batch_135,-16815830.0
batch_136,-16816376.0
batch_137,-16816918.0
batch_138,-16817464.0
batch_139,-16818010.0
batch_140,-16818554.0
batch_141,-16819096.0
batch_142,-16819642.0
batch_143,-16820186.0
batch_144,-16820728.0
batch_145,-16821272.0
batch_146,-16821818.0
batch_147,-16822360.0
batch_148,-16822904.0
batch_149,-16823448.0
batch_150,-16823992.0
batch_151,-16824536.0
batch_152,-16825084.0
batch_153,-16825626.0
batch_154,-16826168.0
batch_155,-16826712.0
batch_156,-16827258.0
batch_157,-16827800.0
batch_158,-16828344.0
batch_159,-16828888.0
batch_160,-16829434.0
batch_161,-16829978.0
batch_162,-16830524.0
batch_163,-16831068.0
batch_164,-16831610.0
batch_165,-16832156.0
batch_166,-16832698.0
batch_167,-16833244.0
batch_168,-16833790.0
batch_169,-16834332.0
batch_170,-16834878.0
batch_171,-16835422.0
batch_172,-16835966.0
batch_173,-16836512.0
batch_174,-16837056.0
batch_175,-16837602.0
batch_176,-16838144.0
batch_177,-16838688.0
batch_178,-16839234.0
batch_179,-16839778.0
batch_180,-16840322.0
batch_181,-16840870.0
batch_182,-16841410.0
