,iteration_1
batch_1,-55.38957214355469
batch_2,-53.35551834106445
batch_3,-54.20143127441406
batch_4,-55.0189323425293
batch_5,-55.278079986572266
batch_6,-55.2010498046875
batch_7,-53.9017333984375
batch_8,-54.17207336425781
batch_9,-55.463768005371094
batch_10,-55.12636947631836
batch_11,-53.486385345458984
batch_12,-55.416038513183594
batch_13,-54.98768615722656
batch_14,-54.05207061767578
batch_15,-53.67082214355469
batch_16,-54.04243469238281
batch_17,-54.38239288330078
batch_18,-53.31822967529297
batch_19,-55.03702926635742
batch_20,-53.52766036987305
batch_21,-52.85097122192383
batch_22,-52.8588752746582
batch_23,-56.01443862915039
batch_24,-54.35589599609375
batch_25,-53.421783447265625
batch_26,-53.61908721923828
batch_27,-54.763893127441406
batch_28,-55.56653594970703
batch_29,-55.34062194824219
batch_30,-53.88842010498047
batch_31,-54.951961517333984
batch_32,-55.00505447387695
batch_33,-55.64370346069336
batch_34,-55.73616409301758
batch_35,-55.36754608154297
batch_36,-55.827152252197266
batch_37,-54.65837860107422
batch_38,-55.548274993896484
batch_39,-55.142189025878906
batch_40,-56.26433181762695
batch_41,-53.710418701171875
batch_42,-54.74488067626953
batch_43,-55.326210021972656
batch_44,-55.10649871826172
batch_45,-55.138607025146484
batch_46,-53.47746658325195
batch_47,-56.15325927734375
batch_48,-55.85960006713867
batch_49,-55.651363372802734
batch_50,-55.17949295043945
batch_51,-55.349185943603516
batch_52,-54.5156364440918
batch_53,-55.538997650146484
batch_54,-54.942298889160156
batch_55,-55.13205337524414
batch_56,-56.011192321777344
batch_57,-54.57197952270508
batch_58,-55.59306716918945
batch_59,-55.71504592895508
batch_60,-55.63698196411133
batch_61,-54.38047790527344
batch_62,-55.981258392333984
batch_63,-55.708351135253906
batch_64,-56.268436431884766
batch_65,-54.90074920654297
batch_66,-54.077880859375
batch_67,-54.77043151855469
batch_68,-55.29018020629883
batch_69,-55.17296600341797
batch_70,-54.25456237792969
batch_71,-54.62379837036133
batch_72,-55.8652229309082
batch_73,-56.288169860839844
