,iteration_1
batch_1,-99932.234375
batch_2,-99950.5078125
batch_3,-99969.1796875
batch_4,-99987.3984375
batch_5,-100006.0625
batch_6,-100022.484375
batch_7,-100042.8515625
batch_8,-100061.4765625
batch_9,-100079.953125
batch_10,-100096.875
batch_11,-100116.7890625
batch_12,-100135.078125
batch_13,-100153.40625
batch_14,-100171.5625
batch_15,-100190.203125
batch_16,-100208.8671875
batch_17,-100227.359375
batch_18,-100244.8671875
batch_19,-100263.734375
batch_20,-100282.734375
batch_21,-100301.140625
batch_22,-100318.8515625
batch_23,-100337.3671875
batch_24,-100356.1015625
batch_25,-100374.09375
batch_26,-100393.421875
batch_27,-100411.4453125
batch_28,-100429.8671875
batch_29,-100448.484375
batch_30,-100466.296875
batch_31,-100485.328125
batch_32,-100503.703125
batch_33,-100522.3359375
batch_34,-100539.859375
batch_35,-100559.3046875
batch_36,-100577.484375
batch_37,-100596.0
batch_38,-100614.4375
batch_39,-100633.1484375
batch_40,-100651.8125
batch_41,-100669.6171875
batch_42,-100688.703125
batch_43,-100707.2734375
batch_44,-100724.5078125
batch_45,-100744.1875
batch_46,-100762.3125
batch_47,-100781.4453125
batch_48,-100799.3359375
batch_49,-100817.5234375
batch_50,-100836.1640625
batch_51,-100854.1171875
batch_52,-100873.375
batch_53,-100892.1171875
batch_54,-100910.6875
batch_55,-100928.40625
batch_56,-100947.7890625
batch_57,-100965.9921875
batch_58,-100984.6015625
batch_59,-101002.8203125
batch_60,-101021.2421875
batch_61,-101040.3203125
batch_62,-101058.4609375
batch_63,-101077.375
batch_64,-101096.0625
batch_65,-101114.65625
batch_66,-101132.9140625
batch_67,-101151.3671875
batch_68,-101169.8671875
batch_69,-101188.484375
batch_70,-101207.4375
batch_71,-101224.8515625
batch_72,-101244.4140625
batch_73,-101262.390625
batch_74,-101281.3046875
batch_75,-101299.7421875
batch_76,-101318.2578125
batch_77,-101337.2421875
batch_78,-101355.4765625
batch_79,-101374.1875
batch_80,-101392.109375
batch_81,-101411.2578125
batch_82,-101429.671875
batch_83,-101447.5859375
batch_84,-101466.8828125
batch_85,-101485.609375
batch_86,-101503.71875
batch_87,-101521.9609375
batch_88,-101541.5625
batch_89,-101559.7734375
batch_90,-101578.640625
batch_91,-101597.1171875
batch_92,-101616.0078125
batch_93,-101634.4453125
batch_94,-101652.46875
batch_95,-101671.2890625
batch_96,-101689.4453125
batch_97,-101708.8125
batch_98,-101727.515625
batch_99,-101745.0859375
batch_100,-101764.734375
batch_101,-101783.234375
batch_102,-101800.9609375
batch_103,-101820.4765625
batch_104,-101839.1640625
batch_105,-101857.59375
batch_106,-101875.34375
batch_107,-101894.9453125
batch_108,-101913.5
batch_109,-101931.765625
batch_110,-101949.53125
batch_111,-101969.359375
batch_112,-101988.0703125
batch_113,-102006.359375
batch_114,-102025.1171875
batch_115,-102043.1875
batch_116,-102062.828125
batch_117,-102081.390625
batch_118,-102099.625
batch_119,-102118.625
batch_120,-102137.2265625
batch_121,-102155.8984375
batch_122,-102174.2421875
batch_123,-102193.2265625
batch_124,-102211.984375
batch_125,-102230.3515625
batch_126,-102249.28125
batch_127,-102268.03125
batch_128,-102286.6640625
batch_129,-102305.375
batch_130,-102324.1953125
batch_131,-102343.0546875
batch_132,-102361.3125
batch_133,-102380.265625
batch_134,-102398.453125
batch_135,-102417.5078125
batch_136,-102435.9296875
batch_137,-102454.2265625
batch_138,-102473.5078125
batch_139,-102492.53125
batch_140,-102511.1640625
batch_141,-102529.8125
batch_142,-102548.109375
batch_143,-102567.25
batch_144,-102585.640625
batch_145,-102604.6796875
batch_146,-102623.140625
batch_147,-102642.1171875
batch_148,-102660.5859375
batch_149,-102679.5234375
batch_150,-102698.0546875
batch_151,-102717.03125
batch_152,-102735.828125
batch_153,-102753.96875
batch_154,-102770.6328125
batch_155,-102790.3125
batch_156,-102808.2890625
batch_157,-102828.5234375
batch_158,-102845.2421875
batch_159,-102866.3203125
batch_160,-102884.4921875
batch_161,-102903.0078125
batch_162,-102921.984375
batch_163,-102940.3671875
batch_164,-102958.3203125
batch_165,-102978.1015625
batch_166,-102997.3515625
batch_167,-103015.703125
batch_168,-103035.0078125
batch_169,-103052.703125
batch_170,-103072.5
batch_171,-103091.3203125
batch_172,-103109.8515625
batch_173,-103128.25
batch_174,-103146.3515625
batch_175,-103166.7421875
batch_176,-103184.6875
batch_177,-103203.953125
batch_178,-103222.9453125
batch_179,-103240.4296875
batch_180,-103260.53125
batch_181,-103279.0546875
batch_182,-103297.9375
batch_183,-103316.25
batch_184,-103334.34375
batch_185,-103354.65625
batch_186,-103372.890625
batch_187,-103391.65625
batch_188,-103410.8984375
batch_189,-103429.2265625
batch_190,-103447.3203125
batch_191,-103465.96875
batch_192,-103485.859375
batch_193,-103503.9765625
batch_194,-103522.4296875
batch_195,-103541.25
batch_196,-103560.4765625
batch_197,-103579.546875
batch_198,-103597.7734375
batch_199,-103617.7578125
batch_200,-103636.0703125
batch_201,-103654.6796875
batch_202,-103672.46875
batch_203,-103692.7734375
batch_204,-103711.09375
batch_205,-103729.9140625
batch_206,-103748.4921875
batch_207,-103768.296875
batch_208,-103786.8984375
batch_209,-103806.34375
batch_210,-103825.078125
batch_211,-103843.28125
batch_212,-103862.578125
batch_213,-103881.84375
batch_214,-103900.4375
batch_215,-103918.5390625
batch_216,-103937.6171875
batch_217,-103956.1484375
batch_218,-103975.453125
batch_219,-103994.3203125
batch_220,-104013.8671875
batch_221,-104031.921875
batch_222,-104051.828125
batch_223,-104070.25
batch_224,-104088.875
batch_225,-104106.109375
batch_226,-104126.8828125
batch_227,-104145.7421875
batch_228,-104164.84375
batch_229,-104183.328125
batch_230,-104202.6484375
batch_231,-104221.734375
batch_232,-104240.078125
batch_233,-104258.46875
batch_234,-104278.5390625
batch_235,-104296.984375
batch_236,-104316.3046875
batch_237,-104334.546875
batch_238,-104352.890625
batch_239,-104371.25
batch_240,-104391.1171875
batch_241,-104410.1640625
batch_242,-104429.6796875
batch_243,-104447.78125
batch_244,-104465.9140625
batch_245,-104486.1640625
batch_246,-104505.453125
batch_247,-104523.6875
batch_248,-104543.515625
batch_249,-104560.7265625
batch_250,-104579.203125
batch_251,-104599.078125
batch_252,-104618.78125
batch_253,-104637.6015625
batch_254,-104655.875
batch_255,-104675.8515625
batch_256,-104693.6328125
batch_257,-104713.0
batch_258,-104731.734375
batch_259,-104751.2421875
batch_260,-104770.3828125
batch_261,-104789.28125
batch_262,-104808.7578125
batch_263,-104826.9921875
batch_264,-104845.84375
batch_265,-104865.015625
batch_266,-104883.9296875
batch_267,-104903.578125
