,iteration_1
batch_1,-36.01335525512695
batch_2,-35.87892532348633
batch_3,-35.41152572631836
batch_4,-36.807518005371094
batch_5,-35.99927520751953
batch_6,-37.199520111083984
batch_7,-36.09183120727539
batch_8,-33.20987319946289
batch_9,-35.83525085449219
batch_10,-34.22468948364258
batch_11,-34.83108139038086
batch_12,-36.533111572265625
batch_13,-35.49184799194336
batch_14,-35.631351470947266
batch_15,-34.71360397338867
batch_16,-36.27562713623047
batch_17,-32.998451232910156
batch_18,-34.72615051269531
batch_19,-34.762481689453125
batch_20,-34.39319610595703
batch_21,-35.90140151977539
batch_22,-34.303531646728516
batch_23,-36.557777404785156
batch_24,-34.645408630371094
batch_25,-35.59074020385742
batch_26,-36.28369140625
batch_27,-35.52925109863281
batch_28,-36.3170166015625
batch_29,-35.960670471191406
batch_30,-36.50262451171875
batch_31,-36.90909957885742
batch_32,-35.93866729736328
batch_33,-36.44314193725586
batch_34,-36.63782501220703
batch_35,-36.48923873901367
batch_36,-36.87578201293945
batch_37,-36.791683197021484
batch_38,-36.35177993774414
batch_39,-36.771934509277344
batch_40,-36.043212890625
batch_41,-36.186519622802734
batch_42,-36.27039337158203
batch_43,-36.73008728027344
batch_44,-35.97751998901367
batch_45,-35.79643249511719
batch_46,-36.718753814697266
batch_47,-36.86345672607422
batch_48,-37.432044982910156
batch_49,-36.81048583984375
batch_50,-35.343624114990234
batch_51,-35.53741455078125
batch_52,-37.39373016357422
batch_53,-34.81528091430664
batch_54,-36.57478713989258
batch_55,-36.9859619140625
batch_56,-35.85860061645508
batch_57,-37.02592086791992
batch_58,-36.736778259277344
batch_59,-36.60744094848633
batch_60,-36.03004837036133
batch_61,-36.139251708984375
batch_62,-37.429931640625
batch_63,-37.165260314941406
batch_64,-35.172969818115234
batch_65,-35.378196716308594
batch_66,-35.52558135986328
batch_67,-35.05970001220703
batch_68,-35.10415267944336
batch_69,-35.18412780761719
batch_70,-36.82941436767578
batch_71,-35.972286224365234
batch_72,-35.87122344970703
batch_73,-35.174598693847656
batch_74,-35.87389373779297
batch_75,-36.040626525878906
batch_76,-36.93063735961914
batch_77,-36.58946990966797
batch_78,-36.820133209228516
batch_79,-35.7742805480957
batch_80,-35.741275787353516
batch_81,-36.80234146118164
batch_82,-36.49209213256836
batch_83,-36.639774322509766
batch_84,-37.00157928466797
batch_85,-36.84698486328125
batch_86,-37.33120346069336
batch_87,-37.09010696411133
batch_88,-36.566375732421875
batch_89,-36.70102310180664
batch_90,-36.661624908447266
batch_91,-36.976409912109375
batch_92,-36.00458526611328
batch_93,-37.434261322021484
batch_94,-37.43107604980469
batch_95,-36.605712890625
batch_96,-37.13954162597656
batch_97,-36.65947341918945
batch_98,-36.88270568847656
batch_99,-36.84125900268555
batch_100,-35.35100555419922
batch_101,-35.99142837524414
batch_102,-36.11391067504883
batch_103,-37.269222259521484
batch_104,-36.86335372924805
batch_105,-34.86536407470703
batch_106,-35.72197341918945
batch_107,-37.03878402709961
batch_108,-37.13670349121094
batch_109,-35.695980072021484
batch_110,-36.23270797729492
batch_111,-37.139625549316406
batch_112,-36.65277862548828
batch_113,-37.01732635498047
batch_114,-36.538551330566406
batch_115,-35.563873291015625
batch_116,-36.45362091064453
batch_117,-36.84283447265625
batch_118,-36.79165267944336
batch_119,-36.9254150390625
batch_120,-37.134883880615234
batch_121,-37.3017578125
batch_122,-36.65987014770508
batch_123,-36.76521301269531
batch_124,-36.19974899291992
batch_125,-37.455177307128906
batch_126,-36.530147552490234
batch_127,-36.80875778198242
batch_128,-36.738067626953125
batch_129,-36.97982406616211
batch_130,-36.6401252746582
