,iteration_1
batch_1,-3707750.75
batch_2,-3707949.5
batch_3,-3708148.5
batch_4,-3708345.75
batch_5,-3708545.5
batch_6,-3708743.5
batch_7,-3708942.5
batch_8,-3709141.5
batch_9,-3709339.75
batch_10,-3709537.25
batch_11,-3709737.5
batch_12,-3709935.75
batch_13,-3710134.25
batch_14,-3710332.0
batch_15,-3710531.5
batch_16,-3710730.0
batch_17,-3710929.0
batch_18,-3711127.0
batch_19,-3711326.5
batch_20,-3711525.0
batch_21,-3711723.5
batch_22,-3711921.75
batch_23,-3712120.75
batch_24,-3712319.5
batch_25,-3712518.0
batch_26,-3712717.5
batch_27,-3712915.0
batch_28,-3713115.0
batch_29,-3713313.25
batch_30,-3713512.0
batch_31,-3713711.0
batch_32,-3713909.75
batch_33,-3714108.5
batch_34,-3714306.25
batch_35,-3714505.5
batch_36,-3714704.75
batch_37,-3714903.5
batch_38,-3715101.75
batch_39,-3715301.5
batch_40,-3715500.75
batch_41,-3715697.5
batch_42,-3715898.0
batch_43,-3716096.75
batch_44,-3716295.75
batch_45,-3716494.75
batch_46,-3716693.25
batch_47,-3716892.5
batch_48,-3717091.0
batch_49,-3717290.25
batch_50,-3717489.5
batch_51,-3717687.25
batch_52,-3717887.25
batch_53,-3718085.75
batch_54,-3718285.0
batch_55,-3718483.25
batch_56,-3718683.0
batch_57,-3718882.0
batch_58,-3719080.75
batch_59,-3719279.25
batch_60,-3719478.5
batch_61,-3719678.25
batch_62,-3719876.5
batch_63,-3720076.25
batch_64,-3720274.75
batch_65,-3720474.25
batch_66,-3720673.0
batch_67,-3720871.75
batch_68,-3721071.0
batch_69,-3721269.0
batch_70,-3721468.75
batch_71,-3721667.5
batch_72,-3721866.75
batch_73,-3722065.75
batch_74,-3722264.75
batch_75,-3722464.0
batch_76,-3722663.0
batch_77,-3722862.75
batch_78,-3723061.5
batch_79,-3723260.75
batch_80,-3723459.0
batch_81,-3723658.75
batch_82,-3723857.75
batch_83,-3724056.25
batch_84,-3724255.75
batch_85,-3724455.5
batch_86,-3724654.25
batch_87,-3724853.25
batch_88,-3725052.75
batch_89,-3725252.0
batch_90,-3725451.5
batch_91,-3725650.5
batch_92,-3725850.0
batch_93,-3726049.0
batch_94,-3726248.0
batch_95,-3726447.25
batch_96,-3726646.25
batch_97,-3726845.75
batch_98,-3727045.5
batch_99,-3727243.5
batch_100,-3727443.5
batch_101,-3727642.75
batch_102,-3727841.25
batch_103,-3728041.5
batch_104,-3728241.0
batch_105,-3728439.5
batch_106,-3728637.75
batch_107,-3728838.25
batch_108,-3729038.0
batch_109,-3729236.5
batch_110,-3729436.25
batch_111,-3729635.75
batch_112,-3729835.25
