,iteration_1
batch_1,-55957784.0
batch_2,-55958976.0
batch_3,-55960164.0
batch_4,-55961352.0
batch_5,-55962548.0
batch_6,-55963724.0
batch_7,-55964920.0
batch_8,-55966112.0
batch_9,-55967304.0
batch_10,-55968496.0
batch_11,-55969680.0
batch_12,-55970872.0
batch_13,-55972064.0
batch_14,-55973256.0
batch_15,-55974440.0
batch_16,-55975632.0
batch_17,-55976820.0
batch_18,-55978008.0
batch_19,-55979200.0
batch_20,-55980392.0
batch_21,-55981584.0
batch_22,-55982772.0
batch_23,-55983960.0
batch_24,-55985152.0
batch_25,-55986340.0
batch_26,-55987532.0
batch_27,-55988720.0
batch_28,-55989912.0
batch_29,-55991104.0
batch_30,-55992296.0
batch_31,-55993480.0
batch_32,-55994672.0
batch_33,-55995860.0
batch_34,-55997056.0
batch_35,-55998240.0
batch_36,-55999432.0
batch_37,-56000620.0
batch_38,-56001808.0
batch_39,-56003000.0
batch_40,-56004192.0
batch_41,-56005384.0
batch_42,-56006568.0
batch_43,-56007760.0
batch_44,-56008952.0
batch_45,-56010144.0
batch_46,-56011336.0
batch_47,-56012528.0
batch_48,-56013716.0
batch_49,-56014904.0
batch_50,-56016096.0
batch_51,-56017284.0
batch_52,-56018476.0
batch_53,-56019664.0
batch_54,-56020856.0
batch_55,-56022048.0
batch_56,-56023240.0
batch_57,-56024428.0
batch_58,-56025616.0
batch_59,-56026808.0
batch_60,-56028000.0
batch_61,-56029192.0
batch_62,-56030384.0
batch_63,-56031576.0
batch_64,-56032760.0
batch_65,-56033952.0
batch_66,-56035144.0
batch_67,-56036336.0
batch_68,-56037528.0
batch_69,-56038712.0
batch_70,-56039904.0
batch_71,-56041096.0
batch_72,-56042288.0
batch_73,-56043480.0
batch_74,-56044672.0
batch_75,-56045864.0
batch_76,-56047052.0
batch_77,-56048244.0
batch_78,-56049432.0
batch_79,-56050624.0
batch_80,-56051816.0
batch_81,-56053004.0
batch_82,-56054200.0
batch_83,-56055388.0
batch_84,-56056576.0
batch_85,-56057768.0
batch_86,-56058956.0
