N0582,N0816,N1594,N1882,N2550,N3375
0.321,0.12,0.157,0.063,0.128,0.116
0.16,0.116,0.179,0.076,0.122,0.097
0.136,0.112,0.345,0.067,0.122,0.091
0.161,0.117,0.288,0.067,0.119,0.095
0.194,0.108,0.318,0.075,0.148,0.101
0.276,0.077,0.319,0.257,0.117,0.097
0.185,0.073,0.349,0.209,0.117,0.127
0.153,0.257,0.312,0.132,0.115,0.077
0.156,0.137,0.286,0.133,0.12,0.968
0.11,0.095,0.242,0.077,0.12,0.36
0.128,0.183,0.186,0.063,0.204,0.322
0.144,0.061,0.23,0.064,0.213,0.319
0.343,0.809,0.203,0.064,0.218,0.458
0.279,1.189,0.291,0.064,0.13,0.728
0.24,0.372,0.228,0.923,0.13,0.736
0.224,0.18,0.377,0.703,0.13,0.257
0.315,0.201,0.267,0.689,0.129,0.236
0.233,0.082,0.234,0.37,0.129,0.257
0.236,0.076,0.262,0.143,0.15,0.253
0.255,0.118,0.246,0.234,0.13,0.411
0.51,0.12,0.241,0.225,0.128,0.58
0.34,0.115,0.405,0.343,0.13,0.286
0.392,0.614,0.387,0.597,0.135,0.268
0.262,0.727,0.384,0.708,0.128,0.318
0.245,0.207,0.272,0.611,0.131,0.313
0.32,0.308,0.275,0.155,0.13,0.372
0.202,0.277,0.303,0.07,0.143,0.368
0.2,0.267,0.267,0.07,0.129,0.344
0.19,0.368,0.299,0.071,0.129,0.502
0.322,0.219,0.378,0.067,0.131,0.616
0.286,0.248,0.272,0.063,0.127,0.419
0.243,0.275,0.393,0.062,0.139,0.381
0.195,0.275,0.303,0.063,0.128,0.401
0.176,0.275,0.32,0.101,0.134,0.354
0.166,0.435,0.311,0.15,0.127,0.294
0.217,0.269,0.297,0.151,0.131,0.232
0.24,0.275,0.302,0.236,0.132,0.085
0.266,0.275,0.269,0.14,0.127,0.076
0.236,0.276,0.196,0.112,0.132,0.07
0.204,0.271,0.143,0.062,0.127,0.074
0.198,0.253,0.14,0.066,0.13,0.079
0.194,0.148,0.154,0.068,0.147,0.075
0.192,0.073,0.129,0.07,0.194,0.069
0.131,0.101,0.151,0.073,0.123,0.065
0.121,0.115,0.132,0.101,0.133,0.067
0.126,0.114,0.153,0.149,0.128,0.066
0.15,0.11,0.15,0.155,0.128,0.098
0.306,0.113,0.135,0.121,0.129,0.114
0.252,0.114,0.17,0.077,0.122,0.184
0.213,0.066,0.36,0.07,0.127,0.15
0.197,0.048,0.221,0.132,0.122,0.098
0.212,0.085,0.313,0.103,0.122,0.093
0.215,0.094,0.292,0.061,0.151,0.097
0.197,0.084,0.9,0.059,0.121,0.103
0.169,0.09,0.568,0.064,0.12,0.126
0.167,0.089,0.936,0.248,0.119,0.093
0.216,0.091,0.462,0.348,0.121,0.1
0.132,0.068,0.361,0.164,0.177,0.51
0.266,0.235,0.445,0.242,0.145,0.238
0.216,0.096,0.295,0.213,0.183,0.422
0.133,0.238,0.224,0.09,0.128,0.337
0.283,1.003,0.25,0.089,0.129,0.511
0.328,1.08,0.33,0.09,0.127,0.197
0.339,0.733,0.344,0.287,0.185,0.13
0.233,0.221,0.895,0.313,0.163,0.456
0.311,0.312,0.997,0.648,0.133,0.611
0.254,0.223,0.798,0.596,0.128,0.115
0.315,0.226,0.956,0.095,0.129,0.226
0.212,0.287,0.886,0.069,0.13,0.25
0.237,0.401,0.976,0.078,0.129,0.689
0.239,0.313,1.304,0.774,0.201,0.747
0.329,0.289,2.058,0.712,0.198,0.214
0.233,0.295,1.572,0.956,0.16,0.213
0.341,0.275,0.428,0.922,0.193,0.261
0.21,0.247,0.389,0.192,0.128,0.73
0.247,0.251,0.414,0.123,0.127,1.271
0.301,0.445,0.39,0.144,0.128,0.621
0.241,0.281,0.577,0.093,0.138,0.484
0.34,0.238,0.443,0.072,0.127,0.401
0.267,0.248,0.396,0.069,0.134,1.053
0.281,0.362,0.299,0.1,0.132,0.424
0.225,0.28,0.321,0.15,0.124,0.419
0.176,0.251,0.282,0.115,0.124,0.31
0.175,0.307,0.265,0.145,0.124,0.289
0.172,0.228,0.261,0.137,0.121,0.241
0.182,0.229,0.129,0.123,0.125,0.086
0.264,0.368,0.161,0.073,0.125,0.077
0.198,0.228,0.133,0.07,0.121,0.062
0.167,0.265,0.144,0.07,0.121,0.065
0.25,0.202,0.154,0.133,0.121,0.064
0.181,0.129,0.143,0.148,0.121,0.058
0.151,0.125,0.148,0.086,0.121,0.06
0.133,0.118,0.133,0.087,0.133,0.063
0.129,0.09,0.121,0.068,0.125,0.059
0.13,0.075,0.158,0.067,0.123,0.058
0.135,0.106,0.143,0.071,0.198,0.06
0.316,0.111,0.274,0.071,0.272,0.101
0.16,0.114,0.187,0.069,0.328,0.087
0.254,0.113,0.34,0.161,0.374,0.081
0.153,0.113,0.304,0.168,0.229,0.09
0.204,0.111,0.407,0.117,0.301,0.119
0.274,0.077,0.241,0.067,0.285,0.523
0.163,0.072,0.671,0.067,0.227,0.532
0.204,0.298,0.264,0.064,0.237,0.364
0.25,0.233,0.345,0.214,0.157,0.582
0.178,0.179,0.318,0.317,0.139,1.056
0.209,0.255,0.409,0.594,0.138,0.582
0.208,0.152,0.268,0.714,0.137,0.391
0.207,0.902,0.21,0.682,0.244,0.323
0.209,0.208,0.242,0.662,0.223,0.199
0.229,0.264,1.606,0.603,0.163,0.226
0.175,0.156,0.28,0.68,0.14,0.271
0.293,0.183,0.221,0.594,0.198,0.393
0.269,0.227,0.266,0.702,0.126,0.65
0.465,0.706,0.221,0.72,0.132,0.238
0.327,1.479,0.219,0.648,0.144,0.199
0.291,0.734,0.232,0.656,0.252,0.285
0.346,0.822,0.412,0.759,0.149,0.243
0.297,0.322,0.252,0.598,0.154,0.221
0.281,0.477,0.629,0.592,0.309,0.208
0.26,1.017,0.624,0.713,0.147,0.205
0.221,0.583,0.841,0.59,0.144,0.231
0.22,0.902,0.446,0.653,0.165,0.23
0.307,0.222,0.933,0.662,0.147,0.255
0.496,0.361,0.309,0.604,0.146,0.326
0.236,0.289,0.305,0.586,0.238,0.44
0.233,0.262,0.455,0.583,0.525,0.566
0.261,0.336,0.323,0.721,0.364,0.503
0.218,0.26,0.324,0.778,0.292,0.455
0.198,0.265,0.317,0.335,0.138,0.694
0.18,0.267,0.271,0.097,0.137,0.302
0.185,0.276,0.174,0.068,0.138,0.262
0.212,0.252,0.146,0.068,0.132,0.102
0.237,0.133,0.169,0.068,0.134,0.123
0.212,0.115,0.137,0.067,0.129,0.12
0.144,0.115,0.149,0.069,0.128,0.142
0.112,0.114,0.141,0.154,0.127,0.114
0.109,0.115,0.132,0.138,0.127,0.08
0.11,0.096,0.168,0.071,0.126,0.074
0.109,0.075,0.144,0.07,0.126,0.069
0.143,0.088,0.16,0.067,0.137,0.069
0.155,0.117,0.141,0.065,0.126,0.073
0.137,0.115,0.134,0.064,0.13,0.067
0.216,0.111,0.154,0.135,0.126,0.1
0.167,0.344,0.162,0.157,0.129,0.114
0.275,0.313,0.19,0.145,0.125,0.095
0.392,0.136,0.3,0.079,0.123,0.165
0.203,0.103,0.492,0.064,0.122,0.184
0.227,0.073,0.278,0.18,0.168,0.13
0.175,0.099,0.314,0.46,0.352,0.254
0.109,0.119,0.236,0.15,0.263,0.288
0.104,0.115,0.225,0.064,0.204,0.224
0.105,0.111,0.33,0.109,0.134,0.362
0.12,0.114,0.351,0.145,0.141,0.341
0.142,0.113,0.258,0.089,0.132,0.227
0.127,0.113,0.246,0.065,0.135,0.202
0.108,0.106,0.218,0.065,0.251,0.484
0.108,0.072,0.227,0.065,0.204,0.239
0.108,0.072,0.198,0.064,0.149,0.566
0.22,0.092,0.236,0.066,0.141,0.2
0.302,0.087,0.393,0.105,0.166,0.232
0.17,0.088,0.215,0.26,0.143,0.36
0.173,0.088,0.24,0.112,0.151,0.245
0.233,0.089,0.203,0.065,0.141,0.166
0.217,0.088,0.23,0.065,0.189,0.074
0.167,0.089,0.331,0.063,0.143,0.073
0.108,0.091,0.395,0.063,0.142,0.064
0.208,0.281,0.453,0.102,0.141,0.071
0.144,0.212,0.533,0.191,0.211,0.163
0.339,0.212,0.367,0.597,0.131,0.206
0.235,0.171,0.318,0.718,0.163,0.247
0.234,0.388,0.342,0.855,0.13,0.269
0.219,0.327,0.439,0.597,0.13,0.397
0.223,0.229,0.362,0.596,0.131,0.388
0.376,0.172,0.34,0.596,0.128,0.32
0.197,0.166,0.319,0.61,0.129,0.272
0.187,0.171,0.305,0.859,0.128,0.206
0.177,0.166,0.329,0.755,0.128,0.328
0.206,0.357,0.301,0.268,0.128,0.321
0.221,0.257,0.226,0.069,0.372,0.264
0.224,0.231,0.169,0.067,0.525,0.104
0.182,0.147,0.14,0.068,0.292,0.077
0.124,0.121,0.159,0.066,0.146,0.079
0.117,0.111,0.155,0.129,0.13,0.072
0.094,0.119,0.155,0.148,0.13,0.066
0.093,0.115,0.148,0.068,0.129,0.07
0.085,0.115,0.141,0.068,0.128,0.064
0.085,0.118,0.168,0.071,0.127,0.109
0.117,0.115,0.136,0.067,0.132,0.105
0.139,0.1,0.159,0.067,0.125,0.16
0.198,0.072,0.135,0.101,0.125,0.102
0.111,0.083,0.16,0.149,0.126,0.078
0.16,0.17,0.284,0.093,0.129,0.116
0.127,0.318,0.232,0.066,0.123,0.138
0.332,0.257,0.311,0.065,0.122,0.169
0.31,0.201,0.276,0.064,0.121,0.101
0.252,0.168,0.871,0.186,0.153,0.107
0.275,0.22,0.309,0.599,0.12,0.227
0.151,0.107,0.398,0.202,0.12,0.514
0.133,0.097,0.673,0.112,0.179,0.226
0.108,0.094,0.502,0.063,0.14,0.242
0.095,0.097,0.341,0.064,0.203,0.383
0.084,0.124,0.255,0.064,0.13,0.199
0.105,0.12,0.341,0.065,0.226,0.315
0.118,0.122,0.261,0.114,0.144,0.317
0.113,0.121,0.321,0.179,0.15,0.521
0.083,0.12,0.379,0.126,0.195,0.258
0.083,0.12,0.26,0.067,0.265,0.228
0.083,0.119,0.388,0.066,0.186,0.32
0.099,0.26,0.327,0.065,0.159,0.206
0.115,0.089,0.449,0.065,0.213,0.237
0.084,0.108,1.143,0.249,0.179,0.216
0.082,0.249,1.183,0.733,0.147,0.258
0.084,0.231,0.759,1.07,0.143,0.231
0.107,0.288,0.664,1.02,0.142,0.253
0.118,0.275,1.272,0.598,0.149,0.392
0.09,0.274,1.297,0.096,0.212,0.3
0.11,0.391,0.467,0.096,0.146,0.277
0.111,0.3,0.29,0.205,0.173,0.285
0.346,0.71,0.314,0.762,0.141,0.311
0.28,0.261,0.311,0.687,0.139,0.528
0.277,0.23,0.326,0.596,0.14,0.442
0.198,0.219,0.317,0.59,0.139,0.491
0.215,0.254,0.386,0.636,0.141,0.396
0.221,0.259,0.365,0.834,0.294,0.312
0.236,0.263,0.29,0.751,0.496,0.327
0.188,0.349,0.306,0.183,0.397,0.25
0.126,0.257,0.257,0.073,0.397,0.251
0.124,0.234,0.17,0.074,0.256,0.099
0.094,0.158,0.153,0.069,0.216,0.06
0.095,0.126,0.152,0.069,0.138,0.07
0.091,0.111,0.154,0.079,0.135,0.076
0.091,0.111,0.139,0.152,0.129,0.067
0.118,0.119,0.169,0.111,0.131,0.063
0.126,0.114,0.14,0.144,0.13,0.054
0.095,0.116,0.176,0.083,0.129,0.063
0.092,0.118,0.141,0.07,0.128,0.072
0.114,0.111,0.158,0.069,0.129,0.069
0.131,0.116,0.138,0.104,0.127,0.061
0.244,0.112,0.142,0.152,0.129,0.096
0.204,0.51,0.264,0.085,0.128,0.138
0.144,0.306,0.195,0.068,0.127,0.156
0.318,0.87,0.411,0.068,0.126,0.265
0.153,0.689,0.255,0.066,0.124,0.177
0.152,0.711,0.43,0.193,0.156,0.215
0.208,0.385,0.509,0.164,0.126,0.271
0.16,0.189,0.282,0.222,0.123,0.994
0.14,0.116,0.36,0.066,0.124,0.245
0.128,0.111,0.329,0.064,0.272,0.413
0.122,0.109,0.418,0.064,0.138,0.214
0.126,0.12,0.324,0.064,0.135,0.246
0.121,0.113,0.244,0.092,0.214,0.817
0.121,0.113,0.215,0.145,0.214,0.249
0.121,0.11,0.232,0.087,0.143,0.232
0.122,0.107,0.295,0.064,0.237,0.229
0.17,0.11,0.225,0.064,0.142,0.201
0.189,0.11,0.278,0.064,0.426,0.2
0.276,0.115,0.208,0.328,0.166,0.204
0.206,0.113,0.362,0.65,0.169,0.27
0.161,0.112,0.2,0.678,0.165,0.244
0.116,0.273,0.172,0.601,0.281,0.21
0.11,0.217,0.136,0.6,0.327,0.081
0.165,0.23,0.202,0.687,0.339,0.074
0.215,0.352,0.318,0.652,0.327,0.058
0.214,0.294,0.481,0.648,0.329,0.105
0.238,0.257,0.491,0.612,0.322,0.245
0.243,0.339,0.348,0.137,0.207,0.263
0.241,0.62,0.384,0.254,0.14,0.238
0.227,0.287,0.351,0.428,0.138,0.26
0.199,0.267,0.384,1.033,0.138,0.44
0.187,0.259,0.36,0.737,0.23,0.446
0.188,0.258,0.377,0.627,0.389,0.152
0.244,0.348,0.326,0.629,0.241,0.103
0.141,0.257,0.354,0.777,0.296,0.142
0.141,0.255,0.345,0.647,0.244,0.282
0.167,0.257,0.271,0.078,0.197,0.243
0.287,0.258,0.165,0.136,0.14,0.125
0.249,0.253,0.154,0.137,0.125,0.067
0.184,0.257,0.188,0.077,0.125,0.07
0.172,0.257,0.16,0.067,0.125,0.076
0.154,0.254,0.173,0.069,0.124,0.076
0.115,0.257,0.157,0.07,0.125,0.055
0.114,0.257,0.173,0.069,0.126,0.064
0.119,0.256,0.154,0.154,0.125,0.061
0.117,0.259,0.161,0.125,0.124,0.075
0.136,0.256,0.164,0.069,0.124,0.07
0.153,0.253,0.158,0.07,0.125,0.069
0.126,0.385,0.169,0.068,0.125,0.053
0.117,0.213,0.175,0.07,0.125,0.078
0.238,0.154,0.341,0.068,0.122,0.09
0.107,0.278,0.226,0.152,0.123,0.172
0.317,0.257,0.359,0.123,0.121,0.224
0.146,0.124,0.444,0.161,0.154,0.228
0.209,0.117,0.497,0.106,0.133,0.196
0.34,0.091,0.382,0.156,0.122,0.402
0.289,0.088,0.37,0.147,0.128,0.334
0.158,0.089,0.33,0.087,0.151,0.252
0.204,0.084,0.37,0.149,0.134,0.22
0.238,0.09,0.277,0.115,0.142,0.205
0.173,0.106,0.67,0.064,0.131,0.334
0.145,0.116,0.388,0.063,0.131,0.227
0.114,0.115,0.89,0.066,0.131,0.275
0.119,0.223,0.222,0.068,0.142,0.279
0.119,0.078,0.351,0.075,0.956,0.31
0.136,0.088,0.222,0.151,0.263,0.23
0.163,0.115,0.594,0.112,0.229,0.293
0.158,0.116,0.561,0.065,0.199,0.252
0.119,0.115,0.766,0.065,0.165,0.19
0.127,0.115,0.694,0.066,0.144,0.119
0.134,0.112,0.376,0.139,0.142,0.223
0.156,0.102,0.343,0.444,0.142,0.13
0.156,0.073,1.746,0.687,0.147,0.18
0.134,0.193,0.668,0.657,0.142,0.266
0.162,0.214,0.34,0.746,0.142,0.511
0.109,0.326,0.355,0.613,0.141,1.306
0.101,0.187,0.322,0.592,0.144,0.875
0.067,0.333,0.355,0.672,0.222,0.303
0.117,0.276,0.365,0.67,0.598,0.398
0.177,0.41,0.391,0.682,0.325,0.438
0.221,0.442,0.357,0.622,0.445,0.53
0.172,0.238,0.454,0.681,1.366,0.382
0.153,0.227,0.334,0.412,0.972,0.36
0.148,0.233,0.332,0.072,0.439,0.301
0.172,0.253,0.334,0.07,0.411,0.289
0.317,0.257,0.149,0.211,0.412,0.375
0.157,0.25,0.179,0.161,0.404,0.259
0.158,0.254,0.156,0.07,0.13,0.263
0.154,0.218,0.178,0.07,0.125,0.214
0.183,0.211,0.145,0.07,0.126,0.065
0.162,0.248,0.159,0.07,0.126,0.054
0.163,0.251,0.159,0.07,0.127,0.07
0.182,0.175,0.149,0.157,0.127,0.068
0.147,0.133,0.161,0.129,0.127,0.074
0.122,0.117,0.152,0.072,0.126,0.058
0.13,0.125,0.173,0.072,0.126,0.052
0.137,0.117,0.234,0.072,0.128,0.064
0.162,0.152,0.195,0.071,0.128,0.093
0.317,0.152,0.401,0.071,0.125,0.096
0.179,0.171,0.277,0.127,0.127,0.08
0.17,0.178,0.659,0.149,0.125,0.12
0.188,0.166,0.332,0.081,0.158,0.143
0.141,0.173,0.407,0.359,0.131,0.173
0.13,0.168,0.356,0.263,0.123,0.471
0.128,0.165,0.323,0.431,0.134,0.191
0.144,0.154,0.416,0.653,0.133,0.633
0.13,0.213,0.263,0.142,0.221,0.312
0.105,0.096,0.293,0.209,0.171,0.285
0.103,0.257,0.246,0.096,0.136,0.443
0.224,0.117,0.362,0.069,0.141,0.366
0.234,0.129,0.307,0.067,0.138,0.215
0.277,0.143,0.277,0.067,0.14,0.317
0.215,0.05,0.364,0.186,0.167,0.258
0.261,0.077,0.211,0.198,0.304,0.262
0.749,0.094,0.249,0.154,0.152,0.115
0.281,0.085,0.318,0.121,0.148,0.192
0.279,0.133,0.24,0.126,0.157,0.253
0.25,0.151,0.212,0.431,0.215,0.081
0.336,0.084,0.263,0.908,0.148,0.105
0.236,0.111,0.27,0.886,0.143,0.141
0.227,0.157,0.341,0.571,0.145,0.095
0.314,0.3,0.275,0.165,0.146,0.295
0.329,0.32,0.252,0.118,0.155,0.357
0.188,0.217,0.418,0.067,0.145,0.219
0.184,0.346,0.243,0.068,0.145,0.235
0.191,0.241,0.28,0.129,0.146,0.222
0.244,0.273,0.357,0.132,0.152,0.335
0.215,0.264,0.313,0.07,0.144,0.353
0.191,0.368,0.287,0.068,0.142,0.375
0.21,0.263,0.298,0.067,0.138,0.573
0.186,0.285,0.317,0.067,0.139,0.364
0.203,0.364,0.214,0.102,0.136,0.264
0.231,0.208,0.235,0.152,0.141,0.107
0.327,0.222,0.224,0.15,0.145,0.11
0.197,0.229,0.234,0.141,0.144,0.077
0.209,0.096,0.357,0.137,0.143,0.087
0.246,0.089,0.316,0.082,0.144,0.091
0.211,0.088,0.169,0.068,0.145,0.092
0.188,0.085,0.146,0.125,0.14,0.08
0.179,0.109,0.169,0.15,0.148,0.073
0.191,0.081,0.154,0.07,0.241,0.075
0.218,0.076,0.174,0.067,0.128,0.083
0.195,0.112,0.162,0.068,0.129,0.085
0.157,0.115,0.137,0.072,0.127,0.085
0.129,0.113,0.166,0.141,0.127,0.073
0.155,0.113,0.259,0.135,0.127,0.084
0.149,0.109,0.227,0.149,0.126,0.101
0.125,0.113,0.39,0.074,0.125,0.107
0.104,0.113,0.263,0.067,0.126,0.102
0.152,0.098,0.341,0.31,0.157,0.109
0.15,0.075,0.637,0.112,0.119,0.124
0.255,0.081,0.33,0.141,0.118,0.088
0.166,0.113,0.359,0.109,0.118,0.713
0.213,0.112,0.494,0.145,0.125,0.43
0.182,0.276,0.654,0.091,0.124,0.433
0.111,0.175,0.351,0.064,0.122,0.413
0.111,0.231,0.328,0.064,0.136,1.048
0.226,0.263,0.445,0.065,0.184,0.462
0.331,0.187,0.457,0.158,0.204,0.258
0.242,0.32,0.362,0.209,0.133,0.614
0.389,0.208,0.31,0.205,0.13,0.288
0.261,0.204,0.304,0.258,0.161,0.274
0.228,0.204,0.399,0.21,0.13,0.268
0.243,0.379,0.919,0.615,0.145,0.363
0.233,0.964,0.743,0.668,0.232,0.299
0.437,0.222,0.967,0.778,0.32,0.227
0.248,0.334,1.153,0.98,0.204,0.124
0.377,0.247,1.647,0.608,0.186,0.328
0.359,0.358,1.246,0.606,0.236,0.105
0.382,0.963,0.379,0.698,0.147,0.171
0.349,2.338,0.516,0.612,0.134,0.257
0.322,0.941,0.772,0.234,0.17,0.256
0.248,0.411,0.913,0.07,0.132,0.439
0.368,1.297,0.58,0.14,0.132,0.259
0.357,1.039,0.354,0.102,0.133,0.264
0.298,0.958,0.34,0.143,0.318,0.444
0.247,0.294,0.372,0.113,0.394,0.719
0.347,0.251,0.366,0.067,0.319,0.534
0.216,0.355,0.367,0.068,0.377,0.513
0.253,0.297,0.463,0.069,0.425,0.365
0.281,0.258,0.274,0.105,0.319,0.325
0.325,0.277,0.165,0.337,0.153,0.208
0.294,0.099,0.147,0.181,0.128,0.112
0.284,0.12,0.168,0.081,0.136,0.086
0.112,0.114,0.175,0.071,0.128,0.076
0.111,0.121,0.14,0.073,0.123,0.09
0.11,0.114,0.177,0.07,0.123,0.095
0.117,0.118,0.151,0.142,0.123,0.077
0.144,0.117,0.173,0.129,0.124,0.068
0.118,0.11,0.127,0.068,0.122,0.096
0.13,0.116,0.164,0.067,0.123,0.087
0.242,0.114,0.171,0.066,0.123,0.064
0.193,0.109,0.251,0.067,0.122,0.083
0.171,0.11,0.195,0.084,0.122,0.109
0.12,0.112,0.263,0.15,0.123,0.108
0.303,0.252,0.398,0.1,0.122,0.139
0.129,0.128,0.34,0.063,0.123,0.168
0.247,0.102,0.694,0.066,0.154,0.551
0.27,0.116,0.877,0.19,0.122,0.98
0.169,0.112,0.55,0.29,0.196,0.222
0.159,0.108,0.359,0.215,0.118,0.367
0.158,0.111,0.396,0.252,0.113,0.332
0.25,0.11,0.434,0.133,0.11,0.366
0.212,0.096,0.274,0.495,0.114,0.313
0.163,0.069,0.224,0.27,0.123,0.196
0.13,0.088,0.244,0.091,0.11,0.228
0.117,0.113,0.207,0.092,0.111,0.246
0.109,0.107,0.308,0.649,0.143,0.237
0.131,0.183,0.234,0.718,0.112,0.227
0.136,0.062,0.225,0.633,0.113,0.187
0.108,0.06,0.393,0.619,0.112,0.212
0.108,0.093,0.509,0.598,0.112,0.403
0.108,0.139,0.536,0.595,0.112,0.191
0.137,0.313,1.513,0.657,0.112,0.076
0.126,0.18,1.477,0.219,0.112,0.286
0.104,0.274,1.06,0.146,0.111,0.32
0.104,0.498,0.499,0.072,0.131,0.282
0.11,0.212,0.453,0.261,0.132,0.239
0.168,0.268,0.487,0.717,0.139,0.29
0.271,0.354,0.352,1.025,0.133,0.402
0.183,0.231,0.342,0.633,0.13,0.271
0.195,0.173,0.347,0.71,0.13,0.297
0.287,0.175,0.382,0.77,0.13,0.478
0.278,0.173,0.355,0.616,0.176,0.331
0.269,0.175,0.373,0.696,0.265,0.504
0.215,0.344,0.347,0.685,0.22,0.402
0.219,0.272,0.367,0.683,0.322,0.323
0.29,0.288,0.338,0.119,0.224,0.28
0.272,0.398,0.254,0.087,0.12,0.256
0.267,0.272,0.172,0.149,0.121,0.119
0.212,0.269,0.152,0.112,0.121,0.055
0.118,0.208,0.161,0.067,0.126,0.051
0.11,0.146,0.165,0.068,0.122,0.072
0.108,0.123,0.142,0.068,0.122,0.067
0.106,0.117,0.17,0.068,0.123,0.053
0.124,0.115,0.153,0.087,0.121,0.048
0.128,0.117,0.169,0.115,0.123,0.07
0.108,0.099,0.139,0.151,0.128,0.064
0.134,0.074,0.143,0.089,0.126,0.049
0.135,0.093,0.173,0.067,0.125,0.052
0.249,0.112,0.267,0.067,0.123,0.064
0.218,0.243,0.196,0.067,0.127,0.087
0.137,0.217,0.198,0.065,0.123,0.069
0.281,0.102,0.254,0.064,0.122,0.192
0.296,0.086,0.336,0.084,0.12,0.2
0.289,0.062,0.316,0.142,0.154,0.139
0.166,0.049,0.322,0.665,0.133,0.199
0.135,0.071,0.341,0.112,0.119,0.352
0.106,0.089,0.34,0.061,0.121,0.247
0.103,0.09,0.386,0.063,0.121,0.376
0.103,0.082,0.334,0.062,0.121,0.229
0.123,0.048,0.266,0.062,0.191,0.238
0.153,0.049,0.243,0.063,0.184,0.256
0.122,0.091,0.243,0.134,0.135,0.268
0.125,0.12,0.264,0.136,0.212,0.368
0.135,0.116,0.231,0.062,0.132,0.25
0.178,0.112,0.219,0.063,0.129,0.212
0.139,0.111,0.242,0.218,0.163,0.21
0.152,0.074,0.391,0.812,0.231,0.184
0.157,0.068,0.226,1.032,0.193,0.195
0.13,0.186,0.238,1.022,0.236,0.352
0.127,0.374,0.209,0.908,0.196,0.216
0.116,0.26,0.339,0.667,0.199,0.234
0.133,0.274,0.503,0.722,0.147,0.288
0.137,0.278,0.862,0.592,0.146,0.149
0.168,0.275,0.532,0.401,0.151,0.246
0.166,0.275,0.998,0.356,0.133,0.255
0.16,0.284,0.371,0.129,0.169,0.418
0.152,0.277,0.312,0.124,0.131,0.23
0.395,0.442,0.343,0.123,0.129,0.307
0.312,0.272,0.4,0.186,0.129,0.452
0.325,0.245,0.335,0.223,0.126,0.473
0.288,0.313,0.338,0.186,0.131,0.45
0.275,0.251,0.334,0.377,0.13,0.427
0.32,0.271,0.348,0.695,0.13,0.399
0.283,0.407,0.229,0.645,0.131,0.302
0.21,0.352,0.247,0.115,0.131,0.277
0.152,0.27,0.312,0.147,0.136,0.324
0.134,0.264,0.289,0.085,0.132,0.316
0.133,0.249,0.193,0.067,0.131,0.373
0.125,0.125,0.149,0.069,0.129,0.184
0.116,0.087,0.143,0.07,0.131,0.086
0.134,0.086,0.161,0.07,0.131,0.079
0.102,0.12,0.16,0.075,0.135,0.082
0.108,0.12,0.166,0.153,0.2,0.056
0.108,0.122,0.141,0.127,0.133,0.064
0.144,0.121,0.15,0.069,0.127,0.074
0.142,0.121,0.151,0.069,0.122,0.077
0.24,0.104,0.14,0.07,0.127,0.055
0.191,0.078,0.374,0.113,0.122,0.077
0.149,0.089,0.196,0.063,0.121,0.1
0.199,0.1,0.299,0.062,0.12,0.22
0.24,0.095,0.282,0.118,0.122,0.187
0.221,0.099,0.245,0.279,0.145,0.127
0.265,0.094,0.616,0.594,0.118,0.853
0.149,0.096,0.293,0.414,0.118,0.422
0.138,0.076,0.334,0.064,0.118,0.422
0.139,0.055,0.327,0.064,0.119,0.46
0.13,0.079,0.423,0.063,0.12,0.309
0.127,0.099,0.34,0.092,0.118,0.818
0.102,0.273,0.235,0.13,0.187,0.438
0.1,0.19,0.226,0.15,0.163,0.336
0.122,0.125,0.244,0.114,0.255,0.195
0.139,0.163,0.225,0.063,0.207,0.973
0.106,0.335,0.249,0.064,0.186,0.429
0.101,0.127,0.297,0.063,0.216,0.313
0.102,0.25,0.324,0.183,0.137,0.27
0.139,0.224,0.244,0.697,0.13,0.237
0.111,0.661,0.183,0.582,0.131,0.186
0.104,0.366,0.154,0.288,0.22,0.111
0.101,0.33,0.374,0.168,0.133,0.377
0.135,0.13,0.342,0.1,0.142,0.058
0.112,0.129,0.468,0.159,0.134,0.384
0.108,0.298,0.669,0.695,0.147,1.086
0.126,0.221,0.313,0.633,0.131,0.821
0.283,0.387,0.311,0.725,0.155,0.557
0.19,0.726,0.33,0.79,0.129,0.24
0.181,0.277,0.324,0.666,0.13,0.287
0.247,0.293,0.375,0.589,0.13,0.266
0.196,0.444,0.344,0.676,0.128,0.434
0.205,0.322,0.44,0.378,0.128,0.436
0.189,0.292,0.328,0.138,0.13,0.26
0.28,0.363,0.351,0.141,0.129,0.215
0.255,0.288,0.301,0.155,0.131,0.238
0.148,0.263,0.26,0.112,0.131,0.246
0.207,0.227,0.159,0.068,0.13,0.151
0.164,0.112,0.149,0.068,0.272,0.062
0.117,0.126,0.179,0.067,0.227,0.07
0.117,0.127,0.169,0.067,0.159,0.074
0.146,0.123,0.16,0.16,0.123,0.096
0.148,0.12,0.155,0.168,0.133,0.111
0.128,0.125,0.155,0.113,0.124,0.135
0.114,0.122,0.16,0.069,0.124,0.112
0.11,0.12,0.146,0.073,0.126,0.074
0.15,0.121,0.169,0.069,0.121,0.074
0.165,0.087,0.15,0.069,0.122,0.08
0.139,0.079,0.169,0.069,0.123,0.067
0.228,0.115,0.26,0.127,0.128,0.083
0.183,0.118,0.237,0.148,0.121,0.092
0.344,0.333,0.42,0.072,0.119,0.291
0.245,0.175,0.348,0.064,0.119,0.203
0.217,0.121,0.607,0.085,0.145,0.23
0.488,0.118,0.29,0.686,0.119,0.37
