N0582,N0816,N1594,N1882,N2550,N3375
0.072,0.941,0.926,0.149,0.293,0.442
0.051,1.662,0.436,0.148,0.27,0.408
0.037,0.945,0.625,0.19,0.336,0.463
0.044,0.939,0.552,0.58,0.452,0.662
0.261,0.952,0.401,0.674,0.584,0.467
0.26,0.979,1.006,0.616,0.397,0.506
0.214,0.595,0.834,0.596,0.365,0.485
0.233,0.25,1.238,0.614,0.458,0.405
0.143,0.252,0.601,0.634,0.362,0.404
0.171,0.244,0.604,0.424,0.298,0.346
0.172,0.254,0.512,0.116,0.231,0.343
0.24,0.252,0.409,0.073,0.235,0.13
0.164,0.196,0.363,0.069,0.224,0.072
0.112,0.151,0.141,0.068,0.128,0.103
0.11,0.124,0.156,0.074,0.125,0.111
0.096,0.118,0.18,0.096,0.126,0.134
0.067,0.119,0.144,0.15,0.128,0.112
0.065,0.111,0.173,0.106,0.125,0.079
0.058,0.12,0.144,0.069,0.126,0.08
0.067,0.113,0.146,0.072,0.127,0.066
0.096,0.12,0.167,0.074,0.131,0.05
0.074,0.102,0.141,0.068,0.129,0.078
0.064,0.083,0.156,0.073,0.13,0.075
0.056,0.078,0.155,0.12,0.127,0.043
0.065,0.173,0.167,0.149,0.127,0.077
0.291,0.407,0.195,0.082,0.124,0.085
0.177,0.165,0.186,0.069,0.155,0.205
0.388,0.134,0.392,0.068,0.132,0.223
0.225,0.084,0.482,0.067,0.122,0.198
0.221,0.057,0.651,0.444,0.153,0.29
0.146,0.075,0.578,0.122,0.138,0.295
0.096,0.102,0.464,0.14,0.237,0.435
0.082,0.099,0.495,0.132,0.276,0.513
0.106,0.113,0.471,0.066,0.254,0.285
0.05,0.128,0.407,0.067,0.171,0.255
0.067,0.093,0.32,0.066,0.196,0.303
0.062,0.083,0.357,0.07,0.158,0.351
0.026,0.092,0.476,0.065,0.627,0.269
0.037,0.099,0.376,0.067,1.043,0.146
0.032,0.099,0.325,0.146,0.366,0.112
0.058,0.095,0.498,0.431,0.184,0.125
0.06,0.098,0.355,0.641,0.201,0.397
0.025,0.065,0.452,0.355,0.18,0.319
0.036,0.084,0.63,0.084,0.255,0.357
0.028,0.384,0.373,0.068,0.581,0.33
0.05,0.283,0.381,0.066,0.513,0.384
0.057,0.332,0.402,0.267,0.505,0.395
0.029,0.223,0.63,0.208,0.505,0.346
