,iteration_1,iteration_2,iteration_3
batch_1,-0.199859619140625,0.074493408203125,-0.09674072265625
batch_2,-0.21173095703125,-0.153564453125,-0.267913818359375
batch_3,-0.10052490234375,-0.008148193359375,-0.1929931640625
batch_4,-0.042572021484375,-0.115203857421875,-0.337371826171875
batch_5,-0.459320068359375,-0.178131103515625,-0.261810302734375
batch_6,-0.53509521484375,-0.3404541015625,-0.53875732421875
batch_7,0.053436279296875,-0.013763427734375,-0.04608154296875
batch_8,-0.245147705078125,0.008148193359375,-0.171630859375
batch_9,-0.26898193359375,-0.19390869140625,-0.083160400390625
batch_10,-0.401092529296875,-0.448486328125,-0.526153564453125
batch_11,-0.13177490234375,-0.21649169921875,-0.07879638671875
batch_12,-0.07464599609375,0.11444091796875,0.005126953125
batch_13,-0.229217529296875,-0.54693603515625,-0.493621826171875
batch_14,-0.2548828125,-0.392486572265625,-0.11297607421875
batch_15,-0.495880126953125,-0.810333251953125,-0.733673095703125
batch_16,-0.35137939453125,-0.239105224609375,0.076416015625
batch_17,-0.0462646484375,0.082763671875,-0.022369384765625
batch_18,-0.456756591796875,-0.409149169921875,-0.65533447265625
batch_19,-0.18060302734375,-0.35009765625,-0.12646484375
batch_20,-0.2264404296875,0.030517578125,-0.2227783203125
batch_21,-0.262725830078125,0.05169677734375,-0.079437255859375
batch_22,-0.499725341796875,-0.30328369140625,-0.4051513671875
batch_23,-0.400146484375,-0.2161865234375,-0.46923828125
batch_24,-0.027252197265625,-0.048614501953125,-0.1328125
batch_25,-0.52166748046875,-0.43133544921875,-0.6251220703125
batch_26,-0.192535400390625,-0.0521240234375,-0.2601318359375
batch_27,-0.11712646484375,-0.233001708984375,-0.193145751953125
batch_28,-0.25103759765625,-0.583740234375,-0.318511962890625
batch_29,-0.297332763671875,-0.39825439453125,-0.385772705078125
batch_30,-0.1068115234375,-0.54150390625,-0.2557373046875
batch_31,-0.201202392578125,-0.152191162109375,-0.037384033203125
batch_32,-0.627716064453125,-0.275146484375,-0.4700927734375
batch_33,-0.24346923828125,-0.02618408203125,-0.1993408203125
batch_34,-0.286285400390625,-0.241302490234375,-0.133575439453125
batch_35,-0.27484130859375,-0.3643798828125,-0.283294677734375
batch_36,-0.669403076171875,-0.59295654296875,-0.384918212890625
batch_37,-0.55316162109375,-0.331573486328125,-0.3353271484375
batch_38,-0.33984375,-0.48663330078125,-0.220428466796875
batch_39,-0.04986572265625,-0.24468994140625,-0.201812744140625
batch_40,-0.098785400390625,-0.1048583984375,-0.16766357421875
batch_41,-0.352203369140625,-0.2962646484375,-0.19805908203125
batch_42,-0.2900390625,-0.1866455078125,-0.259002685546875
batch_43,-0.16082763671875,-0.13494873046875,-0.358795166015625
batch_44,-0.21697998046875,-0.25531005859375,-0.440155029296875
batch_45,-0.29339599609375,-0.412841796875,-0.24365234375
batch_46,-0.388519287109375,-0.480499267578125,-0.234832763671875
batch_47,-0.0096435546875,-0.228363037109375,-0.167816162109375
batch_48,-0.50872802734375,-0.18060302734375,-0.226806640625
batch_49,-0.1151123046875,-0.141815185546875,-0.105804443359375
batch_50,-0.3199462890625,-0.261383056640625,-0.411468505859375
batch_51,-0.15521240234375,-0.34674072265625,-0.119293212890625
batch_52,-0.140167236328125,-0.158233642578125,-0.23199462890625
batch_53,-0.020599365234375,-0.1739501953125,-0.17633056640625
batch_54,-0.098602294921875,-0.044464111328125,-0.16326904296875
batch_55,-0.512451171875,-0.343231201171875,-0.3917236328125
batch_56,-0.07122802734375,0.099700927734375,-0.2808837890625
batch_57,-0.09417724609375,-0.26416015625,-0.107177734375
batch_58,-0.40093994140625,-0.545318603515625,-0.38232421875
batch_59,-0.01617431640625,0.1441650390625,-0.011474609375
batch_60,-0.218017578125,-0.41522216796875,-0.25872802734375
batch_61,0.02606201171875,0.015228271484375,-0.217742919921875
batch_62,-0.386932373046875,-0.356719970703125,-0.25042724609375
batch_63,0.15740966796875,-0.0406494140625,0.08758544921875
