,iteration_1,iteration_2,iteration_3
batch_1,5.863437652587891,5.742746353149414,5.631979942321777
batch_2,4.748397350311279,4.631807804107666,4.696406364440918
batch_3,4.65272331237793,4.522948741912842,4.519163131713867
batch_4,6.241914749145508,6.068243980407715,6.1335954666137695
batch_5,6.01116943359375,5.91031551361084,5.67213249206543
batch_6,5.16795539855957,5.176919937133789,5.134199142456055
batch_7,4.1167707443237305,4.0587158203125,4.196013450622559
batch_8,5.977243423461914,5.844722747802734,6.369203090667725
batch_9,6.274986267089844,6.523281097412109,6.957576751708984
batch_10,7.104444980621338,7.215100288391113,7.484687805175781
batch_11,7.98527717590332,8.195075988769531,8.125520706176758
batch_12,8.475699424743652,8.410245895385742,8.451828002929688
batch_13,8.264622688293457,8.340974807739258,8.340974807739258
batch_14,8.263470649719238,8.263470649719238,8.17860221862793
batch_15,8.097648620605469,8.097648620605469,8.04222297668457
batch_16,7.610442161560059,7.681174278259277,7.681174278259277
batch_17,7.647205352783203,7.670930862426758,7.670930862426758
batch_18,8.113673210144043,8.113673210144043,8.100049018859863
batch_19,8.353185653686523,8.353185653686523,8.353185653686523
batch_20,8.429494857788086,8.429494857788086,8.429494857788086
batch_21,7.825432777404785,7.825432777404785,7.825432777404785
batch_22,7.5416259765625,7.5416259765625,7.5416259765625
batch_23,7.21547269821167,7.21547269821167,7.21547269821167
batch_24,7.188635349273682,7.165354251861572,7.162168025970459
batch_25,7.496777534484863,7.496777534484863,7.465646743774414
batch_26,7.860203266143799,7.860203266143799,7.860203266143799
batch_27,7.863387107849121,7.863387107849121,7.843210220336914
batch_28,7.521230697631836,7.521230697631836,7.521230697631836
batch_29,7.549711227416992,7.549711227416992,7.549711227416992
batch_30,7.693991661071777,7.693991661071777,7.693991661071777
batch_31,7.690186500549316,7.690186500549316,7.690186500549316
batch_32,7.987059116363525,7.987059116363525,7.987059116363525
batch_33,8.244284629821777,8.244284629821777,8.244284629821777
batch_34,8.305619239807129,8.305619239807129,8.305619239807129
batch_35,8.020340919494629,8.020340919494629,8.020340919494629
batch_36,8.055200576782227,8.055200576782227,8.055200576782227
batch_37,8.25814151763916,8.25814151763916,8.25814151763916
batch_38,7.889197826385498,7.889197826385498,7.889197826385498
batch_39,8.296459197998047,8.296459197998047,8.296459197998047
batch_40,8.870171546936035,8.870171546936035,8.870171546936035
batch_41,8.876607894897461,8.876607894897461,8.876607894897461
batch_42,8.765049934387207,8.765049934387207,8.765049934387207
batch_43,8.3107271194458,8.3107271194458,8.3107271194458
batch_44,7.890803813934326,7.890803813934326,7.890803813934326
batch_45,7.545494079589844,7.594900131225586,7.594900131225586
batch_46,7.911360740661621,7.911360740661621,7.911360740661621
batch_47,8.44507884979248,8.44507884979248,8.44507884979248
batch_48,8.507079124450684,8.507079124450684,8.507079124450684
batch_49,8.419198989868164,8.419198989868164,8.419198989868164
batch_50,7.937180519104004,7.937180519104004,7.937180519104004
batch_51,7.961812973022461,7.961812973022461,7.961812973022461
batch_52,7.670811176300049,7.670811176300049,7.670811176300049
batch_53,7.8142876625061035,7.8142876625061035,7.8142876625061035
batch_54,8.394485473632812,8.394485473632812,8.394485473632812
batch_55,8.568120956420898,8.568120956420898,8.568120956420898
batch_56,8.377808570861816,8.377808570861816,8.377808570861816
batch_57,8.04677963256836,8.04677963256836,8.04677963256836
batch_58,8.325353622436523,8.325353622436523,8.325353622436523
batch_59,8.080793380737305,8.02531623840332,8.080793380737305
batch_60,8.307706832885742,8.307706832885742,8.307706832885742
batch_61,8.652288436889648,8.652288436889648,8.652288436889648
batch_62,8.792281150817871,8.792281150817871,8.792281150817871
batch_63,8.774283409118652,8.774283409118652,8.774283409118652
batch_64,8.430130004882812,8.430130004882812,8.430130004882812
batch_65,8.16364860534668,8.16364860534668,8.16364860534668
batch_66,7.8446478843688965,7.8446478843688965,7.8446478843688965
batch_67,7.7440690994262695,7.70858097076416,7.7440690994262695
batch_68,8.272918701171875,8.272918701171875,8.272918701171875
batch_69,8.60583209991455,8.60583209991455,8.60583209991455
batch_70,8.562383651733398,8.562383651733398,8.562383651733398
batch_71,8.18351936340332,8.18351936340332,8.18351936340332
batch_72,7.983728885650635,7.983728885650635,7.983728885650635
batch_73,7.959327697753906,7.959327697753906,7.959327697753906
batch_74,7.742125511169434,7.742125511169434,7.742125511169434
batch_75,7.9963908195495605,8.021368026733398,8.021368026733398
batch_76,8.317960739135742,8.317960739135742,8.317960739135742
batch_77,8.361943244934082,8.361943244934082,8.361943244934082
batch_78,8.087228775024414,8.087228775024414,8.087228775024414
batch_79,7.556127548217773,7.558429718017578,7.558429718017578
batch_80,6.558028221130371,6.558028221130371,6.558028221130371
batch_81,6.442905426025391,6.442905426025391,6.442905426025391
batch_82,7.071043968200684,7.063304901123047,7.102923393249512
batch_83,8.337803840637207,8.337803840637207,8.337803840637207
batch_84,8.372150421142578,8.372150421142578,8.372150421142578
batch_85,7.9846086502075195,7.9846086502075195,7.9846086502075195
batch_86,6.6914825439453125,6.662903785705566,6.648514747619629
batch_87,5.738232135772705,5.738232135772705,5.711313724517822
batch_88,5.648308753967285,5.676833152770996,5.676833152770996
batch_89,6.418297290802002,6.418297290802002,6.418297290802002
batch_90,6.463373184204102,6.463373184204102,6.463373184204102
batch_91,6.830682754516602,6.830682754516602,6.830682754516602
batch_92,6.098929405212402,6.074094772338867,6.098929405212402
batch_93,6.178600311279297,6.235908508300781,6.235908508300781
batch_94,7.969148635864258,7.969148635864258,7.969148635864258
batch_95,7.803279399871826,7.803279399871826,7.803279399871826
batch_96,8.165088653564453,8.165088653564453,8.165088653564453
batch_97,8.46332836151123,8.46332836151123,8.46332836151123
batch_98,8.727274894714355,8.727274894714355,8.727274894714355
batch_99,8.26589584350586,8.26589584350586,8.26589584350586
batch_100,8.148909568786621,8.148909568786621,8.148909568786621
batch_101,7.238577842712402,7.238577842712402,7.238577842712402
batch_102,6.940590858459473,6.940590858459473,6.940590858459473
batch_103,6.958709239959717,6.958709239959717,6.958709239959717
batch_104,8.097280502319336,8.097280502319336,8.097280502319336
batch_105,8.235246658325195,8.235246658325195,8.235246658325195
batch_106,8.038249015808105,8.038249015808105,8.038249015808105
batch_107,7.317727088928223,7.317727088928223,7.317727088928223
batch_108,7.273344993591309,7.273344993591309,7.273344993591309
batch_109,6.810505390167236,6.764103412628174,6.810505390167236
batch_110,7.122553825378418,7.122553825378418,7.122553825378418
batch_111,7.753094673156738,7.753094673156738,7.753094673156738
batch_112,8.355927467346191,8.355927467346191,8.355927467346191
batch_113,8.233356475830078,8.233356475830078,8.233356475830078
batch_114,7.895668983459473,7.895668983459473,7.895668983459473
batch_115,8.181133270263672,8.181133270263672,8.181133270263672
batch_116,7.971437454223633,7.971437454223633,7.971437454223633
batch_117,8.081786155700684,8.081786155700684,8.081786155700684
batch_118,8.455313682556152,8.455313682556152,8.455313682556152
batch_119,8.552207946777344,8.552207946777344,8.552207946777344
batch_120,8.539508819580078,8.539508819580078,8.539508819580078
batch_121,8.320696830749512,8.320696830749512,8.320696830749512
batch_122,7.72208833694458,7.72208833694458,7.72208833694458
batch_123,7.2080841064453125,7.2080841064453125,7.2080841064453125
batch_124,7.214986801147461,7.214986801147461,7.214986801147461
batch_125,7.84328556060791,7.84328556060791,7.84328556060791
batch_126,8.034038543701172,8.034038543701172,8.034038543701172
batch_127,8.18696403503418,8.18696403503418,8.18696403503418
batch_128,7.760344982147217,7.760344982147217,7.760344982147217
batch_129,7.538405895233154,7.538405895233154,7.538405895233154
batch_130,7.152383327484131,7.152383327484131,7.152383327484131
batch_131,7.276090145111084,7.276090145111084,7.276090145111084
batch_132,7.652741432189941,7.652741432189941,7.652741432189941
batch_133,8.17845344543457,8.17845344543457,8.17845344543457
batch_134,8.344271659851074,8.344271659851074,8.344271659851074
batch_135,7.771269798278809,7.771269798278809,7.771269798278809
batch_136,7.451305389404297,7.451305389404297,7.451305389404297
batch_137,7.674173355102539,7.674173355102539,7.674173355102539
batch_138,7.79722261428833,7.79722261428833,7.79722261428833
batch_139,7.966270446777344,7.966270446777344,7.966270446777344
batch_140,8.222550392150879,8.222550392150879,8.222550392150879
batch_141,8.38463020324707,8.38463020324707,8.38463020324707
batch_142,7.998100757598877,7.998100757598877,7.998100757598877
batch_143,7.99641227722168,7.99641227722168,7.99641227722168
batch_144,8.583941459655762,8.583941459655762,8.583941459655762
batch_145,8.393094062805176,8.393094062805176,8.393094062805176
batch_146,8.635238647460938,8.635238647460938,8.635238647460938
batch_147,8.960832595825195,8.960832595825195,8.960832595825195
batch_148,9.096691131591797,9.096691131591797,9.096691131591797
