,iteration_1,iteration_2,iteration_3
batch_1,-0.0625,-0.125,-0.125
batch_2,-0.0625,-0.1875,0.0
batch_3,-0.21875,-0.3125,-0.15625
batch_4,-0.125,-0.1875,-0.1875
batch_5,0.09375,-0.125,-0.1875
batch_6,-0.1875,-0.03125,-0.15625
batch_7,-0.15625,-0.0625,-0.125
batch_8,-0.1875,-0.125,0.0
batch_9,-0.03125,-0.03125,-0.03125
batch_10,-0.15625,-0.0625,-0.125
batch_11,-0.125,-0.03125,0.0
batch_12,0.0,0.0,-0.03125
batch_13,-0.125,-0.09375,-0.09375
batch_14,-0.125,-0.09375,0.0
batch_15,-0.03125,-0.21875,-0.125
batch_16,-0.03125,0.03125,-0.0625
batch_17,-0.1875,0.0,-0.09375
batch_18,0.03125,-0.125,-0.15625
batch_19,-0.09375,-0.09375,0.0
batch_20,-0.09375,0.0,-0.03125
batch_21,0.0,0.0625,-0.0625
batch_22,-0.09375,-0.21875,-0.15625
batch_23,-0.0625,0.15625,0.0
batch_24,-0.03125,-0.03125,0.0
batch_25,0.0,-0.09375,-0.03125
batch_26,0.0,-0.0625,0.0
batch_27,0.03125,0.0,-0.09375
batch_28,-0.125,-0.15625,-0.03125
batch_29,-0.09375,0.0625,-0.0625
batch_30,-0.09375,-0.125,-0.0625
batch_31,-0.09375,-0.15625,-0.09375
batch_32,-0.125,-0.125,-0.15625
batch_33,-0.09375,-0.09375,-0.0625
batch_34,-0.1875,-0.125,-0.0625
batch_35,-0.0625,-0.03125,-0.09375
batch_36,-0.0625,-0.1875,0.0
batch_37,0.0,0.03125,-0.0625
batch_38,0.03125,-0.0625,-0.09375
batch_39,0.03125,0.0,-0.0625
batch_40,-0.125,-0.03125,-0.09375
batch_41,-0.09375,-0.1875,-0.0625
batch_42,0.0,0.09375,0.0
batch_43,-0.0625,-0.0625,-0.0625
batch_44,0.0,-0.0625,-0.125
batch_45,0.0,-0.125,-0.09375
batch_46,-0.03125,-0.1875,0.03125
batch_47,-0.0625,-0.03125,-0.03125
batch_48,-0.09375,-0.28125,-0.0625
batch_49,-0.0625,0.0,-0.0625
batch_50,0.0,-0.09375,0.0
batch_51,0.0,-0.125,-0.0625
batch_52,-0.03125,0.03125,0.0625
batch_53,0.0,0.0,-0.09375
batch_54,0.03125,0.0625,-0.03125
batch_55,-0.09375,0.0625,-0.09375
batch_56,-0.0625,0.0,-0.0625
batch_57,-0.125,0.0,-0.09375
batch_58,0.0,-0.125,0.03125
batch_59,-0.09375,-0.125,0.0
batch_60,-0.0625,-0.0625,-0.03125
batch_61,0.0,-0.0625,-0.0625
batch_62,-0.125,-0.09375,-0.09375
batch_63,-0.0625,0.0,-0.0625
batch_64,0.0,0.0,-0.03125
batch_65,0.03125,0.0,-0.0625
batch_66,-0.125,0.0,0.0
batch_67,0.0,-0.09375,-0.125
batch_68,-0.0625,-0.125,-0.03125
batch_69,-0.03125,-0.15625,0.03125
batch_70,-0.0625,-0.125,-0.125
batch_71,0.0,-0.125,-0.03125
batch_72,0.0625,0.0625,-0.125
batch_73,0.09375,-0.1875,-0.03125
batch_74,-0.09375,0.0,-0.0625
batch_75,-0.09375,0.0,-0.03125
batch_76,-0.0625,0.0,-0.09375
batch_77,-0.125,-0.0625,-0.125
batch_78,-0.03125,-0.0625,0.03125
batch_79,-0.09375,-0.03125,-0.09375
batch_80,-0.125,-0.0625,-0.1875
batch_81,-0.0625,-0.09375,-0.03125
batch_82,0.0625,-0.09375,0.0
batch_83,-0.125,-0.0625,-0.09375
batch_84,-0.15625,0.03125,0.09375
batch_85,-0.125,-0.03125,-0.0625
batch_86,-0.0625,0.0,-0.0625
batch_87,-0.125,0.0625,-0.0625
batch_88,-0.0625,-0.0625,-0.15625
batch_89,-0.125,-0.0625,-0.0625
batch_90,-0.0625,-0.03125,-0.0625
batch_91,-0.0625,0.0,-0.03125
batch_92,0.0,-0.0625,-0.09375
batch_93,-0.0625,-0.0625,-0.0625
batch_94,-0.03125,-0.03125,-0.0625
batch_95,-0.125,-0.09375,0.0
batch_96,-0.03125,-0.0625,-0.0625
batch_97,-0.1875,-0.03125,-0.09375
batch_98,-0.09375,0.0,-0.0625
batch_99,-0.0625,0.0,-0.0625
batch_100,-0.125,0.0,-0.0625
batch_101,-0.125,-0.15625,-0.0625
batch_102,-0.125,-0.15625,-0.0625
batch_103,-0.0625,-0.03125,-0.0625
batch_104,-0.09375,-0.125,-0.0625
batch_105,-0.03125,-0.125,-0.125
batch_106,-0.21875,-0.09375,-0.15625
batch_107,-0.0625,-0.0625,-0.09375
batch_108,-0.0625,0.0625,-0.09375
batch_109,-0.09375,-0.0625,-0.25
batch_110,-0.03125,0.03125,-0.21875
batch_111,-0.03125,-0.03125,-0.125
batch_112,-0.125,0.0,0.0
batch_113,-0.09375,-0.09375,-0.125
batch_114,-0.1875,-0.0625,-0.09375
batch_115,-0.0625,-0.0625,-0.125
batch_116,-0.03125,0.03125,-0.0625
batch_117,-0.03125,-0.0625,-0.0625
batch_118,0.0,0.0,-0.15625
batch_119,-0.0625,-0.0625,0.0
batch_120,-0.0625,-0.03125,-0.09375
batch_121,-0.1875,-0.03125,-0.0625
batch_122,0.0625,0.09375,-0.0625
batch_123,-0.0625,-0.0625,0.0
batch_124,0.09375,-0.0625,0.0
batch_125,-0.03125,0.0625,-0.0625
batch_126,0.0,-0.125,-0.1875
batch_127,0.0,-0.03125,0.0
batch_128,-0.09375,-0.0625,-0.15625
batch_129,0.0,0.0,0.0
batch_130,-0.0625,0.03125,-0.09375
batch_131,0.0,-0.0625,-0.03125
batch_132,-0.03125,-0.125,-0.09375
batch_133,-0.03125,-0.03125,-0.03125
batch_134,-0.09375,-0.03125,-0.28125
batch_135,-0.0625,0.0,-0.0625
batch_136,-0.15625,0.0,-0.125
batch_137,-0.125,-0.0625,-0.03125
batch_138,0.0,-0.0625,-0.09375
batch_139,-0.0625,-0.0625,-0.125
batch_140,0.0,0.0,0.0
batch_141,0.0,0.03125,-0.0625
batch_142,0.0,-0.09375,-0.03125
batch_143,0.0625,-0.0625,0.0
batch_144,0.03125,-0.09375,-0.09375
batch_145,-0.0625,0.03125,-0.0625
batch_146,-0.09375,-0.125,-0.03125
batch_147,-0.03125,-0.0625,-0.03125
batch_148,0.0,-0.03125,-0.0625
batch_149,-0.125,-0.0625,-0.15625
batch_150,-0.03125,-0.125,-0.03125
batch_151,0.0,0.03125,0.0
batch_152,0.0625,-0.03125,0.0
batch_153,-0.09375,-0.03125,0.0
batch_154,-0.0625,-0.125,-0.15625
batch_155,-0.125,-0.125,-0.25
batch_156,0.09375,-0.125,-0.15625
batch_157,-0.125,-0.09375,-0.125
batch_158,0.0625,-0.21875,-0.0625
batch_159,-0.125,-0.15625,-0.0625
batch_160,-0.21875,-0.1875,-0.09375
batch_161,-0.1875,0.0,-0.125
batch_162,0.03125,-0.25,-0.09375
batch_163,-0.09375,-0.125,-0.09375
batch_164,-0.25,-0.0625,-0.09375
batch_165,-0.03125,-0.1875,-0.0625
batch_166,-0.09375,0.0,-0.0625
batch_167,-0.0625,-0.0625,-0.25
batch_168,0.0,-0.1875,0.0625
batch_169,-0.0625,-0.1875,-0.125
batch_170,-0.1875,-0.125,-0.0625
batch_171,-0.0625,-0.1875,-0.1875
batch_172,-0.03125,-0.09375,-0.21875
batch_173,-0.15625,-0.03125,-0.09375
batch_174,-0.09375,-0.15625,-0.09375
batch_175,-0.125,0.0,-0.125
batch_176,0.0,-0.125,-0.03125
batch_177,-0.03125,-0.03125,-0.125
batch_178,-0.125,-0.09375,-0.09375
batch_179,-0.15625,-0.125,-0.15625
batch_180,-0.125,-0.125,-0.1875
batch_181,-0.0625,-0.125,-0.15625
batch_182,-0.09375,-0.09375,-0.0625
batch_183,-0.0625,0.0,-0.125
batch_184,0.0625,-0.25,-0.0625
batch_185,-0.09375,-0.0625,-0.15625
batch_186,-0.0625,-0.09375,-0.15625
batch_187,-0.09375,-0.0625,-0.21875
batch_188,-0.15625,-0.15625,-0.15625
batch_189,-0.1875,-0.15625,-0.125
batch_190,-0.21875,-0.125,-0.15625
batch_191,-0.09375,-0.1875,-0.1875
batch_192,-0.25,-0.25,-0.1875
batch_193,-0.21875,-0.1875,-0.1875
batch_194,-0.25,-0.125,-0.125
batch_195,-0.15625,-0.15625,-0.25
batch_196,-0.15625,-0.125,-0.21875
batch_197,-0.125,-0.1875,-0.21875
batch_198,-0.125,-0.1875,-0.21875
batch_199,-0.1875,-0.1875,-0.09375
batch_200,-0.0625,-0.1875,-0.28125
batch_201,-0.125,-0.15625,-0.09375
batch_202,-0.09375,-0.1875,-0.25
batch_203,-0.125,-0.09375,0.0625
batch_204,-0.125,-0.21875,-0.09375
batch_205,-0.1875,-0.125,-0.15625
batch_206,-0.0625,-0.09375,-0.15625
batch_207,0.0,-0.125,-0.15625
batch_208,-0.1875,-0.15625,-0.09375
batch_209,-0.0625,-0.1875,-0.125
batch_210,-0.15625,-0.03125,-0.0625
batch_211,-0.15625,-0.1875,-0.15625
batch_212,0.15625,-0.1875,-0.09375
batch_213,-0.0625,-0.0625,-0.1875
batch_214,-0.03125,-0.15625,-0.21875
batch_215,-0.09375,-0.1875,-0.1875
batch_216,-0.125,-0.0625,-0.09375
batch_217,-0.125,-0.09375,-0.15625
batch_218,-0.15625,-0.1875,-0.15625
batch_219,-0.125,-0.09375,-0.15625
batch_220,-0.125,-0.1875,-0.0625
batch_221,-0.125,-0.1875,-0.125
batch_222,-0.21875,-0.25,0.0
batch_223,0.0,-0.125,-0.125
batch_224,-0.15625,-0.15625,-0.25
batch_225,-0.28125,-0.28125,-0.125
batch_226,-0.03125,-0.3125,-0.15625
batch_227,-0.09375,-0.125,-0.125
batch_228,-0.09375,-0.125,-0.25
batch_229,-0.25,-0.125,-0.1875
batch_230,-0.0625,-0.0625,0.0
batch_231,-0.03125,-0.0625,-0.125
batch_232,-0.1875,-0.09375,-0.125
batch_233,-0.09375,-0.09375,-0.21875
batch_234,0.03125,-0.0625,-0.09375
batch_235,-0.15625,-0.21875,-0.21875
batch_236,-0.09375,-0.09375,-0.1875
batch_237,-0.21875,-0.125,-0.125
