,iteration_1,iteration_2,iteration_3
batch_1,-0.15966796875,-0.2646484375,-0.216796875
batch_2,-0.2197265625,-0.2041015625,-0.05322265625
batch_3,-0.1181640625,-0.22216796875,-0.119140625
batch_4,-0.07373046875,-0.32958984375,-0.25244140625
batch_5,-0.2421875,-0.19873046875,-0.09326171875
batch_6,-0.099609375,-0.236328125,-0.25048828125
batch_7,-0.14111328125,-0.04150390625,-0.0390625
batch_8,-0.10986328125,-0.1748046875,-0.0283203125
batch_9,-0.2578125,-0.248046875,-0.20849609375
batch_10,-0.3896484375,-0.388671875,-0.3671875
batch_11,-0.0888671875,0.0078125,0.01708984375
batch_12,-0.0986328125,-0.15869140625,-0.09423828125
batch_13,-0.10107421875,-0.25390625,-0.14453125
batch_14,-0.115234375,-0.173828125,-0.24755859375
batch_15,-0.22705078125,-0.2275390625,-0.32373046875
batch_16,-0.0498046875,0.0634765625,-0.18798828125
batch_17,-0.10302734375,-0.0869140625,-0.06298828125
batch_18,-0.33935546875,-0.2509765625,-0.271484375
batch_19,-0.087890625,-0.15673828125,-0.01904296875
batch_20,-0.1552734375,-0.09765625,-0.0576171875
batch_21,-0.10107421875,-0.064453125,-0.05419921875
batch_22,-0.2734375,-0.18017578125,-0.16015625
batch_23,-0.1318359375,-0.1787109375,-0.12890625
batch_24,-0.0966796875,-0.083984375,-0.07763671875
batch_25,-0.212890625,-0.19970703125,-0.0859375
batch_26,-0.14453125,-0.01318359375,-0.13232421875
batch_27,-0.2216796875,-0.23388671875,-0.15234375
batch_28,-0.197265625,-0.1513671875,-0.12744140625
batch_29,-0.0966796875,-0.1533203125,-0.162109375
batch_30,-0.05029296875,-0.060546875,-0.025390625
batch_31,-0.1474609375,-0.109375,-0.1630859375
batch_32,-0.13671875,-0.04296875,-0.07421875
batch_33,-0.1708984375,-0.181640625,-0.1005859375
batch_34,-0.1611328125,-0.23095703125,-0.14111328125
batch_35,-0.09765625,-0.123046875,-0.11572265625
batch_36,-0.0595703125,-0.12890625,-0.02783203125
batch_37,-0.09765625,-0.0546875,-0.0322265625
batch_38,-0.09375,-0.12109375,-0.189453125
batch_39,-0.1240234375,-0.119140625,-0.06005859375
batch_40,0.0048828125,-0.0009765625,-0.09375
batch_41,-0.291015625,-0.1904296875,-0.39404296875
batch_42,-0.09912109375,-0.146484375,-0.13427734375
batch_43,-0.04296875,-0.3095703125,-0.13720703125
batch_44,-0.22021484375,-0.39599609375,-0.3056640625
batch_45,-0.02880859375,0.01171875,-0.115234375
batch_46,-0.27685546875,-0.34619140625,-0.24853515625
batch_47,-0.0400390625,-0.09765625,-0.02197265625
batch_48,-0.169921875,-0.10595703125,-0.07421875
batch_49,-0.16357421875,-0.05126953125,-0.220703125
batch_50,-0.12548828125,-0.162109375,-0.05517578125
batch_51,-0.18017578125,-0.24462890625,-0.13916015625
batch_52,-0.064453125,-0.185546875,-0.07421875
batch_53,-0.06201171875,0.03662109375,-0.1328125
batch_54,-0.130859375,-0.23046875,-0.0869140625
batch_55,-0.2138671875,-0.2119140625,-0.08203125
batch_56,-0.09814453125,-0.0029296875,-0.06982421875
batch_57,-0.24365234375,-0.11474609375,-0.2236328125
batch_58,-0.31982421875,-0.16943359375,-0.119140625
batch_59,-0.20654296875,-0.1142578125,-0.07470703125
batch_60,-0.2490234375,0.00341796875,-0.0751953125
batch_61,-0.08154296875,-0.07666015625,-0.0078125
batch_62,-0.05859375,-0.1533203125,-0.14990234375
batch_63,-0.1796875,-0.18994140625,-0.19140625
batch_64,0.0048828125,-0.107421875,-0.037109375
batch_65,-0.103515625,-0.06396484375,-0.078125
batch_66,-0.07275390625,-0.00634765625,-0.3447265625
batch_67,-0.25146484375,-0.115234375,-0.162109375
batch_68,0.00244140625,-0.34326171875,-0.11328125
batch_69,-0.2255859375,-0.078125,-0.18212890625
batch_70,-0.08740234375,-0.203125,0.0
batch_71,-0.0078125,-0.09814453125,-0.0078125
batch_72,-0.072265625,-0.10205078125,-0.02880859375
