,iteration_1,iteration_2,iteration_3
batch_135,-0.1015625,-0.0703125,-0.078125
batch_136,0.0078125,-0.046875,-0.0625
batch_137,-0.03125,-0.0625,-0.15625
batch_138,-0.2421875,-0.046875,-0.125
batch_139,-0.0625,-0.03125,-0.0546875
batch_140,-0.1171875,0.0,-0.09375
batch_141,-0.109375,-0.015625,0.0078125
batch_142,-0.1484375,-0.09375,-0.1953125
batch_143,-0.0234375,-0.015625,-0.09375
batch_144,-0.1484375,-0.0625,-0.0625
batch_145,-0.109375,-0.1484375,-0.1171875
batch_146,-0.0234375,-0.1171875,-0.0234375
batch_147,-0.078125,-0.09375,0.0
batch_148,-0.140625,-0.015625,-0.078125
batch_149,0.09375,-0.078125,-0.1328125
batch_150,-0.1484375,-0.078125,-0.140625
batch_151,0.0,-0.046875,-0.109375
batch_152,0.0,-0.1875,-0.046875
batch_153,-0.2265625,-0.2109375,-0.2578125
batch_154,-0.21875,-0.09375,-0.4296875
batch_155,-0.2109375,-0.125,-0.03125
batch_156,-0.09375,-0.03125,-0.1484375
batch_157,-0.1328125,0.015625,-0.09375
batch_158,-0.125,-0.1640625,-0.0625
batch_159,-0.03125,-0.2421875,-0.0703125
batch_160,-0.125,-0.234375,-0.078125
batch_161,-0.0546875,-0.078125,-0.1953125
batch_162,-0.1015625,-0.0234375,-0.0859375
batch_163,-0.1875,-0.2265625,-0.1796875
batch_164,-0.21875,-0.2265625,-0.3203125
batch_165,-0.078125,-0.140625,-0.171875
batch_166,-0.1640625,-0.0078125,0.015625
batch_167,0.0390625,-0.1484375,-0.171875
batch_168,-0.1328125,-0.0546875,-0.109375
batch_169,-0.234375,-0.15625,-0.140625
batch_170,-0.0078125,-0.0546875,-0.078125
batch_171,-0.2578125,-0.125,-0.21875
batch_172,-0.0390625,-0.21875,-0.078125
batch_173,-0.0234375,-0.15625,-0.1640625
batch_174,-0.203125,-0.2109375,-0.09375
batch_175,-0.0078125,0.03125,-0.109375
batch_176,-0.296875,-0.203125,-0.234375
batch_177,-0.21875,-0.125,-0.109375
batch_178,-0.296875,-0.1015625,-0.125
batch_179,-0.140625,-0.1953125,-0.171875
batch_180,-0.2890625,-0.015625,-0.2421875
batch_181,-0.1484375,-0.1171875,-0.078125
batch_182,-0.1796875,0.0546875,-0.3046875
batch_183,-0.2734375,-0.1640625,-0.125
batch_184,-0.265625,-0.3671875,-0.25
batch_185,0.125,-0.09375,-0.03125
batch_186,-0.3125,0.015625,-0.203125
batch_187,-0.3046875,-0.046875,-0.0390625
batch_188,-0.1484375,-0.234375,-0.2421875
batch_189,-0.046875,-0.140625,-0.0625
batch_190,-0.3671875,-0.234375,-0.4375
batch_191,-0.171875,-0.359375,-0.078125
batch_192,-0.0625,-0.1875,-0.203125
batch_193,-0.296875,-0.0234375,-0.2265625
batch_194,-0.234375,-0.296875,-0.2109375
batch_195,-0.109375,-0.15625,-0.2578125
batch_196,-0.2578125,-0.265625,-0.1953125
batch_197,-0.2578125,-0.3671875,-0.1640625
batch_198,-0.03125,-0.25,-0.03125
batch_199,-0.1953125,-0.2578125,-0.3203125
batch_200,-0.2265625,-0.015625,-0.234375
batch_201,-0.28125,-0.203125,-0.1875
batch_202,-0.046875,-0.03125,-0.109375
batch_203,-0.21875,0.046875,-0.2265625
batch_204,-0.15625,-0.296875,-0.1328125
batch_205,-0.296875,-0.1875,-0.15625
batch_206,-0.1875,-0.1640625,-0.234375
batch_207,-0.0703125,-0.1640625,0.015625
batch_208,-0.125,-0.1484375,-0.2265625
batch_209,-0.1328125,0.0234375,-0.203125
batch_210,-0.2109375,-0.09375,-0.171875
batch_211,-0.0859375,-0.2421875,-0.0546875
batch_212,-0.25,-0.34375,-0.1328125
batch_213,-0.171875,-0.1953125,-0.1875
batch_214,-0.265625,-0.1875,-0.3828125
batch_215,-0.078125,-0.1171875,-0.2421875
batch_216,-0.265625,-0.109375,-0.171875
batch_217,-0.390625,-0.140625,-0.203125
batch_218,-0.125,-0.25,-0.046875
batch_219,-0.2578125,-0.2421875,-0.2109375
batch_220,-0.296875,-0.203125,-0.21875
batch_221,-0.1015625,-0.15625,-0.296875
batch_222,-0.1953125,-0.2265625,-0.03125
batch_223,-0.234375,-0.421875,-0.203125
batch_224,-0.1640625,-0.0859375,-0.109375
batch_225,-0.2734375,-0.3515625,-0.1015625
