,iteration_1,iteration_2,iteration_3
batch_1,-0.0625,0.125,-0.125
batch_2,0.0,0.0,-0.125
batch_3,-0.1875,-0.125,-0.1875
batch_4,-0.125,-0.0625,-0.125
batch_5,-0.0625,0.0,-0.125
batch_6,-0.25,-0.0625,-0.0625
batch_7,-0.0625,-0.125,0.0
batch_8,-0.0625,0.0,-0.0625
batch_9,0.125,0.0,-0.125
batch_10,-0.0625,-0.125,0.0
batch_11,-0.125,-0.1875,0.0
batch_12,-0.0625,0.0,0.0625
batch_13,-0.1875,0.0,-0.0625
batch_14,0.0,0.0,-0.0625
batch_15,-0.125,-0.0625,-0.0625
batch_16,-0.125,-0.0625,-0.1875
batch_17,0.0,0.0,-0.0625
batch_18,-0.125,-0.125,-0.25
batch_19,-0.0625,-0.125,-0.125
batch_20,-0.0625,-0.125,-0.0625
batch_21,-0.1875,0.0625,-0.0625
batch_22,-0.125,-0.125,-0.0625
batch_23,0.0,-0.0625,0.0
batch_24,0.0,-0.125,-0.0625
batch_25,-0.125,-0.0625,-0.125
batch_26,-0.125,-0.0625,-0.125
batch_27,-0.125,-0.125,-0.0625
batch_28,0.0625,-0.0625,-0.125
batch_29,0.0,-0.1875,0.0
batch_30,-0.0625,-0.1875,-0.0625
batch_31,-0.0625,-0.0625,-0.0625
batch_32,0.0,-0.0625,-0.125
batch_33,-0.0625,0.0,-0.125
batch_34,-0.1875,-0.125,0.0
batch_35,0.0,-0.125,-0.125
batch_36,0.0,0.0,0.0625
batch_37,0.0,0.0,-0.125
batch_38,-0.125,-0.125,0.0
batch_39,-0.125,0.0625,-0.0625
batch_40,0.0,-0.125,-0.0625
batch_41,-0.125,-0.125,0.0625
batch_42,0.0625,0.0,0.0
batch_43,-0.125,0.0,-0.0625
batch_44,-0.125,-0.0625,-0.125
batch_45,0.0,0.0625,-0.0625
batch_46,0.0,-0.125,0.0
batch_47,0.0625,0.0,-0.0625
batch_48,0.0,-0.125,0.0
batch_49,-0.0625,0.0,-0.125
batch_50,0.0,0.0,0.0
batch_51,-0.125,-0.0625,-0.125
batch_52,-0.125,0.0,0.0
batch_53,0.0,0.0,0.0
batch_54,-0.0625,-0.0625,0.0
batch_55,-0.0625,-0.25,0.0
batch_56,-0.125,0.0,-0.125
batch_57,-0.0625,0.0,0.0
batch_58,-0.0625,0.0,-0.0625
batch_59,0.0,-0.0625,0.0625
batch_60,-0.125,-0.125,0.0625
batch_61,-0.0625,-0.125,-0.0625
batch_62,0.0,-0.125,-0.0625
batch_63,-0.0625,0.0,-0.125
batch_64,0.125,0.0,0.0
batch_65,-0.125,-0.0625,0.0
batch_66,-0.125,0.0,0.0
batch_67,-0.0625,-0.1875,-0.125
batch_68,-0.125,-0.125,0.0
batch_69,-0.125,-0.125,-0.125
batch_70,0.0,0.0,-0.125
batch_71,0.0,-0.1875,0.0
batch_72,0.0625,0.0,0.0
batch_73,-0.0625,-0.125,-0.125
batch_74,0.125,0.0,0.0
batch_75,-0.125,0.0625,-0.125
batch_76,0.0,0.0625,-0.0625
batch_77,-0.125,0.0,-0.125
batch_78,-0.1875,-0.0625,-0.125
batch_79,-0.0625,-0.0625,-0.0625
batch_80,-0.0625,-0.125,0.0
batch_81,-0.0625,-0.125,-0.0625
batch_82,-0.125,-0.125,0.0
batch_83,-0.1875,-0.125,-0.125
batch_84,-0.0625,0.0,-0.125
batch_85,-0.125,-0.0625,-0.0625
batch_86,-0.0625,-0.0625,-0.125
batch_87,-0.1875,0.0,0.0
batch_88,-0.125,-0.125,0.0
batch_89,-0.125,0.0,-0.1875
batch_90,-0.125,-0.125,-0.125
batch_91,0.0625,0.0,-0.0625
batch_92,-0.125,-0.125,-0.1875
batch_93,0.0,-0.125,-0.125
batch_94,-0.125,-0.1875,-0.125
batch_95,-0.125,-0.125,-0.125
batch_96,-0.125,-0.125,-0.1875
batch_97,-0.25,-0.125,-0.125
batch_98,-0.0625,-0.0625,0.0
batch_99,-0.0625,-0.125,-0.125
batch_100,-0.0625,0.0625,-0.125
batch_101,0.0,-0.0625,-0.0625
batch_102,-0.0625,-0.1875,-0.25
batch_103,-0.0625,-0.125,-0.0625
batch_104,-0.25,-0.125,-0.125
batch_105,0.0,-0.125,-0.125
batch_106,-0.1875,-0.125,-0.125
batch_107,-0.125,-0.0625,0.0
batch_108,-0.125,-0.125,0.0
batch_109,-0.125,0.0625,-0.125
batch_110,0.0,-0.25,-0.125
batch_111,0.0625,-0.0625,0.0625
batch_112,0.0,-0.0625,-0.0625
batch_113,-0.125,-0.125,-0.125
batch_114,-0.125,-0.25,-0.1875
batch_115,-0.125,0.0,0.0
batch_116,0.0,0.0625,0.0
batch_117,-0.0625,0.0,-0.0625
batch_118,0.0,-0.1875,-0.0625
batch_119,-0.0625,-0.1875,-0.0625
batch_120,0.0,-0.125,-0.0625
batch_121,-0.0625,-0.0625,0.0625
batch_122,-0.0625,0.0,-0.0625
batch_123,0.0,0.0625,-0.0625
batch_124,-0.0625,0.0625,0.0625
batch_125,-0.125,-0.125,-0.125
batch_126,-0.0625,-0.0625,-0.0625
batch_127,0.0625,-0.125,-0.1875
batch_128,0.0,0.0,0.0
batch_129,0.0,-0.0625,0.0
batch_130,-0.125,-0.125,0.0
batch_131,0.0,-0.125,0.0
batch_132,-0.0625,-0.0625,-0.0625
batch_133,0.0,-0.0625,0.0
batch_134,-0.0625,0.0625,-0.125
batch_135,0.0,0.0,0.0
batch_136,-0.0625,-0.125,-0.125
batch_137,-0.0625,0.0,-0.125
batch_138,0.125,-0.125,0.0
batch_139,0.125,0.0,0.0
batch_140,-0.0625,0.0,-0.0625
batch_141,-0.125,0.0,0.25
batch_142,0.0,0.0,0.0625
batch_143,0.0,-0.125,0.0
batch_144,-0.125,-0.0625,-0.0625
batch_145,-0.125,-0.0625,0.0
batch_146,0.0,-0.0625,0.0
batch_147,0.0,-0.125,0.0
batch_148,-0.0625,0.0,-0.0625
batch_149,-0.125,0.0,-0.0625
batch_150,-0.125,-0.0625,-0.0625
batch_151,-0.0625,0.0,0.0625
batch_152,-0.125,-0.125,-0.125
batch_153,-0.0625,0.0,-0.125
batch_154,0.0,-0.25,-0.375
batch_155,-0.125,0.0,-0.0625
batch_156,0.0625,-0.0625,0.0
batch_157,-0.125,-0.25,0.0
batch_158,-0.0625,-0.25,0.0
batch_159,-0.125,-0.0625,-0.125
batch_160,0.0,0.0,-0.0625
batch_161,-0.125,-0.0625,-0.1875
batch_162,-0.125,0.0,-0.0625
batch_163,-0.125,0.0,0.0
batch_164,-0.0625,-0.125,-0.125
batch_165,-0.125,-0.125,-0.125
batch_166,-0.125,-0.0625,-0.125
batch_167,-0.0625,-0.125,-0.25
batch_168,-0.0625,0.0,0.0
batch_169,-0.125,-0.25,-0.125
batch_170,0.0,-0.125,-0.0625
batch_171,-0.125,-0.125,-0.125
batch_172,-0.0625,-0.125,-0.1875
batch_173,-0.125,-0.0625,0.0
batch_174,-0.25,-0.125,-0.1875
batch_175,0.0,-0.125,0.0
